	Unnamed: 0	id	sentence	comment_cut	score	ratio
0	0	bPc5UiYVRUQ	수정합니다!<br><br>캐시 랭이 앤트맨의 자리를 받을 시 <br>&#39;2대&#39; 앤트맨이 아닌 &#39;3대&#39; 앤트맨<br>으로 활동하게 됩니다!<br><br>죄송합니다!	['수정', '합니다', '캐시', '랭', '이', '앤트맨', '의', '자리', '를', '받을', '시', '392', '대', '39', '앤트맨', '이', '아닌', '393', '대', '39', '앤트맨', '으로', '활동', '하게', '됩니다', '죄송합니다']	-5.764400940710003	-2.39
1	1	bPc5UiYVRUQ	원작을 따른다면 캐시 랭은 앤트맨이나 와스프보다는 스태쳐로 활동할 가능성이 더 크지 않을까요?	['원작', '을', '따른다면', '캐시', '랭', '은', '앤트맨', '이나', '와스프', '보다는', '스태쳐', '로', '활동', '할', '가능성', '이', '더', '크지', '않을까요']	-3.3461494711991486	-1.47
2	2	bPc5UiYVRUQ	준서강 제3의 와스프에요...	['준서', '강', '제', '3', '의', '와스프', '에요']	-0.6708469052363069	-0.36
3	3	bPc5UiYVRUQ	마지막 1분 : 바스락	['마지막', '1분', '바스락']	-0.7128090541863237	-0.48
4	4	bPc5UiYVRUQ	저는<br>스포한영상보고<br>영화보는거<br>좋아해요<br>나만그런가 ㅋ ㅋ	['저', '는', '스포', '한', '영', '상보', '고', '영화', '보는거', '좋아해', '요나', '만', '그', '런가']	-0.9103966868015628	-0.42
5	5	bPc5UiYVRUQ	앤트맨 보면 왜 아이젠보그  생각날까?	['앤트맨', '보면', '왜', '아이젠', '보그', '생각날까']	-0.4804521063273922	-0.27
6	6	bPc5UiYVRUQ	엔트멘2 보고 쿠키 1개만 있는 줄 알고 나갔는데 내려가려고 엘리베이터 들어가니까 지갑이 없는거에욬ㅋㅋ 그래서 영화관으로 호다닥 뛰어가서 사정 말하고 다시 들어갔더니 개미가 드럼치고 있더라구요 ㅋㅋ 지갑은 찾았구요 제 지갑 덕분에 쿠키2개 봤네요 ㅋㅋ 2번째 쿠키가 뭐 말하는지 몰랐다가 유튭 댓글보고 깨달은 1인 컄	['엔트멘', '2', '보고', '쿠키', '1', '개', '만', '있는', '줄', '알', '고', '나갔는데', '내려가려고', '엘리베이터', '들어가니까', '지갑', '이', '없는거에', '욬', '그래서', '영화관', '으로', '호다닥', '뛰어가서', '사정', '말', '하고', '다시', '들어갔더니', '개미', '가', '드럼', '치고', '있더라구요', '지갑', '은', '찾았구요', '제', '지갑', '덕분', '에', '쿠키', '2', '개', '봤네요', '2', '번째', '쿠키', '가', '뭐', '말', '하는지', '몰랐다가', '유튭', '댓글', '보고', '깨달', '은', '1', '인', '컄']	-4.670654776606217	-1.68
7	7	bPc5UiYVRUQ	기껏 ㅈㄴ 힘들게 구했더니 커피가루 앤딩...	['기껏', '힘들게', '구', '했더니', '커피', '가루', '앤딩']	-2.3754843149513003	-1.29
8	8	bPc5UiYVRUQ	엔트맨 양자영역들어갓을때 파란원반으로 나오지않앗나...<br>그럼 파란원반으로 들락날락하면되지 뭐 터널은 자넷위치찾느냐 만들엇다치고 나오는건 원반있으면 자윤데 왜 양자영역에 같힌거임?..	['엔트맨', '양자', '영역', '들어', '갓', '을', '때', '파란', '원반', '으로', '나오지', '않앗나', '그럼', '파란', '원반', '으로', '들락날락', '하면되', '지', '뭐', '터널', '은', '자넷', '위치', '찾느냐', '만들엇다', '치고', '나오는건', '원반', '있으면', '자윤데', '왜', '양자', '영역', '에', '같힌거임']	-3.93644675949856	-1.54
9	9	bPc5UiYVRUQ	천잰대?	['천', '잰대']	0.0	0.0
