	Unnamed: 0	id	sentence	comment_cut	score	ratio
0	0	cqy6ZScgf7I	돈버는 데만 우선 목적을 갖고 있으니까 영화에서 비참한 현실적 생생한 묘사가 안됨. 성적착취장면, 목숨건 노동착취 장면들, 역사적 배경등도 부족함	['돈버', '는', '데', '만', '우선', '목적', '을', '갖고', '있으니까', '영화', '에서', '비참한', '현실', '적', '생생한', '묘사', '가', '안됨', '성적', '착취', '장면', '목숨', '건', '노동', '착취', '장면', '들', '역사', '적', '배경', '등', '도', '부족함']	-4.4901393877779885	-1.78
1	1	cqy6ZScgf7I	"<a href=""http://naver.me/5p4Y1j5D"">http://naver.me/5p4Y1j5D</a> 한번 읽어보세요"	['httpnaverme', '5', 'p', '4', 'Y', '1', 'j', '5', 'D', '한번', '읽어', '보세요']	-0.4170739881136119	-0.2
2	2	cqy6ZScgf7I	저도 디바제시카님이랑 비슷하게 느꼈지만 그래도 이 영화가 엄청나게 욕듣고 뭐 친일영화,역사왜곡이다 이럴정도까지는 아니라고 봅니다. 어떤 선동들이 있었던게 분명한거 같고요..그리고 류승완 감독님의 인터뷰를 보면 하도 영화개봉전부터 국뽕 어쩌고 소리를 많이 들어서 일부러 좀 국뽕을 배제시키고 더 감동적이게 할수 있는 부분을 이성적으로 연출해서 우리가 그렇게 별로 안와닿은게 아닐까 저는 생각해요..그래서 황정민 역도 좀 코믹한부분으로 간거같고요..근데 그게 우리 정서에 안맞았던거죠;;	['저', '도', '디바', '제시카', '님', '이랑', '비슷하게', '느꼈지만', '그래도', '이', '영화', '가', '엄청나게', '욕', '듣고', '뭐', '친일', '영화', '역사왜곡', '이다', '이럴', '정도', '까지는', '아니라고', '봅니다', '어떤', '선동', '들', '이', '있었던게', '분명한거', '같고요', '그리고', '류승완', '감독', '님', '의', '인터뷰', '를', '보면', '하도', '영화개봉', '전', '부터', '국뽕', '어쩌', '고', '소리', '를', '많이', '들어서', '일부러', '좀', '국뽕', '을', '배제', '시키고', '더', '감동', '적', '이', '게', '할수', '있는', '부분', '을', '이', '성적', '으로', '연출', '해서', '우리', '가', '그렇게', '별로', '안', '와', '닿은게', '아닐까', '저', '는', '생각', '해요', '그래서', '황정민', '역도', '좀', '코믹', '한', '부분', '으로', '간거', '같고요', '근데', '그게', '우리', '정서', '에', '안', '맞았던거죠']	-15.937484608162384	-5.31
3	3	cqy6ZScgf7I	사실 마지막 탈출극은 약간 허황되긴 했는데, 막 욕 먹을정도는 아니라고 생각합니다. 군함도는 지식채널같은 곳에 다큐로 나온 적 많은데, 그건 보지도 않으면서 군함도 영화가 나오니까 군함도 영화가 역사고증을 제대로 하지 않았다 라고 하고, 역사왜곡 뭐 꽤 있다는건 인정합니다만 군함도에서 보여주고 싶은건 일본과 친일파 모두의 만행이라고 생각합니다. 여자남자 할 것 없이 일제강점기때 받았던 고통을 골고루 보여줬고요. 스케일도 크고 찍은 배우들도 엄청 고생했겠구나라고 느껴졌습니다. 아무래도 상업용 영화니까 재미를 추구했던 점이 있긴하지만, 그래도 국민 모두한테 욕먹고 망해갈 이유는 없다고 생각합니다. 가장 좋았던 점은 다른 영화들과는 다르게 이 영화에서는 친일에 대해 나쁘게 보여준 것도 굉장히 좋았다고 생각합니다.	['사실', '마지막', '탈출', '극', '은', '약간', '허황', '되긴', '했는데', '막', '욕', '먹을', '정도', '는', '아니라고', '생각', '합니다', '군함도', '는', '지식', '채널', '같은', '곳', '에', '다큐', '로', '나온', '적', '많은데', '그건', '보지', '도', '않으면서', '군함도', '영화', '가', '나오니까', '군함도', '영화', '가', '역사', '고증', '을', '제대로', '하지', '않았다', '라고', '하고', '역사왜곡', '뭐', '꽤', '있다는건', '인정', '합니다만', '군함도', '에서', '보여주고', '싶은건', '일본', '과', '친일파', '모두', '의', '만행', '이라고', '생각', '합니다', '여자', '남자', '할', '것', '없이', '일제강점기', '때', '받았던', '고통', '을', '골고루', '보여줬고요', '스케일', '도', '크고', '찍은', '배우', '들', '도', '엄청', '고생', '했겠', '구나', '라고', '느껴졌습니다', '아무래도', '상업', '용', '영화', '니까', '재미', '를', '추구', '했던', '점', '이', '있긴하지만', '그래도', '국민', '모두', '한테', '욕먹고', '망', '해갈', '이유', '는', '없다고', '생각', '합니다', '가장', '좋았던', '점', '은', '다른', '영화', '들', '과는', '다르게', '이', '영화', '에서는', '친일', '에', '대해', '나쁘게', '보여준', '것', '도', '굉장히', '좋았다고', '생각', '합니다']	-23.095926788193516	-7.35
4	4	cqy6ZScgf7I	전 대립군 보고 울엇는데 이거보고 안 울엇엉요	['전', '대립', '군', '보고', '울', '엇', '는데', '이', '거', '보고', '안', '울엇엉', '요']	0.12287007563662145	0.06
5	5	cqy6ZScgf7I	일본인임??	['일본인', '임']	-0.3638871744449949	-0.28
6	6	cqy6ZScgf7I	리뷰를 뭐이렇게함	['리뷰', '를', '뭐', '이렇게', '함']	-0.40425425126077663	-0.24
7	7	cqy6ZScgf7I	마지막 에 자기 딸 지키려고 몸 바쳐 싸운게 감동 주는거 아님?<br>중간에 주무셧음?	['마지막', '에', '자기', '딸', '지키려고', '몸', '바쳐', '싸운게', '감동', '주는거', '아님', '중간', '에', '주무', '셧음']	0.9257199185725824	0.43
8	8	cqy6ZScgf7I	송중기 합니다 라고 않끝나는데....  그리고 진짜로 영화 평가자 갓네 이거는 자신의 생각을 말하는게 안닌것같네...<br>이런댓글 달앗다고 욕하지마세요	['송중기', '합니다', '라고', '않', '끝나는데', '그리고', '진짜', '로', '영화', '평가자', '갓', '네', '이', '거', '는', '자신', '의', '생각', '을', '말', '하는게', '안닌것', '같네', '이런', '댓글', '달앗다고', '욕', '하지', '마세요']	-5.212273763415749	-2.12
9	9	cqy6ZScgf7I	택시운전사 보세요 100배	['택시', '운전사', '보세요', '100', '배']	-1.2065825896978573	-0.71
