,id,sentence,comment_cut,score,ratio
0,rK70R5OD4i4,다른건 공감하겠는데 성상품화가 악이라고 표현하는 것에는 동의를 못하겠음<br>영화에 나온 식은 분명 문제가 있지만 무조건 성상품화가 악이다 라고 하면 안된다고 생각함,"['다른건', '공감', '하겠는데', '성', '상품화', '가', '악', '이라고', '표현', '하는', '것', '에는', '동의', '를', '못', '하겠음', '영화', '에', '나온', '식은', '분명', '문제', '가', '있지만', '무조건', '성', '상품화', '가', '악', '이다', '라고', '하면', '안된다고', '생각', '함']",-3.3238965113466805,-1.31
1,rK70R5OD4i4,"우리나라도 저런 영화 나왔으면 좋겠다... 갈등조장하는 뭔깝스같은 영화 말고, 정말 잘못된 것에 의문을 던질 수 있는 그런 영화말이다..!","['우리나라', '도', '저런', '영화', '나왔으면', '좋겠다', '갈등', '조', '장하는', '뭔깝스같', '은', '영화', '말고', '정말', '잘', '못', '된', '것', '에', '의문', '을', '던질', '수', '있는', '그런', '영화', '말', '이다']",,
2,rK70R5OD4i4,영화는 커녕 리뷰에도 관심없는 사람들이 한마디 얹어보려고 많이들 오셨네요. 오늘도 좋은 영상 잘 보고 갑니다.,"['영화', '는', '커녕', '리뷰', '에도', '관심', '없는', '사람', '들', '이', '한마디', '얹어', '보려고', '많이', '들', '오셨네요', '오늘', '도', '좋은', '영상', '잘', '보고', '갑니다']",7.824228536804343,3.31
3,rK70R5OD4i4,리뷰 잘 봤습니다<br>반도 못피하고 봐버렸는데 이 영화로 눈 씻어야겠군요...,"['리뷰', '잘', '봤습니다', '반도', '못', '피하고', '봐', '버렸는데', '이', '영화로', '눈', '씻어야겠군요']",2.8531001072792943,1.37
4,rK70R5OD4i4,굴종... 명확한 단어네요,"['굴종', '명확한', '단어', '네', '요']",0.0,0.0
5,rK70R5OD4i4,박원순 오거돈 사건도 영화화해야. 민주당은 이 영화 단체관람해야.,"['박원순', '오거돈', '사건', '도', '영화', '화해야', '민주당', '은', '이', '영화', '단체', '관람', '해야']",-0.23958383264496041,-0.11
6,rK70R5OD4i4,"라이너님, 한번 윤제균 감독 특집도 만들어주세요.","['라이너', '님', '한번', '윤제균', '감독', '특집', '도', '만들어주세요']",0.0,0.0
7,rK70R5OD4i4,그냥 회사네요.  성적인 부분을 제외하면 누구나 어디서나 볼 수 있는 회사의 모습이죠.,"['그냥', '회사', '네', '요', '성적', '인', '부분', '을', '제외', '하면', '누구', '나', '어디', '서나', '볼', '수', '있는', '회사', '의', '모습', '이', '죠']",-0.5809927462738036,-0.25
8,rK70R5OD4i4,서울시와 부산시에는 현재 시장이 없습니다,"['서울시', '와', '부산시', '에는', '현재', '시장', '이', '없습니다']",-1.0150855998269053,-0.53
9,rK70R5OD4i4,박원순 오거돈 안희정,"['박원순', '오거돈', '안희정']",-1.9567212532934546,-1.32
10,rK70R5OD4i4,현실판 민주당인가???,"['현실', '판', '민주당', '인가']",-1.5659071464468983,-0.98
11,rK70R5OD4i4,위력에 의한 남자의 여자애 대한 성폭력. 반대의경우는,"['위력', '에', '의한', '남자', '의', '여자애', '대한', '성폭력', '반', '대의', '경우', '는']",-2.971806853120363,-1.43
12,rK70R5OD4i4,진짜 궁금한게 있는데..영화평론가들도 이 분야에서 엄청난 전문가인데 왜 영화제작에 참여하는 평론가들은 드물까?,"['진짜', '궁금한게', '있는데', '영화평론가', '들', '도', '이', '분야', '에서', '엄청난', '전문가', '인데', '왜', '영화제작', '에', '참여', '하는', '평론가', '들', '은', '드물까']",0.5055647471392786,0.22
13,rK70R5OD4i4,"제 국문학 교수님이 해주신 말씀이 있습니다. 시인이 되지 못하는 사람이 소설가가 되고, 소설가가 되지 못하는 사람이 교수가 되고, 교수가 되지 못하는 사람이 평론가가 된다. 후에 병행은 할 수 있지만요. 그만큼 창작이란 어렵고 재능이 필요하다는 거겠지요...","['제', '국문학', '교수', '님', '이', '해주신', '말씀', '이', '있습니다', '시인', '이', '되지', '못', '하는', '사람', '이', '소설가', '가', '되고', '소설가', '가', '되지', '못', '하는', '사람', '이', '교수', '가', '되고', '교수', '가', '되지', '못', '하는', '사람', '이', '평론가', '가', '된다', '후', '에', '병행', '은', '할', '수', '있지', '만요', '그만큼', '창작', '이란', '어렵고', '재능', '이', '필요하다는', '거', '겠지요']",-9.753733457167431,-3.55
14,rK70R5OD4i4,성범죄 온상 더듬에 민주당에서 단체 관람시켜야될 계몽영화,"['성범죄', '온상', '더듬에', '민주당', '에서', '단체', '관람', '시켜야', '될', '계몽영화']",-2.2598602252919613,-1.13
15,rK70R5OD4i4,내가 샤를리즈 테론을 몰라보다니 맙소사,"['내', '가', '샤를', '리즈', '테론', '을', '몰라보다', '니', '맙소사']",0.0,0.0
16,rK70R5OD4i4,낡은 세상을 바꾸는 모든 용기에 경의를 표합니다.,"['낡은', '세상', '을', '바꾸는', '모든', '용기', '에', '경의', '를', '표', '합니다']",-1.986892452947267,-0.97
17,rK70R5OD4i4,강철비도 아닌 이영화에 정치충 댓글이 꼬일줄이야;;;,"['강철', '비도', '아닌', '이영화', '에', '정치', '충', '댓글', '이', '꼬일줄이야']",-2.464264053206909,-1.23
18,rK70R5OD4i4,솔직히 놀랐음,"['솔직히', '놀랐음']",0.0,0.0
19,rK70R5OD4i4,그 서울시장은 여자 비서에게 &#39;충성심&#39;을 보여달라고했다.,"['그', '서울시장', '은', '여자', '비서', '에게', '39', '충성', '심', '39', '을', '보여', '달라', '고', '했다']",2.054595986037812,0.94
20,rK70R5OD4i4,애국보수 라이너 응원합니다,"['애국', '보수', '라이너', '응원', '합니다']",-1.22449823281806,-0.72
21,rK70R5OD4i4,미투운동이 전부 취지에 맞게만 이루어진다면 매우매우 좋은 운동이겠지만.....현실은?,"['미투', '운동', '이', '전부', '취지', '에', '맞게만', '이루어진다면', '매우', '매우', '좋은', '운동', '이겠지만', '현실', '은']",1.1591470284342398,0.53
