	Unnamed: 0	id	sentence	comment_cut	score	ratio
0	0	fxCOAgCxkiM	현재는 동남아같은 외국나가서 잘먹고 잘 살고 있겠지 뭐	['현재', '는', '동남아', '같은', '외국', '나가서', '잘', '먹고', '잘', '살', '고', '있겠지', '뭐']	1.3794639702213414	0.65
1	1	fxCOAgCxkiM	마약왕... 내일같아서 참 재밌게 봤지. 마약중독으로 깜빵갔다와도 정신못차리고 마약하다 크게 일 한번 치르고 지금은 끊은지 5년이 됐네... 마약 애초에 시작을 하지마세요. 절대 아무도 한번하고 끊을수 있는 사람 없습니다. 특히 필로폰같은것들요.	['마약', '왕', '내일', '같아서', '참', '재밌게', '봤지', '마약', '중독', '으로', '깜빵갔다', '와도', '정신', '못', '차리고', '마약', '하다', '크게', '일', '한번', '치르고', '지금', '은', '끊은지', '5년', '이', '됐네', '마약', '애초', '에', '시작', '을', '하지', '마세요', '절대', '아무', '도', '한번', '하고', '끊을수', '있는', '사람', '없습니다', '특히', '필로폰', '같은것', '들요']	-8.882815865940858	-3.32
2	2	fxCOAgCxkiM	건강하게 잘계십니다ㅎ	['건강하게', '잘', '계십니다']	1.0	0.68
3	3	fxCOAgCxkiM	어디서 잘 살고 있을듯 빌딩 몇채씩 갖고 조용히 살고 있것지	['어디서', '잘', '살', '고', '있을듯', '빌딩', '몇', '채', '씩', '갖고', '조용히', '살', '고', '있것지']	1.7043119501606883	0.79
4	4	fxCOAgCxkiM	일단 연출력이 너무 아쉬웟다. 송강호 외 인물들의 비중이나 그 인물들을 보여주는 내용이 너무 부족했다. 물론 송강호의 해석에 묻힌것은 아니지만 그만큼 영화 후반부 갈수륵 송강호가 혼자 영화를 이끌어나갈만큼 호홉들이 큰 상황을 미친듯이 조져버렷다.. 개인적으로 흥행을떠나 우아한세계가 송강호 연기중 탑이라생각했는데 마약왕은 진짜 보는내내 입벌리고봤다.	['일단', '연출', '력', '이', '너무', '아쉬웟다', '송강호', '외', '인물', '들', '의', '비중', '이나', '그', '인물', '들', '을', '보여주는', '내용', '이', '너무', '부족했다', '물론', '송강호', '의', '해석', '에', '묻힌것은', '아니지만', '그만큼', '영화', '후반', '부', '갈수', '륵', '송강호', '가', '혼자', '영화', '를', '이끌어', '나갈만큼', '호홉', '들', '이', '큰', '상황', '을', '미친듯이', '조져버렷다', '개인', '적', '으로', '흥행', '을', '떠나', '우아한세계가', '송강호', '연기', '중', '탑', '이라', '생각', '했는데', '마약', '왕', '은', '진짜', '보는내내', '입', '벌리고', '봤다']	-4.2537513038333055	-1.49
5	5	fxCOAgCxkiM	아  영화보면서  결말부분 총격신이 너무 아쉬웠는데  실제였다니,  어느정도 수긍이가네요.  결말만  범죄와의전쟁 최민식처럼, 승승장구 하였다면 이영화는 아마 대박났을꺼같네요.	['아', '영화', '보면서', '결말', '부분', '총격', '신', '이', '너무', '아쉬웠는데', '실제', '였다니', '어느', '정도', '수긍', '이', '가네요', '결말', '만', '범죄', '와의', '전쟁', '최민식', '처럼', '승승장구', '하였다면', '이영화', '는', '아마', '대박났을꺼', '같네요']	-10.013398028343738	-4.02
6	6	fxCOAgCxkiM	마약왕 진짜 최악이더라	['마약', '왕', '진짜', '최악', '이', '더', '라']	-3.4936549050122463	-1.89
7	7	fxCOAgCxkiM	고구마는 먹었는데 사이다는 못먹은거같은 느낌이얏..	['고구마', '는', '먹었는데', '사이다', '는', '못', '먹은거', '같은', '느낌', '이', '얏']	-0.5870756357607998	-0.29
8	8	fxCOAgCxkiM	저때도 법이 약했네	['저', '때', '도', '법', '이', '약했네']	0.0	0.0
9	9	fxCOAgCxkiM	너무 급격하게 끝낸것같이 허무하게 죽은 인물들이 많아서 아쉬웠어용 ㅠㅠ	['너무', '급격하게', '끝낸것같이', '허무하게', '죽은', '인물', '들', '이', '많아서', '아쉬웠어용']	-1.3127314739765092	-0.66
