	Unnamed: 0	id	sentence	comment_cut	score	ratio
0	0	DzFBfd-bVd0	뭐 이나라가 북한이 핵을 만들고 우릴 죽일게 뻔한데 미국한태 도움은 커녕 북한에게 상납하고 있는거랑 같다고 보면 됩니다.	['뭐', '이나라', '가', '북한', '이', '핵', '을', '만들고', '우릴', '죽일게', '뻔한데', '미국', '한', '태', '도움', '은', '커녕', '북한', '에게', '상납', '하고', '있는거랑', '같다고', '보면', '됩니다']	1.7613498189828838	0.73
1	1	DzFBfd-bVd0	감독이 뭐라도 변명을 했으면 왜 이렇게 만들었는지 그건 그렇구 네이버평점 왤케 높지?	['감독', '이', '뭐라도', '변명', '을', '했으면', '왜', '이렇게', '만들었는지', '그건', '그렇구', '네이버', '평점', '왤케', '높지']	-0.4649228330566038	-0.21
2	2	DzFBfd-bVd0	기대를 안하고 봐서 그런지 꽤나 괜찮았음 신고 안할려는 이유가 난 타당했음 그외 산에기어올라가 격투하는건 억지였으나 초반부 비오면 산사태 날거같다고 저런데 신경이나쓰지란 말만하지 자신에게 직접적 손해가 없어서 그런지 나서서  실행에 옮기지 못하는 모습은 현대사회의 인간상을 보여주기 위함이 아니였을까	['기대', '를', '안', '하고', '봐서', '그런지', '꽤', '나', '괜찮았음', '신고', '안', '할려는', '이유', '가', '난', '타당', '했음', '그', '외', '산', '에', '기어올라가', '격투', '하는건', '억지', '였으나', '초반', '부', '비오면', '산사태', '날거', '같다고', '저런데', '신경', '이나', '쓰지란', '말', '만하', '지', '자신', '에게', '직접', '적', '손해', '가', '없어서', '그런지', '나서서', '실행', '에', '옮기지', '못', '하는', '모습', '은', '현', '대', '사회', '의', '인간', '상', '을', '보여주기', '위함', '이', '아니였을까']	-12.607892165238287	-4.47
3	3	DzFBfd-bVd0	갑분산 갑자기 분위기 산사태<br>갑분교 갑자기 분위기 교훈	['갑', '분산', '갑자기', '분위기', '산사태', '갑', '분교', '갑자기', '분위기', '교훈']	-0.19028412547952867	-0.1
4	4	DzFBfd-bVd0	내용 : 초반에 괜찮은 서스펜스 중반부터 점점 산으로 <br>결말에는 정말 산으로가는 영화...;;<br><br>결론 : 산에서 내려와 산으로 올라가는 영화<br>평가 : 세상 어이없는 산사태 이야기<br>         평가를 할수 없는 어이없는 구조의 영화<br>평점 : 10점 - 2점	['내용', '초반', '에', '괜찮은', '서스펜스', '중반', '부터', '점점', '산', '으로', '결말', '에는', '정말', '산', '으로가', '는', '영화', '결론', '산', '에서', '내려와', '산', '으로', '올라가는', '영화', '평가', '세상', '어이없는', '산사태', '이야기', '평가', '를', '할수', '없는', '어이없는', '구조', '의', '영화', '평점', '10', '점', '2', '점']	-9.640983185489606	-3.66
5	5	DzFBfd-bVd0	그 큰 아파트단지 한복판에 사람을 죽였는데 블랙박스 하나 확인 안하나 진짜	['그', '큰', '아파트', '단지', '한', '복판', '에', '사람', '을', '죽였는데', '블랙박스', '하나', '확인', '안', '하나', '진짜']	-2.2980962631502435	-1.04
6	6	DzFBfd-bVd0	이세계물인가? iq50 세상	['이', '세계', '물', '인가', 'iq', '50', '세상']	-0.149050578403866	-0.08
7	7	DzFBfd-bVd0	방금 폰으로 영화 다보고 왔는데 진심 초반에 첨엔 잘가다가 중반 넘어서 끝무렵으로 가는부분이 참 꺼림칙함. 속으로 &quot;이럴정도까진 안해도 되는데...;&quot; 하면서 좀 과하게 느낌. 무슨 아파트단지에서 살려달란소리가 크게들리는데 진심 한명도 못듣는게 말이됨?글고 거기서 가족들 구하고 지가 범인 잡으러 간다하면서 산으로가고,,,또 산사태가 일어나면서,,, 마지막엔 경찰들이 잡는신이 없다는거,, 등 근데 내용이 대부분 말이 안됨.. 진심 개띠용하면서 봤넼ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ	['방금', '폰', '으로', '영화', '다', '보고', '왔는데', '진심', '초반', '에', '첨', '엔', '잘가다가', '중반', '넘어서', '끝', '무렵', '으로', '가는', '부분', '이', '참', '꺼림칙함', '속', '으로', 'quot', '이럴', '정도', '까진', '안해', '도', '되는데', 'quot', '하면서', '좀', '과', '하게', '느낌', '무슨', '아파트', '단지', '에서', '살려', '달란', '소리', '가', '크게', '들리는데', '진심', '한', '명도', '못', '듣는게', '말', '이', '됨', '글', '고', '거기', '서', '가족', '들', '구', '하고', '지가', '범인', '잡으러', '간다', '하면서', '산', '으로가', '고또', '산사태', '가', '일어나면서', '마지막', '엔', '경찰', '들', '이', '잡는신', '이', '없다는거', '등', '근데', '내용', '이', '대부분', '말', '이', '안됨', '진심', '개띠', '용하면서', '봤넼']	-22.51618571075609	-7.56
8	8	DzFBfd-bVd0	이성민도 돈 마이 급한가보네	['이성민', '도', '돈', '마이', '급한', '가보네']	-0.2856782715901769	-0.16
9	9	DzFBfd-bVd0	ㅋㅋ 나만 이상하다고 생각하는게 아니구나 ㅋㅋ 역시나	['나', '만', '이상하다고', '생각', '하는게', '아니구나', '역시', '나']	-0.28381034717813736	-0.15
