	Unnamed: 0	id	sentence	comment_cut	score	ratio
0	0	wHVsDBIoWNQ	정우성 조인성 여러분의 선택은?!	['정우성', '조인성', '여러분', '의', '선택', '은']	-0.3015257836639922	-0.17
1	1	wHVsDBIoWNQ	배성우 씹오징어되네	['배성우', '씹', '오징어', '되네']	-0.1060574204122906	-0.07
2	2	wHVsDBIoWNQ	이순재 ㅋㅋㅋㅋㅋㅋㅋㅋ	['이순재']	0.0	0.0
3	3	wHVsDBIoWNQ	정우성 매력터져 💕	['정우성', '매력', '터져']	0.2331202090269422	0.16
4	4	wHVsDBIoWNQ	아조인성잘생겼어ㅜㅜㅜㅜㅜㅜㅜㅜㅜ	['아조', '인성', '잘생겼어']	0.0	0.0
5	5	wHVsDBIoWNQ	키크고 잘생긴사람들이 하니 진짜 아무것도 아닌게 뮤비가되내..조인성 진짜 수트입고 춤추니 섹시해~♡♡♡	['키크', '고', '잘생긴', '사람', '들', '이', '하니', '진짜', '아무', '것', '도', '아닌게', '뮤비', '가', '되', '내', '조인성', '진짜', '수트', '입고', '춤추니', '섹시해']	2.755358608823984	1.18
6	6	wHVsDBIoWNQ	이 장면이 영화상 가장 중요한 장면. 아버지를 보며 양아치로, 아버지를 패는 검사를 보며 검사로, 역사를 주무르는 한강식을 보며 비리검사로 나아가는, 신념없이 이득따라 쾌락따라 세상흘러가는대로 살아가는 가벼움으로 영화의 장르인 [신파극]을 완벽히 보여주는 장면	['이', '장면', '이', '영화상', '가장', '중요한', '장면', '아버지', '를', '보며', '양', '아치로', '아버지', '를', '패', '는', '검사', '를', '보며', '검사', '로', '역사', '를', '주무르는', '한강', '식', '을', '보며', '비리', '검사', '로', '나아가는', '신념', '없이', '이득', '따라', '쾌락', '따라', '세상', '흘러가는대로', '살아가는', '가벼', '움', '으로', '영화', '의', '장르', '인', '신파극', '을', '완벽히', '보여주는', '장면']	4.9124524296023795	1.8
7	7	wHVsDBIoWNQ	이거 졸귘ㅋㅋㅋㅋㅋㅋ	['이', '거', '졸귘']	0.0	0.0
8	8	wHVsDBIoWNQ	칼군무	['칼', '군무']	0.0	0.0
9	9	wHVsDBIoWNQ	awesome	['awesome']	0.0	0.0
10	10	wHVsDBIoWNQ	재미있드라<br>너무너무 재미있드라요	['재미있', '드', '라', '너무', '너무', '재미있', '드', '라', '요']	-0.6757926111665595	-0.35
11	11	wHVsDBIoWNQ	영화볼때 이장면에서 개터졌는뎈ㅋㅋ	['영화', '볼때', '이장면', '에서', '개', '터졌는', '뎈']	-0.8214234712282553	-0.45
12	12	wHVsDBIoWNQ	도깨비공유 ㅇㅈㅋㅋㅋㅋㅋ	['도깨비', '공유']	0.0	0.0
13	13	wHVsDBIoWNQ	ㅋㅋ	[]	0.0	-0.0
14	14	iWGKkMKsdSU	더킹   이거는  갑자기 황당ㅋㅋ<br>근데  잘만듬ㅎ  정우성 조인성이 댄스를ㅋㅋ 진지하게ㅋ	['더킹', '이', '거', '는', '갑자기', '황당', '근데', '잘만', '듬', '정우성', '조인성', '이', '댄스', '를', '진지하게']	0.6291822309541483	0.29
15	15	iWGKkMKsdSU	이거노래제목뭐에요??ㅠㅠ	['이', '거', '노래', '제목', '뭐', '에요']	0.0	0.0
16	16	iWGKkMKsdSU	클론의 &#39;난&#39; 입니다 ㅎㅎ	['클론', '의', '39', '난', '39', '입니다']	0.01062350127849965	0.01
17	17	iWGKkMKsdSU	개신났는데ㅋㅋ	['개신', '났는데']	0.0	0.0
18	18	iWGKkMKsdSU	아 이장면ㅋㅋㅋㅋ<br>너무 진지한 얼굴로 춤추니까 짱웃겼는데ㅋㅋㅋㅋㅋㅋㅋ	['아', '이장면', '너무', '진지한', '얼굴', '로', '춤추니까', '짱', '웃겼는데']	-1.2104386038574912	-0.62
19	19	iWGKkMKsdSU	이 장면 너무 웃겼음 ㅋㅋ	['이', '장면', '너무', '웃겼음']	-0.24189228824866985	-0.15
20	20	iWGKkMKsdSU	형준김 이장면은 편집말고 다보고싶은데 말이죠ㅜㅜ	['형준김', '이장면', '은', '편집', '말고', '다', '보고싶은데', '말', '이', '죠']	0.0	0.0
21	21	fCyf3HhvE1c	잘 만든 복수극에서 우러나오는 카타르시스란... 이래서 옛날 작품들이 죄다 권선징악이었난 봅니다 ㅋㅋ	['잘', '만든', '복수', '극', '에서', '우', '러', '나오는', '카타르', '시스', '란', '이래서', '옛날', '작품', '들', '이', '죄다', '권선', '징악', '이었난', '봅니다']	-0.7690659954333396	-0.33
22	22	fCyf3HhvE1c	두일이 개 멋있네	['두', '일이', '개', '멋있네']	-0.6266195832422434	-0.39
23	23	fCyf3HhvE1c	이게 공조나 조작된 도시에 비해 흥행을 못한이유가 정치에 관심이 있는 중고등학생들이 적으니 관객의 폭이라고 해야될까 적은 듯.. <br>그냥 이 영화를 정우성 조인성 보러간거면 당연히 재미없고..	['이', '게', '공조', '나', '조작', '된', '도시', '에', '비해', '흥행', '을', '못', '한', '이유', '가', '정치', '에', '관심', '이', '있는', '중', '고등학생', '들', '이', '적으니', '관객', '의', '폭', '이라고', '해야', '될까', '적은', '듯', '그냥', '이', '영화', '를', '정우성', '조인성', '보러', '간거면', '당연히', '재미없고']	3.646545807634684	1.38
24	24	fCyf3HhvE1c	우병우 김기춘 애기 아닌가? 김아중은 조윤선이고	['우', '병', '우', '김기춘', '애기', '아닌가', '김아중', '은', '조윤선', '이고']	-4.032526550351431	-2.02
