	Unnamed: 0	id	sentence	comment_cut	score	ratio
0	0	6m0VWxZ6Y_8	계속 보게 된다ㅋㅋ	['계속', '보게', '된다']	-0.13756572800913336	-0.09
1	1	6m0VWxZ6Y_8	"<a href=""https://www.youtube.com/watch?v=6m0VWxZ6Y_8&amp;t=0m27s"">0:27</a> 기영이 발견"	['027', '기', '영', '이', '발견']	-0.16033362615422875	-0.09
2	2	6m0VWxZ6Y_8	이 영화 봤는데 꿀잼이예요 ㅎㅎ	['이', '영화', '봤는데', '꿀', '잼이예요']	0.14181848399195984	0.08
3	3	6m0VWxZ6Y_8	기영아....	['기', '영아']	0.0	0.0
4	4	6m0VWxZ6Y_8	"<a href=""https://www.youtube.com/watch?v=6m0VWxZ6Y_8&amp;t=0m29s"">0:29</a> 마징가제트,마음의 소리?탱구와 울라숑?기영이?"	['029', '마징가제트', '마음', '의', '소리', '탱', '구', '와', '울라숑기영', '이']	-0.7587663092686948	-0.38
5	5	6m0VWxZ6Y_8	사실상 VR쳇 더무-비 아니냐?	['사실', '상', 'VR', '쳇', '더', '무비', '아니냐']	-0.16033362615422864	-0.09
6	6	6m0VWxZ6Y_8	세금전사닷	['세금', '전사', '닷']	0.0	0.0
7	7	6m0VWxZ6Y_8	"<a href=""https://www.youtube.com/watch?v=6m0VWxZ6Y_8&amp;t=0m42s"">0:42</a>저 제작자가 든 저것은!"	['042', '저', '제작자', '가', '든', '저', '것', '은']	-0.4998166871250108	-0.26
8	8	6m0VWxZ6Y_8	"<a href=""https://www.youtube.com/watch?v=6m0VWxZ6Y_8&amp;t=0m26s"">0:26</a>  기...기영이?"	['026', '기', '기', '영', '이']	-0.4998166871250087	-0.29
9	9	6m0VWxZ6Y_8	주인공이름이파시발ㅋ	['주인공', '이름', '이', '파시', '발']	-1.7520822133631944	-1.03
10	10	6m0VWxZ6Y_8	ㅋㅋㅋㅋㅋ	[]	0.0	-0.0
11	11	6m0VWxZ6Y_8	제작자가 그렇게 금방죽냐 ㅋㅋㅋㅋㅋㅋㅋ	['제작자', '가', '그렇게', '금방', '죽냐']	-0.8017125560301217	-0.47
12	12	6m0VWxZ6Y_8	결국 씹덕백수가 부와 명예를 얻는다는거죠?	['결국', '씹덕', '백수', '가', '부와', '명예', '를', '얻는다는거죠']	2.2095989085604972	1.16
13	13	6m0VWxZ6Y_8	SAO비슷해보여서 한번 봐야겠당	['SAO', '비슷해', '보', '여서', '한번', '봐야겠당']	-1.6285155311084272	-0.92
