	Unnamed: 0	id	sentence	comment_cut	score	ratio
0	0	kuHi_tGmXJ0	오 그러네~~~  근데 명당은 볼만했음.. 하지만 리뷰를 들어보니 비슷한 부분이 많았네요~~	['오', '그러네', '근데', '명당', '은', '볼', '만', '했음', '하지만', '리뷰', '를', '들어', '보니', '비슷한', '부분', '이', '많았네요']	-3.0204336250710693	-1.35
1	1	kuHi_tGmXJ0	ㅈㄴ 재밌었는데?ㅋㅋㅋㅋ 서치보다  더잼남	['재밌었는데', '서치', '보다', '더잼남']	0.07101207182013736	0.04
2	2	kuHi_tGmXJ0	마지막 김병기랑 흥선이랑 칼싸움하는거 보고 몰입다깨졌어요. 결말이 영화평점 3점은 깎아먹음	['마지막', '김병기', '랑', '흥선', '이랑', '칼', '싸움하는거', '보고', '몰입', '다', '깨졌어요', '결말', '이', '영화', '평점', '3', '점', '은', '깎아', '먹음']	-1.3514303767792182	-0.59
3	3	kuHi_tGmXJ0	본격! 투기 심리 자극 사극<br>땅이 최고인건 우주 불멸 진리	['본격', '투기', '심리', '자극', '사', '극', '땅', '이', '최고', '인', '건', '우주', '불멸', '진리']	2.8178667787412204	1.31
4	4	kuHi_tGmXJ0	재밋던데 케바케인가봐요 ㅋㅋ 리뷰는 리뷰일뿐	['재밋', '던데', '케바케', '인가', '봐요', '리뷰', '는', '리뷰', '일', '뿐']	-2.484200827960561	-1.24
5	5	kuHi_tGmXJ0	지성연기 진짜 못한다... 갑갑할정도로 어색하네	['지성', '연기', '진짜', '못', '한다', '갑갑할', '정도', '로', '어색하네']	-3.277592099025815	-1.68
6	6	kuHi_tGmXJ0	의미가 잇고 좋은 영화인데	['의미', '가', '잇고', '좋은', '영화', '인데']	1.1446997866608644	0.64
7	7	kuHi_tGmXJ0	이 해설 하느넘모야 니가 감독 배우 다해라 게넘아	['이', '해설', '하느', '넘', '모야', '니', '가', '감독', '배우', '다해', '라', '게', '넘아']	-0.6537180821220823	-0.31
8	8	kuHi_tGmXJ0	중국넘인가 너희가 몬데  평가 하냐  으미잇는영화라 잘 봣구먼  니가 다하새요	['중국', '넘인가', '너희', '가', '몬데', '평가', '하냐', '으', '미', '잇는', '영화', '라', '잘', '봣', '구먼', '니', '가', '다', '하', '새', '요']	-0.19707486995612755	-0.08
9	9	kuHi_tGmXJ0	음... 원래댓글을 잘 안쓰는데 라이너님의평론이 많은 비판을 받는이유는 영화는 보는사람에따라 많이 다르게 해석될수있음에도불구하고 &#39;이장면이 실패했다&#39; &#39;이렇게했어야했다&#39; &#39;이런부분에서 이 영화가망했다&#39;라고 말해버리니 이 영화를 다르게본사람들로부터 반발감을 살수밖에없죠 라이너님이 생각을 숨기라는것이 아니라 그냥 &#39;나는 이렇게생각했다.&#39;정도로 발언을 해주세요	['음', '원래', '댓글', '을', '잘', '안', '쓰는데', '라이너', '님', '의', '평론', '이', '많은', '비판', '을', '받는', '이유', '는', '영화', '는', '보는', '사람', '에', '따라', '많이', '다르게', '해석', '될수있음에도', '불구', '하고', '39', '이장면', '이', '실패했다', '39', '39', '이렇게', '했어야', '했다', '39', '39', '이런', '부분', '에서', '이', '영화', '가', '망했다', '39', '라고', '말', '해', '버리니', '이', '영화', '를', '다르게', '본', '사람', '들', '로부터', '반발', '감', '을', '살수', '밖에', '없죠', '라이너', '님', '이', '생각', '을', '숨기', '라는', '것', '이', '아니라', '그냥', '39', '나', '는', '이렇게', '생각', '했다', '39', '정도', '로', '발언', '을', '해주세요']	-21.14637434516406	-7.16
10	10	kuHi_tGmXJ0	각성한 흥선이 정만인 집에 쳐들어 갈때 등장장면...  관상 이정재 등장장면이 생각나 눈을 질끈 감았습니다. 그 앵글에 조승우가 같이 잡혀있다는게 안타까울정도로ㅠ	['각성', '한', '흥선', '이', '정', '만인', '집', '에', '쳐', '들어', '갈', '때', '등장', '장면', '관상', '이정재', '등장', '장면', '이', '생각나', '눈', '을', '질끈', '감았습니다', '그', '앵글', '에', '조승우', '가', '같이', '잡혀있다는게', '안타까울', '정도', '로']	-9.799169290641672	-3.87
11	11	kuHi_tGmXJ0	비판을 위해 사는 이 사람 그간 영화 평은 억지와 오버스러운것이 많았다고 개인적으로 느끼지만 이번 영화 평 만큼은 제대로 한 듯 정말 영화 보면서 답답했고 말도 않된다고 생각했던 부분을 하나도 남김없이 죄다 잘 짚었음 제2의 관상을 꿈꾸며 영화를 찍었겠지만 결과적으론 개망작이 되었음 백윤식, 조승우, 문채원이 너무 아깝다!	['비판', '을', '위해', '사는', '이', '사람', '그간', '영화', '평', '은', '억지', '와', '오버', '스러운', '것', '이', '많았다고', '개인', '적', '으로', '느끼지만', '이번', '영화', '평', '만큼은', '제대로', '한', '듯', '정말', '영화', '보면서', '답답했고', '말', '도', '않', '된다고', '생각', '했던', '부분', '을', '하나', '도', '남김없이', '죄다', '잘', '짚었음', '제', '2', '의', '관상', '을', '꿈꾸며', '영화', '를', '찍었겠지만', '결과', '적', '으론', '개망작', '이', '되었음', '백윤식', '조승우', '문채원', '이', '너무', '아깝다']	-15.038435360099616	-5.32
12	12	kuHi_tGmXJ0	난괜찮던데   ,;	['난', '괜찮던데']	0.0	0.0
13	13	kuHi_tGmXJ0	논평 한마디 한마디가 반박할수 없이 허를 찌르네요<br><br>가히 명논평이라 할수 있겠습니다	['논평', '한마디', '한마디', '가', '반박', '할수', '없이', '허를', '찌르네요', '가히', '명', '논평', '이라', '할수', '있겠습니다']	-2.2519277268884257	-1.03
14	14	kuHi_tGmXJ0	지루한걸 떠나서 헌종역으로 남자배우 원래 컨셉인가.? 영화집중이 안됨	['지루한', '걸', '떠나서', '헌종', '역', '으로', '남자배우', '원래', '컨셉', '인가', '영화', '집중', '이', '안됨']	-7.349824790533713	-3.42
15	15	kuHi_tGmXJ0	관상이 떠오르지는 않았는데, 지루하지도 않았고~ 너무 자극적이지 않고 오히려 좋았음.	['관상', '이', '떠오르지는', '않았는데', '지루하지도', '않았고', '너무', '자극', '적', '이지', '않고', '오히려', '좋았음']	-1.844050190805236	-0.87
16	16	kuHi_tGmXJ0	당신 얘기대로면 영화관 다 없애야지	['당신', '얘기', '대로', '면', '영화관', '다', '없애야지']	-1.373391661935556	-0.74
17	17	kuHi_tGmXJ0	저도 리뷰에서 정말 지루한 영화라고 했습니다. 기획부터 관상에게 의존하는 영화니 각본이 비슷한 것은 그러려니합니다. 하지만 연출을 너무 긴장감있게 하지 못했습니다. 한가지 예시로, 조승우가 지도를 훔치러 몰래 들어갔을 때 구도, 상황 등이 스릴을 충분히 낼 수 있는 구조였습니다. 하지만 평이하고 안전하게 숨어있다가 빠져나오는데 성공하죠. 하지만 졸작까지는 잘 모르겠네요. 그냥 너무 밋밋할 뿐이지요. 졸작이라는 평은 최악이라는 소리인데 너무 쉽게 쓰시는거 같습니다	['저', '도', '리뷰', '에서', '정말', '지루한', '영화', '라고', '했습니다', '기획', '부터', '관상', '에게', '의존', '하는', '영화니', '각본', '이', '비슷한', '것', '은', '그러려니', '합니다', '하지만', '연출', '을', '너무', '긴장감', '있게', '하지', '못', '했습니다', '한가지', '예시', '로', '조승우', '가', '지도', '를', '훔치러', '몰래', '들어갔을', '때', '구도', '상황', '등', '이', '스릴', '을', '충분히', '낼', '수', '있는', '구조', '였습니다', '하지만', '평이하고', '안전하게', '숨어있다가', '빠져나오는데', '성공하죠', '하지만', '졸작', '까지는', '잘', '모르겠네요', '그냥', '너무', '밋밋할', '뿐이지요', '졸작', '이라는', '평', '은', '최악', '이라는', '소리', '인데', '너무', '쉽게', '쓰시는거', '같습니다']	-23.326129236382	-8.01
18	18	kuHi_tGmXJ0	와... 개사이다...!!! 정말 속이 시원하네요! 멋진 리뷰 감사합니다.	['와', '개사', '이다', '정말', '속이', '시원하네요', '멋진', '리뷰', '감사합니다']	0.11241609574459964	0.06
19	19	kuHi_tGmXJ0	갑자기 궁금한게 이분이 1점주거나 그이하로준 영화도 있나요? 한번 보고싶음	['갑자기', '궁금한게', '이분', '이', '1', '점주', '거나', '그', '이하', '로', '준', '영화', '도', '있나요', '한번', '보고싶음']	-2.2678085090519637	-1.03
