	Unnamed: 0	id	sentence	comment_cut	score	ratio
0	0	v-4guVeDMmE	잘때 추워... 이불이젖어서.. 땅바닥이 찐득거려.. 설탕때메....	['잘', '때', '추워', '이불', '이', '젖어서', '땅바닥', '이', '찐득거려', '설탕', '때메']	0.9651622691943528	0.47
1	1	v-4guVeDMmE	오프닝 브금 뭐에요?	['오프닝', '브금', '뭐', '에요']	-0.36020375480116124	-0.22
2	2	v-4guVeDMmE	개그맨이 친한 형이구나....	['개그맨', '이', '친한', '형', '이구나']	1.9651622691943504	1.16
3	3	v-4guVeDMmE	얼음뿌릴때 하얀옷입으신분  등장했는데 집주인은 왜 화가많이나죠하면서 나오는걸 보고  처음보는 것마냥 놀라지?	['얼음', '뿌릴', '때', '하얀', '옷', '입으', '신분', '등장', '했는데', '집주인', '은', '왜', '화가', '많이', '나죠하면서', '나오는걸', '보고', '처음', '보는', '것', '마냥', '놀라지']	-6.1841722002580655	-2.64
4	4	v-4guVeDMmE	광고문의하고싶은데어떻게연락드려야되나요	['광고', '문의', '하고', '싶은데', '어떻게', '연락', '드려야', '되나요']	-0.0372136698747747	-0.02
5	5	v-4guVeDMmE	악ㅋ	['악']	0.0	0.0
6	6	v-4guVeDMmE	더블비 민규형 바다가서 물고기 아무렇게나 2마리 이상 잡아주세요	['더블', '비', '민규', '형', '바다', '가서', '물고기', '아무렇게나', '2', '마리', '이상', '잡아주세요']	-0.4677955883762252	-0.22
7	7	v-4guVeDMmE	개그맨 심문규씨 네욬ㅋㅋ	['개그맨', '심문', '규', '씨', '네욬']	0.0	0.0
8	8	v-4guVeDMmE	근데 요즘 하면 하지 안 하나요? 더블비형들	['근데', '요즘', '하면', '하지', '안', '하나요', '더블', '비형', '들']	0.9546016188036908	0.49
9	9	v-4guVeDMmE	또구공탄심문규님ㅋㅋㅋ	['또', '구공탄', '심문', '규', '님']	0.0	0.0
10	10	v-4guVeDMmE	노래뭐에여	['노래', '뭐', '에여']	-0.7348426549261862	-0.5
11	11	v-4guVeDMmE	하면하지 미션~라면 면빨 하나씩만 먹어서 다먹기	['하면하지', '미션', '라면', '면빨', '하나', '씩', '만', '먹어서', '다', '먹기']	-0.6861705484288915	-0.34
12	12	v-4guVeDMmE	강원도가서 물한컵 마시고오기	['강원도', '가서', '물', '한', '컵', '마시고오기']	-0.5094914032922889	-0.29
13	13	v-4guVeDMmE	하~~~면~~~하~~~지<br>얼음물에서<br>30분동안 참기	['하면하지', '얼음', '물', '에서', '30분', '동안', '참기']	-0.8704319494960411	-0.47
14	14	v-4guVeDMmE	저분 어디서 본듯한	['저', '분', '어디서', '본', '듯', '한']	-0.03483773080564982	-0.02
15	15	v-4guVeDMmE	하면하지 ~~    편의점에서 가격할인해달라하고 안된다 하면 <br>김두한 분장해서 야인시대 대사 해주세요 .. !!~~	['하면하지', '편의점', '에서', '가격', '할인', '해달라하고', '안된다', '하면', '김두한', '분장', '해서', '야인시대', '대사', '해주세요']	0.029364512291265688	0.01
16	16	v-4guVeDMmE	하면~하~지! 2L짜리 빨대로 한방울씩 다먹기!	['하면하지', '2', 'L', '짜리', '빨대', '로', '한', '방울', '씩', '다', '먹기']	-0.36020375480116124	-0.18
17	17	v-4guVeDMmE	진짜ㅋㅋㅋㅋ친해도 현관문 비번 알려주면 안되는 이유ㅋㅋㅋㅋㅋㅋ	['진짜', '친해도', '현관문', '비번', '알려주면', '안되는', '이유']	0.5723714087945735	0.31
18	18	v-4guVeDMmE	브금 제목좀..	['브금', '제목', '좀']	-2.8310687127941488e-15	-0.0
19	19	v-4guVeDMmE	이분들에게 미션줄려면 어떻게해야하죠?	['이분', '들', '에게', '미션', '줄려면', '어떻게', '해야하죠']	0.10518047995522843	0.06
20	20	v-4guVeDMmE	하면하지신청!!! 소고기집가서 고기 생으로만 먹고오기	['하면하지', '신청', '소고기', '집가서', '고기', '생으로', '만', '먹고오기']	-0.06967546161129468	-0.04
21	21	v-4guVeDMmE	하면하지미션! 여자꼬시기	['하면하지', '미션', '여자', '꼬', '시기']	-0.4791520925419694	-0.28
22	22	v-4guVeDMmE	하면하지 컨텐츠 이제 끝났나여?	['하면하지', '컨텐츠', '이제', '끝났나여']	0.08600032841130577	0.05
23	23	v-4guVeDMmE	만원 빌린사람한테 100만원 빌렸으니까 돈달라고 해보기 몰카 보고싶어요 ㅎㅎ	['만원', '빌린', '사람', '한테', '100만원', '빌렸으니까', '돈', '달라', '고', '해보기', '몰카', '보고싶어요']	-1.4886056816822917	-0.72
24	24	v-4guVeDMmE	친한형이 개그맨아니에요?	['친', '한형', '이', '개그맨', '아니에요']	-0.4443143617363221	-0.26
25	25	v-4guVeDMmE	헐크 분장하고     지나가는 여자들이랑 데이트하자그러기	['헐크', '분장', '하고', '지나가는', '여자', '들', '이랑', '데이트', '하자', '그러기']	-0.6430077030200797	-0.32
26	26	v-4guVeDMmE	아쿠아리움 수족관에들가주세요	['아쿠아리움', '수족관', '에', '들가주세요']	0.0	0.0
27	27	v-4guVeDMmE	심문규님 맞으시죠?  개콘에서 잘봤습니닼ㅋㅋㅋㅋㅋ	['심문', '규', '님', '맞으시죠', '개콘', '에서', '잘', '봤', '습', '니', '닼']	2.29925828447687	1.13
28	28	v-4guVeDMmE	친한형이 아니라 게콘에 나오는 사람인데	['친', '한형', '이', '아니라', '게콘', '에', '나오는', '사람', '인데']	-0.4284929517711387	-0.22
29	29	v-4guVeDMmE	요즘 이 채널에 푹!!!~~~~빠졌어요!ㅋㅋ 웃기면서 시간가는지도  모르겠어요😆😆넘 재밌어요<br>앞으로도 재미있는 영상 많이 많이 올려주세요!!구독좋아요누르겠씁니답!!!!!	['요즘', '이', '채널', '에', '푹', '빠졌어요', '웃기면서', '시간', '가는지도', '모르겠어요', '넘', '재밌어요', '앞', '으로도', '재미있는', '영상', '많이', '많이', '올려주세요', '구독', '좋아요', '누르겠', '씁니답']	5.991003159889343	2.54
30	30	v-4guVeDMmE	영상을 올려 줍쇼	['영상', '을', '올려', '줍', '쇼']	-0.03483773080564982	-0.02
31	31	v-4guVeDMmE	저 형 개그맨인것 같은데	['저', '형', '개그맨', '인', '것', '같은데']	-0.28863857171371915	-0.16
32	32	v-4guVeDMmE	하면하지 신청이요 남의집 손잡이뿌시고들어가서 음식훔쳐먹기	['하면하지', '신청', '이', '요', '남', '의', '집', '손잡', '이뿌시고', '들어가서', '음식', '훔쳐', '먹기']	-1.069675461611295	-0.51
33	33	v-4guVeDMmE	개콘에나오는 개그맨 아니에요??	['개콘', '에나', '오는', '개그맨', '아니에요']	0.8511822940878111	0.5
34	34	v-4guVeDMmE	아는형이개콘에나오는분아님?	['아는', '형', '이', '개콘', '에나', '오는', '분', '아님']	1.6765236974806308	0.88
35	35	v-4guVeDMmE	마약10키로면얼마나ㅋㅋ	['마약', '10', '키', '로', '면', '얼마나']	-2.1791570166625105	-1.23
36	36	v-4guVeDMmE	요즘ㅈ은 하면하지 안하나요	['요즘', '은', '하면하지', '안하나요']	0.1144499176854803	0.07
37	37	v-4guVeDMmE	"<a href=""https://www.youtube.com/watch?v=v-4guVeDMmE&amp;t=1m26s"">1:26</a> 설탕=소금???????편집??실수"	['126', '설탕', '소금', '편집', '실수']	-1.769680385731836	-1.04
38	38	v-4guVeDMmE	하면하지:길에서 장애인 인척 해서 돈벌기	['하면하지', '길', '에서', '장애인', '인척', '해서', '돈', '벌기']	-2.6130178895900693	-1.37
39	39	v-4guVeDMmE	볼빨간냐지니 인정이욤	['볼', '빨간냐', '지니', '인정이', '욤']	0.0	0.0
40	40	v-4guVeDMmE	헐 .. 저분 개그맨이신데 !!♡	['헐', '저', '분', '개그맨', '이신', '데']	-0.03483773080564982	-0.02
41	41	v-4guVeDMmE	명준씨 발좀 씻어요	['명준', '씨', '발좀', '씻어요']	0.0	0.0
42	42	v-4guVeDMmE	우리함께 기도합시다	['우리', '함께', '기', '도합', '시', '다']	1.3365251832019105	0.75
43	43	v-4guVeDMmE	와.. 개콘..	['와', '개콘']	1.3651721174354303	1.05
44	44	v-4guVeDMmE	빌리버 ㅋㅋㅋ	['빌리버']	-1.6601988306806224	-1.66
45	45	v-4guVeDMmE	하~면~하~지!<br>숨참기 몇처 까지 할수있을까!!<br>해병대와 육군 클라스 보여주세요	['하면하지', '숨', '참기', '몇', '처', '까지', '할수있을까', '해병대', '와', '육군', '클라스', '보여주세요']	2.044138122352168	0.98
46	46	v-4guVeDMmE	아직도 하면하지 해요???	['아직도', '하면하지', '해', '요']	-2.4791520925419697	-1.55
47	47	v-4guVeDMmE	장명준님 오달수 분장한거 아닌가요?	['장', '명', '준', '님', '오달수', '분장', '한', '거', '아닌가요']	-1.434847579046725	-0.73
48	48	v-4guVeDMmE	어제 보고왔는데 ㅈㄴ 웃기네 ㅋㅋㅋㅋ	['어제', '보고왔는데', '웃기', '네']	1.414444993564944	0.88
49	49	v-4guVeDMmE	늦게 구독해서 모르는데 혹시 하면하지 이제 안하세요?ㅠ.ㅠ	['늦게', '구독', '해서', '모르는데', '혹시', '하면하지', '이제', '안', '하세요']	2.132498282007247	1.09
50	50	v-4guVeDMmE	이거 노래 제목이 뭐에요?	['이', '거', '노래', '제목', '이', '뭐', '에요']	-0.4443143617363224	-0.24
51	51	v-4guVeDMmE	민규형 길거리에서 팔씨름 10연승 해주세요 하면 하지	['민규', '형', '길거리', '에서', '팔씨름', '10', '연승', '해주세요', '하면', '하지']	-0.836592137380912	-0.42
52	52	v-4guVeDMmE	이분들 아까 티비에서 본것같은데 기분탓인가ㅋㅋㅋㅋ	['이분', '들', '아까', '티비', '에서', '본것', '같은데', '기분', '탓', '인가']	-0.1949941265840227	-0.1
53	53	v-4guVeDMmE	더블비의 하면하지 고추냉이로<br>양치하기	['더블', '비', '의', '하면하지', '고추냉이', '로', '양치', '하기']	1.4018995697172247	0.74
54	54	v-4guVeDMmE	비불기 마술단에서 매일 괴롭힘 당하는 사람아님 ㅋㅋㅋ심문규	['비', '불기', '마술', '단', '에서', '매일', '괴롭힘', '당하는', '사람', '아님', '심문', '규']	-0.1626526192027122	-0.08
55	55	v-4guVeDMmE	이거 나오고 거의 바로 봤는디<br>충격적이였음 15금이라니 <br>19금수준인데<br>+15금이다 보니 유치원생도 와서 봤는데 부모는 전혀 놀라지도 아이의<br>귀나 눈을 막는 행위도 심지어 유치원생 2명이였는데 엄청 떠드는데도 막지 않았음 ...	['이', '거', '나오고', '거의', '바로', '봤는디', '충격', '적이였음', '15', '금', '이라니', '19', '금', '수준', '인데', '15', '금', '이다', '보니', '유치원', '생도', '와서', '봤는데', '부모', '는', '전혀', '놀라지도', '아이', '의', '귀', '나', '눈', '을', '막는', '행위', '도', '심지어', '유치원', '생', '2', '명', '이', '였는데', '엄청', '떠드는데도', '막지', '않았음']	-8.585225887484244	-3.21
56	56	v-4guVeDMmE	휘경동이죠	['휘경동', '이', '죠']	0.0	0.0
57	57	v-4guVeDMmE	저희집주변임ㅋㅋㅋㅋㅋ	['저희', '집', '주변', '임']	-0.3253660239955139	-0.2
58	58	v-4guVeDMmE	평소에 즐겨보다가 구독안한거 알고 바로 구독했어요^^	['평소', '에', '즐겨보다', '가', '구독', '안', '한거', '알', '고', '바로', '구독', '했어요']	0.7080519279129247	0.34
59	59	v-4guVeDMmE	스웨덴전 ㅋㅋㅋ 얼굴잘봤어요	['스웨덴', '전', '얼굴', '잘', '봤어요']	1.9208577556991056	1.13
60	60	v-4guVeDMmE	지성최 헐 잘못본게 아니였네ㅋㄱㅋㅋㄱ	['지성', '최', '헐', '잘', '못', '본게', '아니였네']	1.374638900125025	0.75
61	61	v-4guVeDMmE	하면하지 물티슈에 있는물 다짜보기	['하면하지', '물티슈', '에', '있는', '물', '다', '짜', '보기']	0.576961053398403	0.3
62	62	v-4guVeDMmE	형들 몰카도 재미있지만 &lt;하면하지&gt;부활시켜주세요 ㅎㅎ	['형', '들', '몰카', '도', '재미있지만', 'lt', '하면하지', 'gt', '부활', '시켜주세요']	-0.1045131924169445	-0.05
63	63	v-4guVeDMmE	젤리뗌에 찐득거리고 잘때 춥데ㅋㅋㅋㅋㅋㅋ항상 많은 웃음을 준 우리더불비님에게 박수!!	['젤리', '뗌에', '찐득거리고', '잘', '때', '춥데', '항상', '많은', '웃음', '을', '준', '우리', '더불', '비', '님', '에게', '박수']	2.1877074772897243	0.98
64	64	v-4guVeDMmE	ㅋㅋㅋㅋㅋ	[]	0.0	-0.0
65	65	v-4guVeDMmE	아멘	['아멘']	0.0	0.0
66	66	v-4guVeDMmE	이와중에 마지막 반지사탕ㅋㅋ	['이', '와중', '에', '마지막', '반지', '사탕']	-0.8545953904141567	-0.48
67	67	v-4guVeDMmE	거의 영화배우급 ㅋㅋㅋ 실화냐? 조온나 멋있다 ㅋㅋ ㅇㅈ?	['거의', '영화배우', '급', '실화', '냐', '조온나', '멋있다']	2.4462040832124665	1.33
68	68	v-4guVeDMmE	하면하~~~~지 지하철보다빨리다음역도착하기	['하면하지', '지하철', '보다', '빨리다', '음역', '도', '착하기']	-0.2045279647785583	-0.11
69	69	v-4guVeDMmE	하면하지 아직하나요??.. 쫄병 안성탕면으로 라면끓여먹기 하고싶은데..	['하면하지', '아직', '하나요', '쫄병', '안성탕면', '으로', '라면', '끓여', '먹기', '하고싶은데']	-0.3271292878894825	-0.16
70	70	v-4guVeDMmE	아는 형이 개그맨 아닌가여 어디서 많이 봤어요.	['아는', '형', '이', '개그맨', '아닌가여', '어디서', '많이', '봤어요']	0.3765286216011695	0.2
71	71	v-4guVeDMmE	하면하지-명준님 스쿼트200개하고 민규님 처럼 팔굽혀펴기 100개하기(이 미션 모두다 명준님이 하시기)!!!!부탁 드려요	['하면하', '지명', '준', '님', '스쿼트', '200', '개', '하고', '민규', '님', '처럼', '팔굽혀펴기', '100', '개', '하기이', '미션', '모두', '다', '명준', '님', '이', '하시기', '부탁', '드려요']	-0.8209205815405012	-0.34
72	72	v-4guVeDMmE	조진거아니녴ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ형들 윸쾌하심다 ㅎ	['조진거아니', '녴', '형', '들', '윸쾌', '하', '심다']	0.0	0.0
73	73	v-4guVeDMmE	게그맨아님??	['게', '그', '맨', '아님']	0.19051352082824746	0.12
74	74	v-4guVeDMmE	아니!?  여기 나오는 그 아는 형이<br>개그맨이네	['아니', '여기', '나오는', '그', '아는', '형', '이', '개그맨', '이네']	0.347614037585096	0.18
75	75	v-4guVeDMmE	저 분 개그맨 아닌가?	['저', '분', '개그맨', '아닌가']	0.10967890001055876	0.07
76	76	v-4guVeDMmE	그냥 정상수 ㅋ	['그냥', '정상', '수']	0.9358879402805268	0.63
77	77	v-4guVeDMmE	영상 많이 올려주세요!더블비 영상 다봐서 볼께 없어요....ㅜㅜ	['영상', '많이', '올려주세요', '더블', '비', '영상', '다', '봐서', '볼', '께', '없어요']	1.9258261183333771	0.94
78	78	v-4guVeDMmE	개그콘서트에서 본거 같은데 비둘기 마술단?	['개그콘서트', '에서', '본거', '같은데', '비둘기', '마술', '단']	0.2757770578369623	0.15
79	79	v-4guVeDMmE	영상보는데 설탕냄새나는거같앸ㅋㅋㅋㅋㅋ	['영상', '보는데', '설탕', '냄새', '나', '는거', '같', '앸']	-0.1045131924169445	-0.05
80	80	v-4guVeDMmE	마리오인줄ㅋㅋㅋㅋㅋㅋㅋㅋ	['마리오', '인', '줄']	0.0	0.0
81	81	v-4guVeDMmE	ㅋㅋㅋㅋㅋㅋㅋㅋㅋ	[]	0.0	-0.0
82	82	v-4guVeDMmE	하면하지!!!명준c 면상에 가짜똥 뿌리고 튀기	['하면하', '지명', '준', 'c', '면상', '에', '가짜', '똥', '뿌리', '고', '튀기']	-2.0	-0.98
83	83	v-4guVeDMmE	하면~~~~~~하지<br>샤워 10초만에 하깈ㅋㅋ<br>제발 뽑아주세요	['하면하지', '샤워', '10초', '만에', '하깈', '제발', '뽑아주세요']	-0.06967546161129468	-0.04
84	84	v-4guVeDMmE	나도 하트줘여~~	['나도', '하트', '줘여']	-0.03483773080564734	-0.02
85	85	v-4guVeDMmE	변기물 1리터 음미하면서 먹기 하면하지~	['변기', '물', '1', '리터', '음미', '하면서', '먹기', '하면하지']	-0.06967546161129716	-0.04
86	86	v-4guVeDMmE	"<a href=""https://www.youtube.com/watch?v=v-4guVeDMmE&amp;t=0m31s"">0:31</a>  손흥민"	['031', '손흥민']	0.0	0.0
87	87	v-4guVeDMmE	처음에 나온 브금 이름좀	['처음', '에', '나온', '브금', '이름', '좀']	-0.8976931699278661	-0.5
88	88	v-4guVeDMmE	인기급상승 38위?<br>와 축하	['인기', '급상승', '38', '위', '와', '축하']	3.0	1.69
89	89	v-4guVeDMmE	어 개그맨아닌가?	['어', '개그맨', '아닌가']	0.10967890001055876	0.07
90	90	v-4guVeDMmE	여기서 해도되는지 모르겠는데 하면하지 미션이요 아쿠아리움가서 상어목비틀어주세요	['여기', '서', '해도', '되는지', '모르겠는데', '하면하지', '미션', '이', '요', '아쿠아리움', '가서', '상어', '목비', '틀어주세요']	-0.7206416451289954	-0.34
91	91	v-4guVeDMmE	더블비 형들!! 형들 주목받진 않았지만 아이스버킷챌린지 해주세요!!! 형들	['더블', '비', '형', '들', '형', '들', '주목', '받진', '않았지만', '아이스', '버킷', '챌', '린지', '해주세요', '형', '들']	1.2954966558241332	0.59
92	92	v-4guVeDMmE	이사람도 개그맨같은데	['이', '사람', '도', '개그맨', '같은데']	-0.5758908787861186	-0.34
93	93	v-4guVeDMmE	미치겠닼ㅋㅋㅋㅋㅋ	['미치겠', '닼']	0.0	0.0
94	94	v-4guVeDMmE	처음에 나오는 브금 이름 뭐예요?	['처음', '에', '나오는', '브금', '이름', '뭐', '예요']	-2.0135628665105525	-1.09
95	95	v-4guVeDMmE	독전안봐서 비슷한지 몰겠다..	['독전', '안', '봐서', '비슷한지', '몰겠다']	-0.017874690212868142	-0.01
96	96	v-4guVeDMmE	처음에 나오는 노래뭐애요 재목종알려주세요	['처음', '에', '나오는', '노래', '뭐애', '요', '재목', '종', '알려주세요']	-0.9336162244625008	-0.48
97	97	v-4guVeDMmE	영상 오프닝 브금 제목 이 뭐죠?	['영상', '오프닝', '브금', '제목', '이', '뭐', '죠']	-0.03483773080565267	-0.02
98	98	v-4guVeDMmE	썸네일 오른쪽에 찰리채플린잍ㅋㅋㅋㅋㅋㅋㅋㅌㅌㅌㅋㅋㅋ	['썸네일', '오른쪽', '에', '찰리채플린', '잍']	0.0	0.0
99	99	v-4guVeDMmE	음… 또 다른 채널 홍보였네…	['음', '또', '다른', '채널', '홍보', '였네']	-0.104513192416942	-0.06
100	100	v-4guVeDMmE	물1.5L 마시고 1시간동안 오줌 참아주세요(마시고 바로 1시간 시작)	['물', '15', 'L', '마시고', '1시간', '동안', '오줌', '참아주세요', '마시고', '바로', '1시간', '시작']	-1.5490248991126094	-0.75
101	101	v-4guVeDMmE	하면하지  맨토스 입에넣고 콜라 마시기	['하면하지', '맨', '토스', '입', '에', '넣고', '콜라', '마시기']	-0.03483773080564734	-0.02
102	102	v-4guVeDMmE	하면하지 옷가게가서 청소해주기	['하면하지', '옷가게', '가서', '청소', '해주기']	-0.5443291340979363	-0.32
103	103	v-4guVeDMmE	오늘 또 개콘 촬영 하셔야죠^^<br>내일인가?	['오늘', '또', '개콘', '촬영', '하셔야죠', '내일', '인가']	1.7538432758103213	0.95
104	104	v-4guVeDMmE	형들 성경 어디서 구했어? 교회 다녀?	['형', '들', '성경', '어디서', '구', '했어', '교회', '다녀']	-0.03483773080564982	-0.02
105	105	v-4guVeDMmE	ㅋㅋㅋㅋㅋ진짜웃겨옄ㅋㅋㅋ	['진짜', '웃겨', '옄']	0.12616732558210433	0.09
106	106	v-4guVeDMmE	불쌍햌ㅋㅋ	['불쌍햌']	0.0	0.0
107	107	v-4guVeDMmE	PPAP아저시인가요	['PPAP', '아', '저', '시', '인가요']	0.0	0.0
