,id,sentence,comment_cut,score,ratio
0,bWsNWtylaVc,존잼 존잼 어제 처음으로 혼영하고 왔는데 너무너무너무너무 재밌었어요 학 ♥️♥️,"['존잼', '존잼', '어제', '처음', '으로', '혼영', '하고', '왔는데', '너무', '너무', '너무', '너무', '재밌었어요', '학']",0.5021582258207351,0.23
1,bWsNWtylaVc,보도싶어도 못봐요.. 백두산으로 상영관 상영시간 확줄어듬<br>지금 수원역 스크린x말고는 없던데...,"['보도싶어도', '못', '봐요', '백두산', '으로', '상영', '관', '상영', '시간', '확', '줄어', '듬', '지금', '수원역', '스크린', 'x', '말고는', '없던데']",-0.6642047339985724,-0.29
2,bWsNWtylaVc,좆도 재미없어보이는 백두산땜에 못본다니 개빡치네,"['좆', '도', '재미없어', '보이는', '백두산', '땜', '에', '못', '본다니', '개', '빡치네']",-2.491768952476267,-1.22
3,B3k2Dq7hVpQ,영화들이 다 저주를 받고 있나 왜 몇년째 다 망하고 있어...,"['영화', '들', '이', '다', '저주', '를', '받고', '있나', '왜', '몇', '년', '째', '다', '망하고', '있어']",-2.0132818046855117,-0.93
4,B3k2Dq7hVpQ,로빈 윌리암스님 그립읍니다,"['로빈', '윌리암스', '님', '그립', '읍니', '다']",0.0,0.0
5,B3k2Dq7hVpQ,1편을 보고 2편을 봐야 ~ 함~,"['1', '편', '을', '보고', '2', '편', '을', '봐야', '함']",1.3049386285142393,0.67
6,B3k2Dq7hVpQ,"한국에 통역이 어떻게 된진 모르겠고 여러 유머 러퍼런스가 워낙 미국적이라 한국 관객들에겐 재미 없을것도 같지만, 미국에선, 미국감성으론 꽤 재밌고, 케빈하트의 할아버지 연기는 정말 압권임. 물론 개연성 결점이 많지만, 오락영화 본연의 재미추구는 성공적이라 생각합니다.","['한국', '에', '통역', '이', '어떻게', '된진', '모르겠고', '여러', '유머', '러퍼런스', '가', '워낙', '미국', '적', '이라', '한국', '관객', '들', '에겐', '재미', '없을것도', '같지만', '미국', '에선', '미국', '감성', '으론', '꽤', '재밌고', '케빈하트', '의', '할아버지', '연기', '는', '정말', '압권임', '물론', '개연', '성', '결점', '이', '많지만', '오락', '영화', '본연', '의', '재미', '추구', '는', '성공', '적', '이라', '생각', '합니다']",9.505148543148955,3.48
7,B3k2Dq7hVpQ,캐츠 옆엔 수작이에여....ㅡ.ㅠ,"['캐츠', '옆', '엔', '수작', '이', '에여']",0.0,0.0
8,B3k2Dq7hVpQ,"중국이 영화에 투자하면 b급으로 추락하죠.<br>쥬만지 1편 영화가 정말 명작이였는데 중국이 왜 자꾸 명작들을 망칠려고 하는걸까요?<br>트랜스포머, 퍼시픽 림, 인디팬더스데이 등등....  여러 명작들을 중국이 죄다 망쳐놓네요.","['중국', '이', '영화', '에', '투자', '하면', 'b', '급', '으로', '추락', '하죠', '쥬만지', '1', '편', '영화', '가', '정말', '명작', '이', '였는데', '중국', '이', '왜', '자꾸', '명작', '들', '을', '망칠려고', '하', '는걸', '까요', '트랜스포머', '퍼시픽', '림', '인디', '팬더스', '데이', '등등', '여러', '명작', '들', '을', '중국', '이', '죄다', '망쳐놓네요']",0.46840905699251595,0.18
9,B3k2Dq7hVpQ,톰크루즈 미이라 ㅋㅋㅋㅋㅋㅋ,"['톰크루즈', '미이라']",0.0,0.0
10,B3k2Dq7hVpQ,항상 비평과 비난은 한끗 차이이고 이 부분을 신경써서 리뷰를 진행하시는게 좋았는데 이번 리뷰는 선을 넘은 부분이 있네요 동양인 캐릭터가 나왔는데 전형적인 pc라고 언급하고 지나치면 될 부분인데 동양적인 부분도 없다고 말하시다니요? 이 부분은 대안점이나 개선점이 없다는 부분에서 단순한 비난입니다. 동양적인 면을 잘 살려서 캐릭터를 만들었다면 전형적인 pc캐릭터가 되어버리죠. 전혀 비평의 방향이 아니라 단순히 비난입니다. 굳이 표현을 하고 싶으시다면 캐릭터가 특색이 없다던가 의미를 모르겠다던가로 넘어가셨어야지 전형적인 인종 pc로 치부하시고선 사족으로 그 특색도 못 살렸다는건 확실하게 비난의 영역입니다. 이 글을 읽으실지는 모르겠지만 재미있게 리뷰를 봐왔던 사람으로서 안타까움에 글을 남깁니다.,"['항상', '비평', '과', '비난', '은', '한끗', '차이', '이고', '이', '부분', '을', '신경', '써서', '리뷰', '를', '진행', '하시는게', '좋았는데', '이번', '리뷰', '는', '선', '을', '넘은', '부분', '이', '있네요', '동양인', '캐릭터', '가', '나왔는데', '전형', '적', '인', 'pc', '라고', '언급', '하고', '지나치면', '될', '부분', '인데', '동양', '적', '인', '부분', '도', '없다고', '말', '하시다니요', '이', '부분', '은', '대안', '점', '이나', '개선', '점', '이', '없다는', '부분', '에서', '단순한', '비난', '입니다', '동양', '적', '인', '면', '을', '잘', '살려서', '캐릭터', '를', '만들었다면', '전형', '적', '인', 'pc', '캐릭터', '가', '되어', '버리죠', '전혀', '비평', '의', '방향', '이', '아니라', '단순히', '비난', '입니다', '굳이', '표현', '을', '하고', '싶으시다면', '캐릭터', '가', '특색', '이', '없다던가', '의미', '를', '모르겠다던가로', '넘어가셨어야지', '전형', '적', '인', '인종', 'pc', '로', '치부', '하시고선', '사족', '으로', '그', '특색', '도', '못', '살렸다는건', '확실하게', '비난', '의', '영역', '입니다', '이', '글', '을', '읽으실지는', '모르겠지만', '재미있게', '리뷰', '를', '봐', '왔던', '사람', '으로서', '안타까', '움', '에', '글', '을', '남깁니다']",13.356588173407214,4.23
