	Unnamed: 0	id	sentence	comment_cut	score	ratio
0	0	guAyLidoOKY	영상에서도 설명하고 있지만 주인공과 강승혜의 이름을 잘못 말했습니다. 자막이 맞습니다. 주인공 이름은 경민입니다. 앞으로 더욱 조심하도록 하겠습니다.	['영상', '에서도', '설명', '하고', '있지만', '주인공', '과', '강', '승혜', '의', '이름', '을', '잘못', '말', '했습니다', '자막', '이', '맞습니다', '주인공', '이름', '은', '경민', '입니다', '앞', '으로', '더욱', '조심하도록', '하겠습니다']	-0.30673958922258393	-0.13
1	1	guAyLidoOKY	저는 마지막 호텔갔을때 무서웠어요 추격자 생각도 나고 ㅎㅎㅎ	['저', '는', '마지막', '호텔', '갔을', '때', '무서웠어요', '추격자', '생각', '도', '나고']	-0.6598123375637819	-0.32
2	2	guAyLidoOKY	스토커와 이형사 그리고 오피스텔 경비 본 순간 이미 예측했다 ㅋㅋㅋ 내가 너무 영화를 너무 많이 본것인가 ㅋㅋㅋㅋ	['스토커', '와', '이', '형사', '그리고', '오피스텔', '경비', '본', '순간', '이미', '예측', '했다', '내', '가', '너무', '영화', '를', '너무', '많이', '본것인가']	1.197061337545462	0.52
3	3	guAyLidoOKY	초중반 까지는 최근 혼자사는 여성의 공포를 공감할수 있는 장면도 있었고 또 주인공 주변에 모든 남자가 여성에게 딱히 호의적인 모습을 보이지 않고 의심갈만한 짓을 한다거나.. 심지어 경찰마저 경민의 탓을 하는장면이나 커피사건등 보면서 분노가 치밀었습니다. 솔직히 여기까진 뭐 잘만들었구나 싶었는데 뒤로 가면갈수록 스토리가 막장이되어서 진짜 아까운 영화였습니다ㅠㅠ	['초', '중반', '까지는', '최근', '혼자', '사는', '여성', '의', '공포', '를', '공감', '할수', '있는', '장면', '도', '있었고', '또', '주인공', '주변', '에', '모든', '남자', '가', '여성', '에게', '딱히', '호의', '적', '인', '모습', '을', '보이지', '않고', '의심', '갈만', '한', '짓', '을', '한다거나', '심지어', '경찰', '마저', '경민', '의', '탓', '을', '하는', '장면', '이나', '커피', '사건', '등', '보면서', '분노', '가', '치밀었습니다', '솔직히', '여기', '까진', '뭐', '잘', '만들었구나', '싶었는데', '뒤', '로', '가면', '갈수록', '스토리', '가', '막장', '이', '되어서', '진짜', '아까운', '영화', '였습니다']	10.969768973759251	3.81
4	4	guAyLidoOKY	근데 나는 나름 재밌던데ㅋㅈㅋ	['근데', '나', '는', '나름', '재밌던데']	-0.8142999518178851	-0.48
5	5	guAyLidoOKY	말로는 정민이라고 들려	['말', '로는', '정민', '이라고', '들려']	-0.3211168434072522	-0.19
6	6	guAyLidoOKY	이제야 영화를 봤는데 정말 초반부는 요고 괜찮은데?! 하는 생각이 들다가 여주가 도어락키 발견하고 집집마다 문열러 다니는 순간 끝났습니다. 멍청한 주인공, 무능한 경찰, 사이코패스... 도대체 이 클리셰는 언제쯤 안볼 수 있을지 ㅡㅡ	['이제야', '영화', '를', '봤는데', '정말', '초반', '부는', '요', '고', '괜찮은데', '하는', '생각', '이', '들다가', '여주', '가', '도어', '락키', '발견', '하고', '집집', '마다', '문', '열러', '다니는', '순간', '끝났습니다', '멍청한', '주인공', '무능한', '경찰', '사이코패스', '도대체', '이', '클리셰', '는', '언제', '쯤', '안', '볼', '수', '있을지']	-3.1151321790273463	-1.19
7	7	guAyLidoOKY	그럼 공포란뭔데요?	['그럼', '공포', '란', '뭔', '데', '요']	-2.3211168434072524	-1.31
8	8	guAyLidoOKY	총든 경찰 &lt; 사이코패스 범인 &lt; 공효진  결론 처음부터 공효진이 끝판왕임 ㅇㅇ	['총', '든', '경찰', 'lt', '사이코패스', '범인', 'lt', '공효진', '결론', '처음', '부터', '공효진', '이', '끝판', '왕', '임']	-1.464681275195186	-0.66
9	9	guAyLidoOKY	"<a href=""https://www.youtube.com/watch?v=guAyLidoOKY&amp;t=10m55s"">10:55</a> 패딩드립은 너무억지잖아..ㅋㅋ"	['1055', '패딩드립', '은', '너무', '억지', '잖아']	-0.8064998234546745	-0.45
