	Unnamed: 0	id	sentence	comment_cut	score	ratio
0	0	NpYnurspxf4	ㅋㅋ  평론가를 목표로 두신다면 영화를 감상하는 시각부터 바꾸세요 ㅋㅋ	['평론가', '를', '목표', '로', '두신다면', '영화', '를', '감상', '하는', '시각', '부터', '바꾸세요']	-1.4981324811508174	-0.72
1	1	NpYnurspxf4	영화과에 많은 유형의 리뷰<br>사실 별 거 없음.	['영화', '과', '에', '많은', '유형', '의', '리뷰', '사실', '별', '거', '없음']	-2.2850479687644256	-1.12
2	2	NpYnurspxf4	드웨인 나오면 그영화는 안본다..  18 다 똑같에..	['드웨', '인', '나오면', '그', '영화', '는', '안', '본다', '18', '다', '똑같에']	-0.9596381603119456	-0.47
3	3	NpYnurspxf4	리뷰를 안보고 영화를 보길 잘했군요  때로는 생각이 과하면 본인만 피곤해져요 ㅋ-ㅋ	['리뷰', '를', '안보', '고', '영화', '를', '보길', '잘', '했군요', '때로는', '생각', '이', '과', '하면', '본인', '만', '피곤해져요']	0.07738028584973905	0.03
4	4	NpYnurspxf4	ㅇㅁㅇ 재밌던데 왤캐 단점 위주로 까시지 전 10점 만점에 7~8점 주고싶던데	['재밌던데', '왤', '캐', '단점', '위주', '로', '까시지', '전', '10', '점', '만점', '에', '78', '점', '주고싶던데']	-0.4525887710618335	-0.21
5	5	NpYnurspxf4	욕을 할라고 만듬?? ㅋㅋ	['욕', '을', '할라고', '만듬']	-2.0	-1.25
6	6	NpYnurspxf4	그냥 재밌던데...	['그냥', '재밌던데']	-0.9507439200012088	-0.73
7	7	NpYnurspxf4	우와... 한 영상 보고 구독 누른 적은 첨이네요. 영화비평 너무 잘 봤습니다.	['우와', '한', '영상', '보고', '구독', '누른', '적은', '첨', '이네요', '영화비평', '너무', '잘', '봤습니다']	3.3438512596882592	1.58
8	8	NpYnurspxf4	뭘이리 생각이 많아 ㅋㅋㅋㅋㅋ<br>오락성 영화에 의미두고 진지빨지마라 ㅋㅋㅋㅋㅋ	['뭘', '이리', '생각', '이', '많아', '오락', '성', '영화', '에', '의미', '두고', '진지', '빨지마라']	-4.090393014108414	-1.93
9	9	NpYnurspxf4	당신의 심장을 주세요 ❣️	['당신', '의', '심장', '을', '주세요']	-0.4525887710618335	-0.27
10	10	NpYnurspxf4	진짜 재미없음	['진짜', '재미없음']	-0.6016393494656983	-0.46
11	11	NpYnurspxf4	워킹데드 나오는 니건 아저씨네 ㅋㅋ<br>야구 방망이 루실은 어쩌고	['워킹데드', '나오는', '니', '건', '아저씨', '네', '야구', '방망이', '루실', '은', '어쩌', '고']	-0.9051775421236656	-0.44
12	12	NpYnurspxf4	구독 취소 눌럿다 님 리뷰는 안봅니다 이제는 ~~~~~	['구독', '취소', '눌럿다', '님', '리뷰', '는', '안', '봅니다', '이제', '는']	-0.8866873182301273	-0.44
13	13	NpYnurspxf4	조지 거의 끝자럭에 가슴에 뭐 박힘	['조지', '거의', '끝자럭', '에', '가슴', '에', '뭐', '박힘']	-1.3577663131855005	-0.71
14	14	NpYnurspxf4	솔직히 콩아일렌드 2임	['솔직히', '콩', '아일렌', '드', '2', '임']	-1.3983606505343005	-0.79
15	15	NpYnurspxf4	라이너님이 말씀하시는 부분은 제가 생각한 거와 비슷하네요 거기다가 제가 모르는 혹은 놓쳤을 전문적인 설명까지 있으니 좋네요 근데 언제나 느끼지만...평점은 짜네요 아무튼 리뷰 잘 들었습니다	['라이너', '님', '이', '말씀', '하시는', '부분', '은', '제', '가', '생각', '한', '거', '와', '비슷하네요', '거기', '다가', '제', '가', '모르는', '혹은', '놓쳤을', '전문', '적', '인', '설명', '까지', '있으니', '좋네요', '근데', '언제나', '느끼지만', '평점', '은', '짜네요', '아무튼', '리뷰', '잘', '들었습니다']	-9.001442050756019	-3.49
16	16	NpYnurspxf4	리뷰보다 접기는 또 첨이네 겁나 재미없어ㅋㅋㅋ아니 이 리뷰가 재미없다는게 아니라ㅋㅋ 영화가요ㅋ어밴저스랑 고민하다가 어밴저스보길 잘했네요 ^^ 귀에 찰떡같이 달라붙는 라이너님 목소리는 언제나 엄지척♡	['리뷰', '보다', '접기', '는', '또', '첨', '이네', '겁나', '재미없어아니', '이', '리뷰', '가', '재미없다는게', '아니라', '영화', '가요', '어', '밴', '저', '스랑', '고민', '하다가', '어밴저스보길', '잘', '했네요', '귀', '에', '찰떡', '같이', '달라붙는', '라이너', '님', '목소리', '는', '언제나', '엄지', '척']	1.198689542814957	0.47
17	17	NpYnurspxf4	전 영화의 지식이 1도 없는 사람입니다. 근데 제가 느꼈던 감상과 라이너님 리뷰가 똑같아서 놀랐습니다.  자기가 원하는 대답이 아니면 비판부터하는 사람이 많은것같아요. 라이너님 항상 응원합니다! 계속해서 좋은 영상 올려주세요^^	['전', '영화', '의', '지식', '이', '1', '도', '없는', '사람', '입니다', '근데', '제', '가', '느꼈던', '감상', '과', '라이너', '님', '리뷰', '가', '똑같아서', '놀랐습니다', '자기', '가', '원하는', '대답', '이', '아니면', '비판', '부터', '하는', '사람', '이', '많은것', '같아요', '라이너', '님', '항상', '응원', '합니다', '계속', '해서', '좋은', '영상', '올려주세요']	-8.641467095831791	-3.26
18	18	NpYnurspxf4	댓글들 진짜...하...단순하게 부서지고 폭파하는거 볼려고 하신분들은 걍 이 리뷰보고 저런 사람도 있구나 넘어가면돼지 &#39;왜 내생각이랑 다른거야!!!&#39; 찡얼 찡얼 거리십니까? 저 영화에 좋은말만 있는 영상을 원하면 걍 그거 찾아보세요.	['댓글', '들', '진짜', '하', '단순하게', '부서지고', '폭파', '하는거', '볼려고', '하', '신분', '들', '은', '걍', '이', '리뷰', '보고', '저런', '사람', '도', '있구나', '넘어가면', '돼지', '39', '왜', '내', '생각', '이랑', '다른거야', '39', '찡', '얼', '찡', '얼', '거리', '십', '니까', '저', '영화', '에', '좋은', '말', '만', '있는', '영상', '을', '원하면', '걍', '그거', '찾아보세요']	-3.3086111457822613	-1.23
19	19	NpYnurspxf4	님도 그냥 &#39;이런 사람들도 있구나&#39; 생각하고 넘기면서  칭찬만 하는 댓글만 찾아보세요<br>비판하는 사람들에게 뭐라뭐라하면서 본인도 똑같이 비판(?)하고 계시네	['님', '도', '그냥', '39', '이런', '사람', '들', '도', '있구나', '39', '생각', '하고', '넘기면서', '칭찬', '만', '하는', '댓글', '만', '찾아보세요', '비판', '하', '는', '사람', '들', '에게', '뭐라', '뭐라하면서', '본인', '도', '똑같이', '비판', '하고', '계시', '네']	-6.811776624899903	-2.69
20	20	NpYnurspxf4	나는 겁나 재밌게 봤는데 꾸르잼 ~~	['나', '는', '겁나', '재밌게', '봤는데', '꾸르잼']	-0.529600080528136	-0.3
21	21	NpYnurspxf4	이런 영화는 그냥 가볍게 보라고 만든거야...너무 꼴갖지않게 아는척 유식한척 하지말자...지까짓게 뭘안다고...	['이런', '영화', '는', '그냥', '가볍게', '보라', '고', '만든거야', '너무', '꼴', '갖지', '않게', '아는', '척', '유식', '한', '척', '하지말자', '지까짓', '게', '뭘', '안다고']	-4.371257456648533	-1.87
