	Unnamed: 0	id	sentence	comment_cut	score	ratio
0	0	lV4wvkIidCE	"<a href=""https://www.youtube.com/watch?v=lV4wvkIidCE&amp;t=1m06s"">1:06</a> the subtitle said lap dance not tap dance"	['106', 'the', 'subtitle', 'said', 'lap', 'dance', 'not', 'tap', 'dance']	0.0	0.0
1	1	lV4wvkIidCE	as expected from chriastan DO	['as', 'expected', 'from', 'chriastan', 'DO']	-0.2551656641157467	-0.15
2	2	lV4wvkIidCE	Happy feet...	['Happy', 'feet']	0.0	0.0
3	3	lV4wvkIidCE	d.o. my  boy  so handsome	['do', 'my', 'boy', 'so', 'handsome']	0.0	0.0
4	4	lV4wvkIidCE	😂😂😂🤣🤣🤣🤣🥰🥰🥰🥰🥰🥰	[]	0.0	-0.0
5	5	lV4wvkIidCE	I LOVE D.O. ❤❤❤	['I', 'LOVE', 'DO']	0.0	0.0
6	6	lV4wvkIidCE	I love D O	['I', 'love', 'D', 'O']	0.0	0.0
7	7	lV4wvkIidCE	That&#39;s my boy .	['That', '39', 's', 'my', 'boy']	-0.17647554705817806	-0.1
8	8	lV4wvkIidCE	Omg	['Omg']	0.0	0.0
9	9	lV4wvkIidCE	Damn happy feet rlly upped their graphics	['Damn', 'happy', 'feet', 'rlly', 'upped', 'their', 'graphics']	0.0	0.0
10	10	lV4wvkIidCE	Love DO	['Love', 'DO']	0.0	0.0
11	11	lV4wvkIidCE	Ahhh  no puedo dejar se reír los amo😂😂	['Ahhh', 'no', 'puedo', 'dejar', 'se', 'rer', 'los', 'amo']	0.0	0.0
12	12	lV4wvkIidCE	His gaze when speaks North Korean accent🔥❤	['His', 'gaze', 'when', 'speaks', 'North', 'Korean', 'accent']	0.0	0.0
13	13	lV4wvkIidCE	"<a href=""https://www.youtube.com/watch?v=lV4wvkIidCE&amp;t=1m06s"">1:06</a>"	['106']	0.0	0.0
14	14	lV4wvkIidCE	Kyungsoo is so good in everything! He&#39;s so multitalented and the rest of EXO members. I can&#39;t even walk in heels without tripping 😢	['Kyungsoo', 'is', 'so', 'good', 'in', 'everything', 'He', '39', 's', 'so', 'multitalented', 'and', 'the', 'rest', 'of', 'EXO', 'members', 'I', 'can', '39', 't', 'even', 'walk', 'in', 'heels', 'without', 'tripping']	-0.17647554705817806	-0.07
15	15	lV4wvkIidCE	😘👏👏👏👏❤❤❤❤❤❤❤❤❤❤	[]	0.0	-0.0
16	16	lV4wvkIidCE	Kyungsoo is so good at everything he does! 🤩 He&#39;s so passionate &amp; hardworking &amp; I&#39;m pretty sure he puts extra efforts (practices on singing, dancing &amp; acting) on his own especially with his busy schedules! 👍 Do Kyungsoo is such an amazing human being! 🐧💖	['Kyungsoo', 'is', 'so', 'good', 'at', 'everything', 'he', 'does', 'He', '39', 's', 'so', 'passionate', 'amp', 'hardworking', 'amp', 'I', '39', 'm', 'pretty', 'sure', 'he', 'puts', 'extra', 'efforts', 'practices', 'on', 'singing', 'dancing', 'amp', 'acting', 'on', 'his', 'own', 'especially', 'with', 'his', 'busy', 'schedules', 'Do', 'Kyungsoo', 'is', 'such', 'an', 'amazing', 'human', 'being']	-0.6868068752896745	-0.26
17	17	lV4wvkIidCE	D. O. 💕	['D', 'O']	0.0	0.0
18	18	lV4wvkIidCE	"<a href=""https://www.youtube.com/watch?v=lV4wvkIidCE&amp;t=1m06s"">1:06</a> the subs said lap dance lol"	['106', 'the', 'subs', 'said', 'lap', 'dance', 'lol']	0.0	0.0
