	Unnamed: 0	id	sentence	comment_cut	score	ratio
0	0	9zTBYjNQwuU	정선호님!항상 영상 잘 보고 있어여ㅋㅋ😀<br>갑자기 생각이 났는데 어머니께 asmr들려주기 해주세요!안된다면 ㅠㅠ	['정선호', '님', '항상', '영상', '잘', '보고', '있어여', '갑자기', '생각', '이', '났는데', '어머니', '께', 'asmr', '들려주기', '해주세요', '안된다면']	0.1462257974650656	0.07
1	1	9zTBYjNQwuU	run 이라고말할때 브금알려주세요..ㅠ	['run', '이', '라고', '말', '할', '때', '브금', '알려주세요']	0.3347259783399587	0.18
2	2	9zTBYjNQwuU	ㅋㅋㅋ노룩패슼ㅋㅋㅋ<br>정치풍자도 역시 선호님♡	['노', '룩', '패슼', '정치', '풍자', '도', '역시', '선호', '님']	0.12818031356203766	0.07
3	3	9zTBYjNQwuU	ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ아 진짜 너무 좋아❤️<br>이마에 펜으로 선그려 놓고 들켜버리는것도 보고 싶었지만 너무 재밌네요ㅋㅋㅋㅋㅋ 스트레스 훌훌~	['아', '진짜', '너무', '좋아', '이마', '에', '펜', '으로', '선', '그려', '놓고', '들켜', '버리는것도', '보고', '싶었지만', '너무', '재밌네요', '스트레스', '훌훌']	-1.6529005422139562	-0.73
4	4	9zTBYjNQwuU	 꿀잼 다 뒈져따ㅋㅋㅋㅋㅋㅋ	['꿀잼', '다', '뒈져', '따']	1.0	0.62
5	5	9zTBYjNQwuU	나는무슨소리인지이해안간다	['나', '는', '무슨', '소리', '인지', '이', '해안', '간', '다']	-0.8792949694062508	-0.45
6	6	9zTBYjNQwuU	Run(웅장한 브금)<br>엄마:이 썅놈의 새퀴가 뒤질라고	['Run', '웅장', '한', '브금', '엄마', '이', '썅놈', '의', '새퀴', '가', '뒤질라고']	0.024778004274926213	0.01
7	7	9zTBYjNQwuU	저..어머님이 전화하는데 끼어들기해주시면안대여?	['저', '어머님', '이', '전화하는데', '끼어들기', '해주시', '면', '안대', '여']	-0.3358129630543551	-0.17
8	8	9zTBYjNQwuU	겟아웃 이 다뒈져땈ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ	['겟', '아웃', '이', '다뒈져땈']	-0.3344884811094392	-0.21
9	9	9zTBYjNQwuU	어머닠ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 오늘도 당하시네요 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 진짜 영상 다 재밌어요 ㅋㅋㅋㅋ	['어머', '닠', '오늘', '도', '당하시네요', '진짜', '영상', '다', '재밌어요']	2.1006312803942966	1.07
10	10	9zTBYjNQwuU	이 영화 무서운거에요 잔인한거에요 재밋는거에요?	['이', '영화', '무서운거에요', '잔인한거에요', '재밋는거', '에요']	-0.21906025506747853	-0.12
11	11	9zTBYjNQwuU	어머님에 등짝 싸대기  한번맞아 봤는데 너무아픔  공감	['어머님', '에', '등짝', '싸대기', '한번', '맞아', '봤는데', '너무', '아픔', '공감']	-2.8461512559932323	-1.42
12	12	9zTBYjNQwuU	ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ	[]	0.0	-0.0
13	13	9zTBYjNQwuU	마지막에 노래제목 뭐에요? 알고싶어요ㅠ	['마지막', '에', '노래', '제목', '뭐', '에요', '알고싶어요']	-2.1219700627344342	-1.15
14	14	9zTBYjNQwuU	ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ	[]	0.0	-0.0
15	15	9zTBYjNQwuU	재밌네여	['재밌네여']	0.0	0.0
16	16	9zTBYjNQwuU	ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ	[]	0.0	-0.0
17	17	9zTBYjNQwuU	크크	['크크']	-0.16790648152717522	-0.17
18	18	9zTBYjNQwuU	겟아웃을 안봐서 뭐가 뭔지 모르겠따...	['겟아웃', '을', '안', '봐서', '뭐', '가', '뭔', '지', '모르겠', '따']	-0.5939082089511997	-0.3
19	19	9zTBYjNQwuU	쿠키영상이 무슨뜻잉가용	['쿠키', '영상', '이', '무슨', '뜻잉', '가용']	0.009542410963516434	0.01
20	20	9zTBYjNQwuU	캬리어는겟아웃 어떠한 장면 이었지	['캬리어는겟', '아웃', '어떠한', '장면', '이었지']	-1.509161203328862	-0.89
21	21	9zTBYjNQwuU	정선호님 진짜 머시께 생겼어요 ㅠㅠ보고싶어용	['정선호', '님', '진짜', '머시', '께', '생겼어요', '보고싶어용']	-0.08375229782204785	-0.05
22	22	9zTBYjNQwuU	ㅋㅋㅋㅋㅋ	[]	0.0	-0.0
23	23	9zTBYjNQwuU	하트하트조요ㅜ	['하트', '하트', '조', '요']	-0.16790648152717755	-0.1
24	24	9zTBYjNQwuU	항상재밌는 컨텐츠/영상 준비해주셔서 감사하고 오늘영상 너무 재밌네요 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ	['항상', '재밌는', '컨텐츠', '영상', '준비', '해주셔서', '감사하고', '오늘', '영상', '너무', '재밌네요']	5.218032373594838	2.56
25	25	9zTBYjNQwuU	이렇게 두분이 웃으시면서 이야기를 나누는이야기 신선해서 좋아요!💚💚💚	['이렇게', '두', '분', '이', '웃으시면서', '이야기', '를', '나누는', '이야기', '신선해서', '좋아요']	-0.4909586574618055	-0.24
26	26	9zTBYjNQwuU	웃기당	['웃기', '당']	0.0	0.0
27	27	9zTBYjNQwuU	SNL에 겟아웃나와서 보려고했는데..ㅋㅋ<br>성호님 동영상 항상 재미나게 잘 보고있어요 👍	['SNL', '에', '겟', '아웃', '나와서', '보려고', '했는데', '성호', '님', '동영상', '항상', '재미나', '게', '잘', '보고있어요']	1.5142559692205173	0.7
28	28	9zTBYjNQwuU	오늘도 재밌는 영상이다♡	['오늘', '도', '재밌는', '영상', '이다']	2.583346716688748	1.52
29	29	9zTBYjNQwuU	방귀끼는건 딴 사람이 옆에 있을때 뀌고 그 반응을 보는게 재미인듯ㅋㅋㅋㅋㅋ	['방귀', '끼는건', '딴', '사람', '이', '옆', '에', '있을', '때', '뀌', '고', '그', '반응', '을', '보는게', '재미', '인', '듯']	2.9652025716901838	1.31
30	30	9zTBYjNQwuU	선호 오빠 고정좀	['선호', '오빠', '고정', '좀']	0.10294901535977176	0.06
31	31	9zTBYjNQwuU	정선호님!!목화 좋아하세요?!?!??왜이렇게 어머님이랑 화목하세요??하핫 보기 좋습니다!!!!	['정선호', '님', '목화', '좋아하세요', '왜', '이렇게', '어머님', '이랑', '화목', '하세', '요하', '핫', '보기', '좋습니다']	-0.6868385380280057	-0.32
32	32	9zTBYjNQwuU	공주님과 하인💚💚💚💚💚💚💚<br><br><br><br><br><br><br>기분나쁘심 ㅈㅅ합니당	['공주', '님', '과', '하인', '기분', '나쁘', '심', '합니당']	-0.67162592610871	-0.35
33	33	9zTBYjNQwuU	ㅋㅋㅋㅋㅋ모든영상 현웃터지게한당ㅋㅋㅋㅋ어머니최고셔영😂	['모든', '영상', '현', '웃', '터지게', '한', '당', '어머니', '최고', '셔영']	2.4970766832728732	1.25
34	34	9zTBYjNQwuU	겟아웃 무서운데..	['겟', '아웃', '무서운데']	-0.5023949626366144	-0.34
35	35	9zTBYjNQwuU	진심 요즘에 유튜브 볼때 정선호하구 어머니 보는 재미로 살아여..ㅇㅈ??	['진심', '요즘', '에', '유튜브', '볼때', '정선호', '하구', '어머니', '보는', '재미', '로', '살아여']	2.204091276099818	1.06
36	36	9zTBYjNQwuU	<b>겟아웃이 다 돼졌닼ㅋㅋ</b>	['겟아웃', '이', '다', '돼졌닼']	-0.5251996877889281	-0.33
37	37	9zTBYjNQwuU	ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ	[]	0.0	-0.0
38	38	9zTBYjNQwuU	아닠ㅋㅋㅋㅋ서노씨가 성균관대라고 말 진짜 개잘햌ㅋㅋㅋㅋㅌ	['아닠', '서', '노씨', '가', '성균관대', '라고', '말', '진짜', '개잘햌']	-0.2951908188911969	-0.15
39	39	9zTBYjNQwuU	언제 봐도 꿀잼	['언제', '봐도', '꿀잼']	1.1029490153597743	0.75
40	40	9zTBYjNQwuU	영화봤는데 쥬스 주는 장면이 무슨 장면이죠 ㅠㅠ	['영화', '봤는데', '쥬스', '주는', '장면', '이', '무슨', '장면', '이', '죠']	-0.6044172062818217	-0.3
41	41	9zTBYjNQwuU	선호님 어머니 그거 해주셨으면 좋겠어요 그 욕송이요 첨에 시작할때 욕이란건 말이다.. 막 이러는거용♡	['선호', '님', '어머니', '그거', '해주셨으면', '좋겠어요', '그', '욕', '송이', '요', '첨', '에', '시작', '할', '때', '욕', '이란', '건', '말', '이다', '막', '이러는거용']	-3.4629312736061104	-1.48
42	42	9zTBYjNQwuU	안봐서 모르겠지만 ㅋㅋㅋㅋㅋ	['안', '봐서', '모르겠지만']	0.0801769129902391	0.05
43	43	9zTBYjNQwuU	화목하네용❤	['화목', '하네용']	0.0	0.0
44	44	9zTBYjNQwuU	항상 어머니를 행복하게 해드리는 아들 ㅎㅎ 매일 행복해보여욯ㅎㅎ	['항상', '어머니', '를', '행복하게', '해드리는', '아들', '매일', '행복', '해보여', '욯']	3.053767522009477	1.53
45	45	9zTBYjNQwuU	욕 하실때마다 뭔가 재밌다ㅋㅋㅋㅋ부러워요	['욕', '하실', '때', '마다', '뭔가', '재밌다', '부러워요']	-2.2170402888347174	-1.2
46	46	9zTBYjNQwuU	겟아웃 스포 있나요??	['겟', '아웃', '스포', '있나요']	-1.8841443444837085	-1.18
47	47	9zTBYjNQwuU	영화봤는데 2번째건뭔뜻인지 모르겠다ㅜㅜ	['영화', '봤는데', '2', '번', '째건', '뭔', '뜻', '인지', '모르겠다']	-1.2828390923267567	-0.66
48	48	9zTBYjNQwuU	ㅋㅋ노룩쥬스가 다 뒈졌다	['노', '룩', '쥬스', '가', '다', '뒈졌다']	-1.198509687113444	-0.67
