	Unnamed: 0	id	sentence	comment_cut	score	ratio
0	0	jwLmWkpLB48	잭잭은 그냥 왠만한 초능력은 자신의몸을 변형시키는걸로 되는데 치트능력이 너무 많아	['잭잭', '은', '그냥', '왠만한', '초능력', '은', '자신', '의', '몸', '을', '변형', '시키', '는걸', '로', '되는데', '치트', '능력', '이', '너무', '많아']	2.93726190063354	1.28
1	1	jwLmWkpLB48	3편기대합니다♡♡	['3', '편', '기대합니다']	0.0	0.0
2	2	jwLmWkpLB48	몸이커지는 능력이안나와있는데요	['몸', '이', '커지는', '능력', '이', '안나', '와', '있는데요']	1.0	0.53
3	3	jwLmWkpLB48	이것이나에클라스고추장장입에슈셔너키!!!!!!!!! 2에서는 안그러던데요?	['이', '것', '이나', '에', '클라스', '고추', '장장', '입', '에', '슈셔', '너', '키', '2', '에서는', '안', '그러던데요']	1.8658748949219983	0.85
4	4	jwLmWkpLB48	얘 악당되면 지구종말인데..?	['얘', '악당', '되면', '지', '구', '종말', '인데']	-2.3700869604048465	-1.28
5	5	jwLmWkpLB48	마지막쯤에 몸이커지는 것도 있어요!!!	['마지막', '쯤', '에', '몸', '이', '커지는', '것', '도', '있어요']	-0.17559126505773692	-0.09
6	6	jwLmWkpLB48	혼종.......	['혼종']	0.0	0.0
7	7	jwLmWkpLB48	와!<br>이런 능력이 있는 줄도 몰랐네여ㅎㅎ<br>알려주셔서 감사해여ㅎㅎ	['와', '이런', '능력', '이', '있는', '줄', '도', '몰랐', '네', '여', '알려주셔서', '감사해여']	1.6834436882013322	0.81
8	8	jwLmWkpLB48	한글자막	['한글', '자막']	0.15083973838550113	0.12
9	9	jwLmWkpLB48	짹짹	['짹짹']	0.4961751721181129	0.5
10	10	jwLmWkpLB48	오오 잭잭 너무귀엽당	['오오', '잭잭', '너무', '귀엽당']	0.655409395859619	0.41
11	11	kRKaly9amYg	1보다 훨씬 재미없었어요.<br>너무 혼종 애기가.. 지나침 노잼	['1', '보다', '훨씬', '재미없었어요', '너무', '혼종', '애기', '가', '지나침', '노잼']	-2.5711549890166774	-1.29
12	12	kRKaly9amYg	박지훈 자막이 진짜...<br>처음 자막부터 틀려 진짜...	['박지훈', '자막', '이', '진짜', '처음', '자막', '부터', '틀려', '진짜']	-0.24361151109061985	-0.12
13	13	kRKaly9amYg	만약 닌크레더블3에서 <br>잭잭이 사춘기라면......<br>ㄷㄷㄷ	['만약', '닌크레', '더블', '3', '에서', '잭잭', '이', '사춘기', '라면']	-0.8469506282846802	-0.43
14	14	kRKaly9amYg	영화보면서 느낀건데 중간중간 재밌어 질라하면 딱딱 끊는거랑 좀 영화전개에 질질끄는 느낌이 있어서 좀아쉬웠다	['영화', '보면서', '느낀건데', '중간', '중간', '재밌어', '질라', '하면', '딱', '딱', '끊는거랑', '좀', '영', '화전', '개', '에', '질질', '끄는', '느낌', '이', '있어서', '좀', '아쉬웠다']	-0.2789022320112744	-0.12
15	15	kRKaly9amYg	이번영화 최대 피해자:너구리	['이번', '영화', '최대', '피해자', '너구리']	0.7745450521368036	0.46
16	16	kRKaly9amYg	그래서 언더마이너는 어디갔어?	['그래서', '언', '더', '마이너', '는', '어디', '갔어']	-1.1584893941492724	-0.63
17	17	kRKaly9amYg	1편 처럼 거대로봇이 안나와서..아쉬웠네요	['1', '편', '처럼', '거대', '로봇', '이', '안', '나와서', '아쉬웠네요']	0.31113169191568635	0.16
18	18	kRKaly9amYg	액션씬이 너무 좋았어요 픽사도 영웅물 가즈아	['액션씬', '이', '너무', '좋았어요', '픽사', '도', '영웅', '물', '가즈', '아']	2.5087449886888806	1.25
19	19	kRKaly9amYg	생각보다 미스터 인크레더블이랑 대쉬의 능력 너프가 심했음	['생각', '보다', '미스터', '인크레더블', '이랑', '대쉬', '의', '능력', '너프', '가', '심했음']	-1.0564535984381456	-0.52
20	20	kRKaly9amYg	잭잭 덕분에 2번 봄	['잭잭', '덕분', '에', '2', '번', '봄']	0.7382288882122341	0.42
21	21	kRKaly9amYg	코난 오브라이언	['코난', '오', '브라이언']	0.0	0.0
22	22	kRKaly9amYg	&quot;나는 언더~마이너다! 지상인들아 너희들 밑에는 내가있고! 내 밑에는 아무것도 읎다!&quot;<br><br><br><br><br><br>개소리다	['quot', '나', '는', '언', '더', '마이너', '다', '지', '상인', '들', '아', '너희', '들', '밑', '에는', '내가있고', '내', '밑', '에는', '아무', '것', '도', '읎다', 'quot', '개', '소리', '다']	0.38860415309326224	0.16
23	23	kRKaly9amYg	??? : 가자!(Come on!)	['가자', 'Come', 'on']	0.0	0.0
24	24	kRKaly9amYg	않이 광고는 안넣으세여??	['않이', '광고', '는', '안', '넣으세여']	0.0	0.0
25	25	kRKaly9amYg	진짜 재미없게 봤아요^^	['진짜', '재미없게', '봤아요']	0.2773151876997286	0.19
26	26	kRKaly9amYg	개인적로 대쉬를 가장 좋아하는데 대쉬가 안싸울때는 막달리더니 막상 싸울때는 달리는 장면 적어서 아쉽 막 퀵실버 같은거 기대했는데..... 전체적으로는 훌륭한 영화임 잭잭을 봐서라도 꼭 보셈	['개인', '적', '로', '대쉬', '를', '가장', '좋아하는데', '대쉬', '가', '안', '싸울', '때', '는', '막', '달리더니', '막상', '싸울', '때', '는', '달리는', '장면', '적어서', '아쉽', '막', '퀵실버', '같은거', '기대했는데', '전체', '적', '으로는', '훌륭한', '영화', '임', '잭잭', '을', '봐', '서라도', '꼭', '보셈']	4.848440531106708	1.87
27	27	kRKaly9amYg	영상 잘보고 있어요. 근데 뒤에 키보드가 너무 누렇네요... 모니터는 저리좋은데 이질감 느껴져요 촬영중엔 저 키보드를 치우셧어야 할듯	['영상', '잘', '보고', '있어요', '근데', '뒤', '에', '키', '보드', '가', '너무', '누렇네', '요', '모니터', '는', '저리', '좋은데', '이', '질감', '느껴져요', '촬영', '중', '엔', '저', '키', '보드', '를', '치우', '셧', '어', '야', '할듯']	1.7373644294172486	0.69
28	28	kRKaly9amYg	근데 모니터 뭐에요?	['근데', '모니터', '뭐', '에요']	-0.4529064527574653	-0.28
29	29	kRKaly9amYg	섬네일이 바람직합니다	['섬네일', '이', '바람직합니다']	0.0	0.0
30	30	kRKaly9amYg	아니 도대체 처음에 만두영상은 왜나온거임? 근본도 없는 모성애..? 굳이...? 이해좀시켜주실분..	['아니', '도대체', '처음', '에', '만두', '영상', '은', '왜', '나온거', '임', '근본', '도', '없는', '모성애', '굳이', '이해', '좀', '시켜주실', '분']	-1.0533406289159009	-0.46
31	31	kRKaly9amYg	어쩐지 번역이 구멍숭숭난 의역 투성이다 했더니 박읍읍..	['어쩐지', '번역', '이', '구멍', '숭숭', '난', '의역', '투성이', '다', '했더니', '박읍읍']	-1.1679416092939623	-0.57
32	32	kRKaly9amYg	잭잭의 최고의 최강의 초능력은 귀여움...!	['잭잭', '의', '최고', '의', '최강', '의', '초능력', '은', '귀', '여', '움']	2.8647043375264616	1.4
33	33	kRKaly9amYg	자막에서 마지막으로 잔지가언제야? 할때 그분이 떠오르더라구요	['자막', '에서', '마지막', '으로', '잔지가', '언', '제야', '할', '때', '그', '분', '이', '떠오르더라구요']	-0.3686221566672625	-0.17
34	34	kRKaly9amYg	빌런이 너무 아쉽던데.. 텐션터졌을때 끝나더라구요. 막판에 거대로봇합체라도 할줄알았는데	['빌런', '이', '너무', '아쉽던데', '텐션', '터졌을', '때', '끝나더라구요', '막판', '에', '거대', '로봇', '합', '체라', '도', '할줄', '알았는데']	-0.0611803043699537	-0.03
35	35	kRKaly9amYg	부부 역할만 바꿔서 1편하고 거의 똑같이 시작해버리길래 스토리 재탕이나 다름 없어서 혹평일것 같았는데 정말로 잘 만들었나보군요	['부부', '역할', '만', '바꿔서', '1', '편하고', '거의', '똑같이', '시작', '해', '버리길래', '스토리', '재탕', '이나', '다름', '없어서', '혹평', '일것', '같았는데', '정말로', '잘', '만들었나', '보군요']	-0.26475791900103585	-0.11
36	36	kRKaly9amYg	느므 지루해	['느므', '지루해']	0.0	0.0
37	37	kRKaly9amYg	캐릭터들은 매력적이였으나 악당이 너무 기대이하..	['캐릭터', '들', '은', '매력', '적이였으나', '악당', '이', '너무', '기', '대', '이하']	-1.7511610869370882	-0.86
38	38	kRKaly9amYg	솔직히 전 좀 아쉬웠어요. 정치적발언은 이걸 비꼬려는건지 옹호하려는건지 모를정도로 밍밍하게나와서 크게 신경은 안썼는데, 이제는 작위적으로 느껴지는 반전빌런과 작품 자체의 메세지는 조금 부족했던 느낌이 있어요. 어디까지나 캐릭터성을 보존하면서 팬들을 위했던 영화같습니다	['솔직히', '전', '좀', '아쉬웠어요', '정치', '적', '발언', '은', '이', '걸', '비꼬려는', '건지', '옹호', '하려는', '건지', '모를', '정도', '로', '밍밍', '하게', '나와서', '크게', '신경', '은', '안', '썼는데', '이제', '는', '작위', '적', '으로', '느껴지는', '반', '전', '빌런', '과', '작품', '자체', '의', '메세지', '는', '조금', '부족했던', '느낌', '이', '있어요', '어디', '까지나', '캐릭터', '성', '을', '보존', '하면서', '팬', '들', '을', '위', '했던', '영화', '같습니다']	-3.6034303963388	-1.3
39	39	kRKaly9amYg	....?14년이었어???????	['14년', '이었어']	0.7150351565364971	0.55
40	40	kRKaly9amYg	제발 3편도 나와줘ㅠㅠ	['제발', '3', '편도', '나와줘']	-0.6812186523205394	-0.43
41	41	kRKaly9amYg	1편에서 신드롬이 죽인 영웅들 다시 나왔으면 좋겠다	['1', '편', '에서', '신드롬', '이', '죽인', '영웅', '들', '다시', '나왔으면', '좋겠다']	1.144654886359315	0.56
42	42	kRKaly9amYg	리뷰 감사합니다. 공유해요.	['리뷰', '감사합니다', '공유', '해요']	0.8939384365787528	0.56
43	43	kRKaly9amYg	잭잭보고 생각난 히어로가 아마 x맨에 진 그레이. 잭잭의 미래가 이렇게 될것같다고 생각합니다.	['잭잭', '보고', '생각난', '히어로', '가', '아마', 'x', '맨', '에', '진', '그레이', '잭잭', '의', '미래', '가', '이렇게', '될것', '같다고', '생각', '합니다']	0.6347953068865214	0.28
44	44	kRKaly9amYg	박지훈 시작부터 인크레더블 : come on! (가자!) 띠용	['박지훈', '시작', '부터', '인크레더블', 'come', 'on', '가자', '띠용']	-0.991590466232851	-0.52
45	45	kRKaly9amYg	그래서 헬렌의 몸매는 능력으로 늘린 것인가.. 자연인 것인가..	['그래서', '헬렌', '의', '몸매', '는', '능력', '으로', '늘린', '것', '인가', '자연인', '것', '인가']	0.8734117230789178	0.41
46	46	kRKaly9amYg	여자는 현명 남자는 병신 이게 주제?	['여자', '는', '현명', '남자', '는', '병신', '이', '게', '주제']	1.8244087349422635	0.93
47	47	kRKaly9amYg	이번 영화에 자막 이상했던 부분 있으면 댓글로 알려주세요. 영화는 봤는데 박지훈번역가가 작업했대서 좀 불안하네요	['이번', '영화', '에', '자막', '이상했던', '부분', '있으면', '댓글', '로', '알려주세요', '영화', '는', '봤는데', '박지훈', '번역가', '가', '작업', '했', '대서', '좀', '불안하네요']	-0.6565055848077428	-0.28
48	48	kRKaly9amYg	그냥 픽사가 픽사했다. 이말말고는 설명할 방법이 없는 최고의 영화.	['그냥', '픽사', '가', '픽사', '했다', '이', '말', '말고는', '설명', '할', '방법', '이', '없는', '최고', '의', '영화']	4.150845001121999	1.88
49	49	kRKaly9amYg	아쿠아맨 예고편보고 영상 만들어주세요!!	['아쿠아', '맨', '예고편', '보고', '영상', '만들어주세요']	0.9619586826116392	0.54
50	50	kRKaly9amYg	1편땐 몰랐는데 밥은 제이슨 클락 닮음... <br>그리고 데버 초대받고 차에서 내릴때 문열어주는 사람 오바마 닮았음. <br>윈스턴 데버는 목소리를 연기한 밥 오든커크를 닮았음...	['1', '편땐', '몰랐는데', '밥', '은', '제이슨', '클락', '닮음', '그리고', '데버', '초대', '받고', '차', '에서', '내릴', '때', '문', '열어주는', '사람', '오바마', '닮았음', '윈스턴', '데버', '는', '목소리', '를', '연기', '한', '밥', '오든', '커크', '를', '닮았음']	-0.10115607831785198	-0.04
51	51	kRKaly9amYg	더빙판 cgv 4d로 봤는데 소문과달리 4d효과는 별로더라구요<br>더빙은 굿 대신 초딩은 감내하셔야 됨	['더빙', '판', 'cgv', '4', 'd', '로', '봤는데', '소문', '과', '달리', '4', 'd', '효과', '는', '별로', '더라구요', '더빙', '은', '굿', '대신', '초딩', '은', '감내하셔야', '됨']	-1.6546645662673911	-0.7
52	52	kRKaly9amYg	이번 아카데미 장편 애니메이션 상은 개들의 섬VS인크레더블2 2강 구도네	['이번', '아카데미', '장편', '애니메이션', '상', '은', '개', '들', '의', '섬', 'VS', '인크레더블', '2', '2', '강', '구도', '네']	0.3999650723839474	0.18
53	53	kRKaly9amYg	너무 재밌고 좋은데 뒤에 있는 애가 자꾸 시끄럽게 말함;; 거의 영화관에서 뒤에 있는 놈 신경만 씀 아빠는 이해하라고 하는데.. ㅆ	['너무', '재밌고', '좋은데', '뒤', '에', '있는', '애가', '자꾸', '시끄럽게', '말함', '거의', '영화관', '에서', '뒤', '에', '있는', '놈', '신경', '만', '씀', '아빠', '는', '이해', '하', '라고', '하는데']	-4.95658591281509	-2.05
54	54	kRKaly9amYg	저는 2편이 더 수작이라고 생각되네요. 픽사의 인재들은 정말 천재적입니다. 과연 한국영화는 몇백년쯤 지나야 여성캐릭터를  이렇게 표현할 수 있을지?	['저', '는', '2', '편이', '더', '수작', '이라고', '생각', '되네요', '픽사', '의', '인재', '들', '은', '정말', '천재', '적', '입니다', '과연', '한국영', '화', '는', '몇', '백년', '쯤', '지나야', '여', '성', '캐릭터', '를', '이렇게', '표현', '할', '수', '있을지']	-7.274794770474548	-2.86
55	55	kRKaly9amYg	잭잭ㅋㅋㅋ <br>아이언, 파이어, 스파크, 몬스터베이비 레이저에너지빔, 공주부양, 둔갑술, 벽통과, 순간이동, 슈퍼점프, 자이언트베이비,염력<br><br><br><br><br><br>끝내주는 시선	['잭잭', '아이언', '파이어', '스파크', '몬스터', '베이비', '레이저', '에너지', '빔', '공주부', '양', '둔갑', '술', '벽', '통과', '순간이동', '슈퍼점프', '자이언트', '베이비', '염력', '끝내주는', '시선']	-1.092026943112891	-0.47
56	56	kRKaly9amYg	근데 새로운 캐릭터는 겁나 많아 나왔는데 잘 써먹진 못한거 같은데 처음에 나온 두더지 악당도 트레일러 에서 본 게 다고	['근데', '새로운', '캐릭터', '는', '겁나', '많아', '나왔는데', '잘', '써', '먹진', '못', '한거', '같은데', '처음', '에', '나온', '두더지', '악당', '도', '트레일러', '에서', '본', '게', '다고']	-1.1312449795604689	-0.48
57	57	kRKaly9amYg	더빙도 정말 자나왔습니다.<br>한구적인 느낌ㅋㅋ	['더빙', '도', '정말', '자', '나왔습니다', '한구', '적', '인', '느낌']	0.32390209441957896	0.17
58	58	kRKaly9amYg	한번봐서 멋대로 얘기하긴 좀 그렇지만 제가 본 소감은 2편이 졸작이라는 공식을 완벽히 깨버렸습니다.ㅋㅋㅋㅋㅋ 1편보다 재미있었습니다.ㅋㅋㅋ &#39;그분&#39;들이 좋아할 수도 싫어할 수도 있는 이야기도 지나가듯 재밌게 보내주는 영화... 진짜 믿고보는 픽사	['한번', '봐서', '멋대로', '얘기', '하긴', '좀', '그렇지만', '제', '가', '본', '소감', '은', '2', '편이', '졸작', '이라는', '공식', '을', '완벽히', '깨', '버렸습니다', '1', '편', '보다', '재미있었습니다', '39', '그', '분', '39', '들이', '좋아할', '수도', '싫어할', '수도', '있는', '이야기', '도', '지나가듯', '재밌게', '보내주는', '영화', '진짜', '믿고', '보는', '픽사']	3.751933626655105	1.41
59	59	kRKaly9amYg	예전 “바바둑”의 멋진 리뷰처럼, 발없는새님의 “킬링디어”의 리뷰가 몹시 기대됩니다.<br>“킬링디어”에 대한 리뷰가 너무 없기도하구 말이죠 ^^	['예전', '바', '바둑', '의', '멋진', '리뷰', '처럼', '발', '없는', '새', '님', '의', '킬링', '디어', '의', '리뷰', '가', '몹시', '기대', '됩니다', '킬링', '디어', '에', '대한', '리뷰', '가', '너무', '없기도', '하구', '말', '이', '죠']	2.786367417553905	1.11
60	60	kRKaly9amYg	디즈니 영화가 모두 디즈니화 되어가는 느낌은 지울 수 없네요...항상 주제는 가족	['디즈니', '영화', '가', '모두', '디즈니', '화', '되어가는', '느낌', '은', '지울', '수', '없네요', '항상', '주제', '는', '가족']	-1.5236262175847146	-0.69
61	61	kRKaly9amYg	대쉬 근육이 오우......	['대쉬', '근육', '이', '오우']	0.6105861328058928	0.38
62	62	kRKaly9amYg	여러불 A113은 찾았죠?	['여러', '불', 'A', '113', '은', '찾았죠']	1.8149565197975768	1.02
63	63	kRKaly9amYg	복제인간+괴물화+눈 레이저+차원이동+거대화+불덩이+염력=노답 못이김	['복제인간', '괴물', '화', '눈', '레이저', '차원', '이', '동', '거대', '화', '불덩이', '염력', '노답', '못', '이김']	-6.839708046469811	-3.14
64	64	kRKaly9amYg	"<a href=""http://naver.me/FGmMmse5"">http://naver.me/FGmMmse5</a> <br> 이거에 대해 어떻게 생각해요?"	['httpnavermeFGmMmse', '5', '이', '거', '에', '대해', '어떻게', '생각', '해요']	-0.03447147058071676	-0.02
65	65	kRKaly9amYg	지우피카츄 9년 전에 만든 음담패설이 왜 이제와서 문제가 되는지 모르겠음	['지우', '피카츄', '9년', '전', '에', '만든', '음담패설', '이', '왜', '이제', '와', '서', '문제', '가', '되는지', '모르겠음']	-0.5303789139350382	-0.24
66	66	kRKaly9amYg	저는 인크레더블의 육아와 일라스틱걸의 히어로 조합이 더 좋았음.	['저', '는', '인크레더블', '의', '육아', '와', '일', '라스', '틱', '걸', '의', '히어로', '조합', '이', '더', '좋았음']	-0.21750702014441606	-0.1
67	67	kRKaly9amYg	더빙 너어어어어어어어어무 좋았음 한국 성우분들 진짜 존경합니다... 특히 일라걸은 말할것도 없고 인크레더블도 진짜 말하는거랑 모션+표정이랑 너무 잘어울림 킹왕짱이었음 특히 에드나는 와 진짜 보면ㅋㅋㅋㅋㅋㅋㅋ더빙이 아니라 실제로 말하는거같음	['더빙', '너', '어어어어', '어어어어', '무', '좋았음', '한국', '성우', '분들', '진짜', '존경', '합니다', '특히', '일라', '걸은', '말', '할것도', '없고', '인크레더블', '도', '진짜', '말', '하는거랑', '모션', '표정', '이랑', '너무', '잘', '어울림', '킹왕짱', '이었음', '특히', '에드', '나', '는', '와', '진짜', '보면', '더빙', '이', '아니라', '실제', '로', '말', '하는거', '같음']	5.094946972488451	1.91
68	68	kRKaly9amYg	키보드커버 혹시 골동품 인테리어소품인가요?ㅎㅎ	['키', '보드', '커버', '혹시', '골동품', '인테리어', '소품', '인가요']	-0.3358832185879248	-0.18
69	69	kRKaly9amYg	빵새형 실사영화 재밌는거 하나만 찍어줬으면 좋겠다	['빵', '새', '형', '실사영화', '재밌는거', '하나', '만', '찍어', '줬으면', '좋겠다']	0.009452215144689856	0.0
70	70	kRKaly9amYg	내가 태어났을때 1편이만들어졌는데 중2가되니깐 드디어 속편이나오네	['내', '가', '태어났을', '때', '1', '편이', '만들어졌는데', '중', '2', '가', '되니깐', '드디어', '속', '편이', '나오네']	-0.3358832185879248	-0.15
