	Unnamed: 0	id	sentence	comment_cut	score	ratio
0	0	Kf3vUGO-DkM	2018 무술년 새해복 많이 받으세요~<br>새해 첫날 제일 재밌게 본 영상이 되시길!!^^♡	['2018', '무술년', '새해', '복', '많이', '받으세요', '새해', '첫날', '제일', '재밌게', '본', '영상', '이', '되시길']	2.2213277324297747	1.04
1	1	Kf3vUGO-DkM	여자분 너무예쁨	['여자', '분', '너무', '예쁨']	0.8710568108998846	0.54
2	2	Kf3vUGO-DkM	여자분들 존나이쁘시다	['여자', '분들', '존나', '이쁘시다']	0.7277443670716539	0.45
3	3	Kf3vUGO-DkM	"<a href=""https://www.youtube.com/watch?v=Kf3vUGO-DkM&amp;t=0m27s"">0:27</a> 내가보려고 댓담"	['027', '내', '가보', '려고', '댓', '담']	-0.13445501840273888	-0.08
4	4	Kf3vUGO-DkM	아 이거 영화보기전에 봤으면 영화  안본건데 아쉽네	['아', '이', '거', '영', '화보', '기전', '에', '봤으면', '영화', '안', '본건데', '아쉽네']	0.399480817875414	0.19
5	5	Kf3vUGO-DkM	"<a href=""https://www.youtube.com/watch?v=Kf3vUGO-DkM&amp;t=0m50s"">0:50</a> 형 모에 오어 하디마~"	['050', '형', '모에', '오어', '하디', '마']	-8.326672684688674e-16	-0.0
6	6	Kf3vUGO-DkM	오오오오 겁나 똑같다!!	['오오오오', '겁나', '똑같다']	1.0495816919272785	0.71
7	7	Kf3vUGO-DkM	이정도면 예고편급🖒	['이', '정도', '면', '예고편', '급']	0.1071624327048498	0.06
8	8	Kf3vUGO-DkM	진짜 잘표현 햇따 나 몇번째 돌려보고 잇는거야	['진짜', '잘', '표현', '햇', '따', '나', '몇번', '째', '돌려', '보고', '잇는거야']	2.7266346818354217	1.34
9	9	Kf3vUGO-DkM	여자분 너무 예쁜데..	['여자', '분', '너무', '예쁜데']	0.8710568108998846	0.54
10	10	Kf3vUGO-DkM	야구르트옷 뭔데.....ㅋㅋ<br>그리고 볼팬 뚜껑...ㅋㅋ	['야구르트', '옷', '뭔', '데', '그리고', '볼팬', '뚜껑']	1.4151932309493591	0.77
11	11	Kf3vUGO-DkM	핰ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ졸웃	['핰졸웃']	0.0	0.0
12	12	Kf3vUGO-DkM	소방관 옷에 야그루트 ㅋㅋㅋ 글고 이영상 10번 이상 봤네	['소방관', '옷', '에', '야', '그루트', '글', '고', '이', '영상', '10', '번', '이상', '봤네']	-0.060254661852238975	-0.03
