	Unnamed: 0	id	sentence	comment_cut	score	ratio
0	0	YYXMK_92qaM	cool!	['cool']	0.0	0.0
1	1	YYXMK_92qaM	Cool	['Cool']	0.0	0.0
2	2	YYXMK_92qaM	Wow, This was amazing! Keep up the great work	['Wow', 'This', 'was', 'amazing', 'Keep', 'up', 'the', 'great', 'work']	0.0	0.0
3	3	YYXMK_92qaM	Absolutely incredible	['Absolutely', 'incredible']	0.0	0.0
4	4	YYXMK_92qaM	HHHHHHAAAAAAAA SO BEAUTIFUL!!!!	['HHHHHHAAAAAAAA', 'SO', 'BEAUTIFUL']	0.0	0.0
5	5	YYXMK_92qaM	"<a href=""https://www.youtube.com/watch?v=YYXMK_92qaM&amp;t=1m03s"">1:03</a> she&#39;s not shatter, is stinger!"	['103', 'she', '39', 's', 'not', 'shatter', 'is', 'stinger']	-0.2525700401010049	-0.13
6	6	YYXMK_92qaM	Where you bought that Bumblebee Lego?	['Where', 'you', 'bought', 'that', 'Bumblebee', 'Lego']	0.0	0.0
7	7	YYXMK_92qaM	From eBay. The model is tomy Takara masterpiece MPM 7	['From', 'eBay', 'The', 'model', 'is', 'tomy', 'Takara', 'masterpiece', 'MPM', '7']	-0.2744661887659764	-0.14
8	8	YYXMK_92qaM	On the part when bumblebee and the decepticon was fighting in the real trailer the girl was running in yours she wasn&#39;t	['On', 'the', 'part', 'when', 'bumblebee', 'and', 'the', 'decepticon', 'was', 'fighting', 'in', 'the', 'real', 'trailer', 'the', 'girl', 'was', 'running', 'in', 'yours', 'she', 'wasn', '39', 't']	-0.2525700401010049	-0.11
9	9	YYXMK_92qaM	You hit me!... I&#39;m dead....	['You', 'hit', 'me', 'I', '39', 'm', 'dead']	-0.2525700401010049	-0.14
10	10	YYXMK_92qaM	👌	[]	0.0	-0.0
11	11	YYXMK_92qaM	вєє αи∂ σρтιмυѕ ѕнσυℓ∂ нανє вєєи ιи ℓєℓ ℓιкє кяєσ	[]	0.0	-0.0
12	12	YYXMK_92qaM	woooooooooooooooooooooooooooooooow	['woooooooooooooooooooooooooooooooow']	0.0	0.0
13	13	YYXMK_92qaM	Did you really have to use stinger as shatter?	['Did', 'you', 'really', 'have', 'to', 'use', 'stinger', 'as', 'shatter']	0.0	0.0
14	14	YYXMK_92qaM	Yes, no shatter equivalent. At least not that I know of	['Yes', 'no', 'shatter', 'equivalent', 'At', 'least', 'not', 'that', 'I', 'know', 'of']	0.0	0.0
