	Unnamed: 0	id	sentence	comment_cut	score	ratio
0	0	PKVXm_0R10g	매 편이 유작후보군들 ㅎㄷㄷ;;	['매', '편이', '유작', '후보', '군', '들']	-0.3135997974361946	-0.18
1	1	PKVXm_0R10g	아니 영화 감독미쳤어..저 형 도데체 전생에 나라를 몇번 구한거야;;	['아니', '영화', '감독', '미쳤어', '저', '형', '도데', '체', '전생', '에', '나라', '를', '몇번', '구', '한', '거', '야']	-1.5715499854940733	-0.7
2	2	PKVXm_0R10g	톰크루즈가 사람인지 진짜 의심된다	['톰크루즈', '가', '사람', '인지', '진짜', '의심', '된다']	-2.8465036435741364	-1.54
3	3	PKVXm_0R10g	영화를  찍어요ㅜ <br>인생의 마지막영상이 아니길....	['영화', '를', '찍어요', '인생', '의', '마지막', '영상', '이', '아니길']	-1.0336099707343989	-0.53
4	4	PKVXm_0R10g	진짜 영화 찍는 거 부터가 임파서블 ㄷㄷ	['진짜', '영화', '찍는', '거', '부터가', '임파', '서', '블']	-0.4183720870283836	-0.22
5	5	PKVXm_0R10g	헐...	['헐']	0.0	0.0
6	6	PKVXm_0R10g	잘봤어요^^  좋아요 누르고갑니다	['잘', '봤어요', '좋아요', '누르고', '갑니다']	2.1722789768972017	1.28
7	7	PKVXm_0R10g	진짜 칼은 개오바야 ;;	['진짜', '칼', '은', '개오', '바', '야']	-0.007061955566612709	-0.0
8	8	PKVXm_0R10g	ㅇ	[]	0.0	-0.0
9	9	PKVXm_0R10g	최근에 나온 임파서블영화에서 나오는 헬기 액션씬은 탐쿠르즈가 실제로 헬기를 배워서 한거라네요	['최근', '에', '나온', '임파', '서', '블', '영화', '에서', '나오는', '헬기', '액션씬', '은', '탐쿠르즈', '가', '실제', '로', '헬기', '를', '배워서', '한', '거', '라네', '요']	-3.242637385796786	-1.37
10	10	PKVXm_0R10g	에이 와이어는 했겠지	['에이', '와이어', '는', '했겠지']	-0.6271995948723892	-0.39
11	11	PKVXm_0R10g	저 정도면 그냥 배우말고 스파이로 가도 될듯	['저', '정도', '면', '그냥', '배우', '말고', '스파이', '로', '가도', '될듯']	-1.596227740084006	-0.8
