,id,sentence,comment_cut,score,ratio
0,k5vhOzLzyjU,"여러분 오늘 에스더쇼에서 언급된 허벅지운동 영상입니다~!! 에스더 박사님과 함께 운동하셔서 건강한 허벅지 만들어 보아요~!! <a href=""https://youtu.be/EpmraxkAJ1w"">https://youtu.be/EpmraxkAJ1w</a>","['여러분', '오늘', '에스더', '쇼', '에서', '언급', '된', '허벅지', '운동', '영상', '입니다', '에스더', '박사', '님', '과', '함께', '운동', '하셔서', '건강한', '허벅지', '만들어', '보아', '요', 'httpsyoutubeEpmraxkAJ', '1', 'w']",4.362195986814858,1.81
1,k5vhOzLzyjU,"에스더 선생님, 너무 동안이시고요 예쁘세요. 다른나라 식습관 멘트 지적해 주신 점,  너무 생각이 깊으셔서 감사해요. 참고로 전 외국에서 오래 살아서, 저희 문화를 그대로 인정하시는 외국인들이 고맙거든요.","['에스더', '선생님', '너무', '동안', '이시고', '요', '예쁘세요', '다른', '나라', '식', '습관', '멘트', '지적', '해', '주신', '점', '너무', '생각', '이', '깊으셔서', '감사해요', '참고', '로', '전', '외국', '에서', '오래', '살아서', '저희', '문화', '를', '그대로', '인정', '하시는', '외국인', '들', '이', '고맙거든요']",-5.952108640728884,-2.31
2,k5vhOzLzyjU,"활짝 웃으세요, 선생님^^","['활짝', '웃으세요', '선생님']",-0.6176399052783703,-0.42
3,k5vhOzLzyjU,Mlm,['Mlm'],0.0,0.0
4,k5vhOzLzyjU,담석으로 슬개가 없어서<br>설사를 자주 하는편인데<br>오메가3 복용 괜찮을까요~,"['담석', '으로', '슬개', '가', '없어서', '설사', '를', '자주', '하는', '편', '인데', '오메가', '3', '복용', '괜찮을까요']",-6.2195005761136155,-2.86
5,k5vhOzLzyjU,"안녕하세요. Soon lm Yoon님<br><br>오메가3 등 오일류 섭취시 설사가 있다면<br>소화가 안되어서 해당 증상이 있으세요 ㅠㅠ<br><br>오일류 소화, 흡수시에는 유화작용을 위해<br>담즙산이 필수로 필요합니다.<br><br>다만 제거술로 인해서 분비가 잘 안된다면,<br>반드시 식사 하신 직후에<br>한번에 많은 캡슐을 섭취하지 말고 3끼 식사 후에 <br>한캡슐씩 섭취하시면 움식물과 같이 소화흡수되어 <br>좀더 소화가 용이할 수 있습니다.^^","['안녕하세요', 'Soon', 'lm', 'Yoon', '님', '오메가', '3', '등', '오', '일류', '섭취', '시', '설사', '가', '있다면소', '화가', '안되어서', '해당', '증상', '이', '있으세요', '오', '일류', '소화', '흡', '수시', '에는', '유화', '작용', '을', '위해', '담즙산', '이', '필수', '로', '필요합니다다만', '제거', '술', '로', '인해서', '분비', '가', '잘', '안된다면', '반드시', '식사', '하신', '직후', '에', '한번', '에', '많은', '캡슐', '을', '섭취', '하지', '말고', '3', '끼', '식사', '후', '에', '한', '캡슐', '씩', '섭취', '하시면', '움', '식물', '과', '같이', '소화', '흡수', '되어', '좀더', '소화', '가', '용이할', '수', '있습니다']",-13.343819801460478,-4.6
6,k5vhOzLzyjU,좋은 영상 항상 감사드려요!              <br>오메가3  소화가 너무 안돼요....  식물성으로도 시도해 봤는데 체한거처럼 속이 답답했어요. 원래 소화가 많이 안되는 편이긴해요.  좋은 방법이 없을까요?,"['좋은', '영상', '항상', '감사', '드려요', '오메가', '3', '소화', '가', '너무', '안', '돼요', '식물성', '으로도', '시도', '해', '봤는데', '체', '한', '거', '처럼', '속이', '답답했어요', '원래', '소화', '가', '많이', '안되는', '편이긴', '해', '요', '좋은', '방법', '이', '없을까요']",-3.372603401375794,-1.33
7,k5vhOzLzyjU,안녕하세요? s 공부만이살길님<br><br>오메가3 같은 오일류는 튀김 등을 많이 섭취시<br>속이 더부룩한것 처럼 소화가 더딜 수 있습니다.<br><br>오메가3 섭취시 식사 직후 섭취하고 <br>1캡슐씩 섭취량을 조절하시면 다소 섭취하시기 용이하다고 하니<br>참고하여 주세요^^,"['안녕하세요', 's', '공부', '만이', '살길', '님', '오메가', '3', '같은', '오', '일류', '는', '튀김', '등', '을', '많이', '섭취', '시속', '이', '더부룩한것', '처럼', '소화', '가', '더딜', '수', '있습니다', '오메가', '3', '섭취', '시', '식사', '직후', '섭취', '하고', '1', '캡슐', '씩', '섭취량', '을', '조절', '하시면', '다소', '섭취', '하시기', '용이하다고', '하니', '참고', '하', '여', '주세요']",-11.389596432977422,-4.22
8,k5vhOzLzyjU,감사 꼭 듣고싶던  정보^♡^<br>근데 홍셈 순정파에요,"['감사', '꼭', '듣고싶던', '정보', '근데', '홍셈', '순정', '파', '에요']",1.6464385928351497,0.84
9,k5vhOzLzyjU,안녕하세요 58세 유방암 4기 키모 받고있습니다  비타민C 1000mg +MSM 100mg먹어도 되나요,"['안녕하세요', '58', '세', '유방암', '4', '기', '키모', '받고있습니다', '비타민', 'C', '1000', 'mg', 'MSM', '100', 'mg', '먹어도', '되나요']",-1.0008029669554337,-0.45
10,k5vhOzLzyjU,"안녕하세요. 이정숙님<br><br>주치의가 섭취 주의해야할 식품에 대해 제한이 없으셨다면<br>말씀 주신 대로 섭취하셔도 됩니다. <br>엠에스엠 1일 권장량은 1,500-2,000mg 이니 참고하여 주시고
<br>주치의와의 상담 후 섭취하시면 됩니다. <br><br>참고로 복용하시는 의약품이 있다면 <br>비타민과 미네랄의 결핍 방지를 위해 종합비타민과 <br>충분량의 비타민D 2,000-3,000 IU 를 섭취하세요.<br>답변이 도움이 되시길 바랍니다.^^","['안녕하세요', '이', '정숙', '님', '주치의', '가', '섭취', '주의', '해야', '할', '식품', '에', '대해', '제한', '이', '없으셨다면', '말씀', '주신', '대로', '섭취', '하셔도', '됩니다', '엠에스', '엠', '1일', '권', '장량', '은', '15002000', 'mg', '이니', '참고', '하여', '주시', '고', '주치의', '와의', '상담', '후', '섭취', '하시면', '됩니다', '참고', '로', '복용', '하시는', '의약품', '이', '있다면', '비타민', '과', '미네랄', '의', '결핍', '방지', '를', '위해', '종합', '비타민', '과', '충', '분량', '의', '비타민', 'D', '20003000', 'IU', '를', '섭취', '하세요', '답변', '이', '도움', '이', '되시길', '바랍니다']",-12.309746349670853,-4.27
11,k5vhOzLzyjU,오메가3와 크릴오일을 같이먹었더니 얼굴이가렵고 약간부어 중단한상태입니다.갑각류알러지는 없는데 말이죠..{.오메가는 시코2알 먹고요  크릴오일은500mg  1알(인지질58%)}  머가문제일까요?,"['오메가', '3', '와', '크릴', '오일', '을', '같이', '먹었더니', '얼굴', '이', '가', '렵', '고', '약', '간부', '어', '중단', '한상태', '입니다', '갑각류', '알러지', '는', '없는데', '말', '이', '죠', '오메가', '는', '시', '코', '2', '알', '먹고요', '크릴', '오일', '은', '500', 'mg', '1', '알', '인지질', '58', '머', '가', '문', '제일', '까요']",-1.7892160153054715,-0.67
12,k5vhOzLzyjU,"안녕하세요. 김수진님<br><br>갑각류나 생선, 해조류 등에 알레르기가 없으시다면<br>해당 제품을 섭취가<br>말씀 주신 증상의 요인이 되지 않습니다. ㅠㅠ<br><br>다만 정확한 원인을 알아내기 위해<br>우선 섭취하시는 영양제는 전부 섭취를 중단하고<br><br>피부가 정상적인 상태로 회복이 되면,<br>하루에 한제품만 섭취해보고 피부 상태를 보시면서<br>섭취여부를 결정 하셔도 됩니다.","['안녕하세요', '김수진', '님', '갑각류', '나', '생선', '해조류', '등', '에', '알레르기', '가', '없으시다면', '해당', '제품', '을', '섭취', '가', '말씀', '주신', '증상', '의', '요인', '이', '되지', '않습니다', '다만', '정확한', '원인', '을', '알아내기', '위해', '우선', '섭취', '하시는', '영', '양제', '는', '전부', '섭취', '를', '중단', '하고', '피부', '가', '정상', '적', '인', '상태', '로', '회복', '이', '되면', '하루', '에', '한', '제품', '만', '섭취', '해보고', '피부', '상태', '를', '보시면서', '섭취', '여부', '를', '결정', '하셔도', '됩니다']",3.707463465472616,1.31
13,k5vhOzLzyjU,언제나 아름다우세요 에스더쌤~~~~,"['언제나', '아름다우세요', '에스더', '쌤']",0.8455900236804061,0.53
14,k5vhOzLzyjU,좋은 정보 감사해요~<br><br>겨울이 너무 귀엽고<br>순하네요~~^^,"['좋은', '정보', '감사해요', '겨울', '이', '너무', '귀엽고', '순하네요']",4.380470150404627,2.3
15,k5vhOzLzyjU,1종합비타민제 2오메가 3칼슘마그네슘다이어트할때,"['1', '종합', '비타민', '제', '2', '오메가', '3', '칼슘', '마그네슘', '다이어트', '할', '때']",-1.8892883033986148,-0.91
16,k5vhOzLzyjU,나이별로꼭챙겨먹어야할영양제추천도부탁드립니다다먹을수는없으니까요전40대중반이에요,"['나이', '별로', '꼭', '챙겨', '먹어', '야할', '영양', '제', '추천', '도', '부탁드립니다다', '먹을수는', '없으니까', '요전', '40', '대', '중반', '이에요']",-0.745198904041011,-0.33
17,k5vhOzLzyjU,잘봤습니다!!^^ 많이 배웠어요 ^.^,"['잘', '봤습니다', '많이', '배웠어요']",1.7519658370923046,1.09
18,k5vhOzLzyjU,잘봤어요 여에스더님♡♡♡,"['잘', '봤어요', '여에스더', '님']",1.5432967962404949,0.96
19,k5vhOzLzyjU,"<a href=""https://www.youtube.com/watch?v=k5vhOzLzyjU&amp;t=2m12s"">2:12</a> 크릴오일이 오메가3보다 더 좋은가요?<br><a href=""https://www.youtube.com/watch?v=k5vhOzLzyjU&amp;t=33m40s"">33:40</a> 히트맨 영화 시사회 후기(+권상우 사진)","['212', '크릴', '오일이', '오메가', '3', '보다', '더', '좋은가요', '3340', '히트', '맨', '영화', '시사회', '후기', '권상우', '사진']",-0.8379459822380588,-0.38
20,k5vhOzLzyjU,갈수록 더 아름다워 지시네요^^ 유익한 영상 감사합니다 ♡♡,"['갈수록', '더', '아름다워', '지시', '네', '요', '유익한', '영상', '감사합니다']",5.382360094721628,2.75
21,BdImoD5oxMo,"시유(구독자) 여러분 새해 복 많이 받으시고 건강하고, 행복하세요~^^🙇","['시유', '구', '독자', '여러분', '새해', '복', '많이', '받으시고', '건강하고', '행복하세요']",3.591029135573442,1.8
22,BdImoD5oxMo,누님도 새해복 많이 받으세요,"['누님', '도', '새해', '복', '많이', '받으세요']",1.0542590645322185,0.59
23,BdImoD5oxMo,"정준호 만능가방 소개 <a href=""https://youtu.be/wMxfLHM9Om8"">https://youtu.be/wMxfLHM9Om8</a>","['정준호', '만능', '가방', '소개', 'httpsyoutubewMxfLHM', '9', 'Om', '8']",0.8455900236804061,0.44
24,BdImoD5oxMo,잘생겻어요~~😍,"['잘생겻어', '요']",0.0,0.0
25,BdImoD5oxMo,"<a href=""https://www.youtube.com/watch?v=BdImoD5oxMo&amp;t=2m01s"">2:01</a> 와.. 근데 정말 미중년이셔요.. 정배우님 곱다 고와!","['201', '와', '근데', '정말', '미', '중년', '이셔요', '정', '배우', '님', '곱다', '고', '와']",3.2977142122404666,1.56
26,BdImoD5oxMo,저1년에1ㆍ2번<br>극장가는디<br>이런사람이<br>극장가서 신랑이랑 히트맨보고<br>엄청 웃었쪄여<br>ㅋ500만될듯,"['저', '1년', '에', '12', '번극', '장', '가는디', '이런', '사람', '이', '극', '장가', '서', '신랑', '이랑', '히트', '맨', '보고', '엄청', '웃었', '쪄여', '500만', '될듯']",0.9182318848027173,0.39
27,BdImoD5oxMo,50인데두<br>인물갑<br>ㅎ짱잘생김<br>비율갑<br>와이프짱<br>아들딸 최고인물될든,"['50', '인데', '두', '인물', '갑', '짱', '잘생김', '비율', '갑', '와이프', '짱', '아들', '딸', '최고', '인물', '될든']",0.6645692776558816,0.3
28,BdImoD5oxMo,히트맨은진찌정준호가살림 정준호갸꿀잼,"['히트', '맨', '은진', '찌', '정준호', '가', '살림', '정준호', '갸꿀잼']",0.8324752565620563,0.43
29,BdImoD5oxMo,진짜 잘생겼다! 👍,"['진짜', '잘생겼다']",-0.22471193635075787,-0.17
30,BdImoD5oxMo,참 잘생겼다.. ㅎ<br>울신랑이랑 닮았으.,"['참', '잘생겼다', '울', '신랑', '이랑', '닮았으']",0.5598450003541628,0.31
31,BdImoD5oxMo,히트맨 너무 재밌었어용 ㅎㅎㅎㅎ,"['히트', '맨', '너무', '재밌었어용']",-0.05217626595428948,-0.03
32,BdImoD5oxMo,넘나 유쾌하시구 잘생기셨어요ㅎㅎㅎ아내의 맛 봤는데 아가 정말 귀엽고 이쁘던데용👼웃는 모습 엄마랑 똑닮 졸귀💓,"['넘나', '유쾌하시구', '잘생기셨어요', '아내', '의', '맛', '봤는데', '아가', '정말', '귀엽고', '이쁘던데용', '웃는', '모습', '엄마', '랑', '똑', '닮', '졸귀']",4.598059729680557,2.04
33,BdImoD5oxMo,히트맨 진챠 히트다히트!!!!  느무재밌셔요🥰,"['히트', '맨', '진챠', '히트', '다', '히트', '느무', '재밌셔요']",-0.013114767118349802,-0.01
34,BdImoD5oxMo,정준호님 잘생긴줄만알앗는데 너무다정다감하네요<br>모든걸다갖추신배우 이하정님 넘부럽네요 ㅎ,"['정준호', '님', '잘생긴줄만', '알앗는데', '너무', '다정다감하네요', '모든', '걸다', '갖추신', '배우', '이하정', '님', '넘', '부럽네요']",0.045842395015948,0.02
35,BdImoD5oxMo,ㅎㅎ 감사합니다❤,['감사합니다'],0.8455900236804061,0.85
