	Unnamed: 0	id	sentence	comment_cut	score	ratio
0	0	z8Ncl7QOWlE	"<a href=""https://www.youtube.com/watch?v=z8Ncl7QOWlE&amp;t=0m47s"">0:47</a> ㅋㅋㅋㅋㅋ"	['047']	0.0	0.0
1	1	z8Ncl7QOWlE	나중에 기회 되시면 그것 1분 요약도 해주세요.<br>애나벨 1분 요약 재밌네요 ㅎㅎ	['나중', '에', '기회', '되시면', '그것', '1분', '요약', '도', '해주세요', '애나벨', '1분', '요약', '재밌네요']	0.5737460657854938	0.27
2	2	z8Ncl7QOWlE	썸네일 옹성우인줄;;	['썸네일', '옹', '성우', '인', '줄']	0.0	0.0
3	3	z8Ncl7QOWlE	왘ㅋㅋㅋㅋ 겁나생생해	['왘', '겁나', '생생해']	-0.2787485318318921	-0.19
4	4	z8Ncl7QOWlE	국어 이야기 간추리기 잘하시게 생기셨구먼ㅎㅎ(퍽)	['국어', '이야기', '간', '추리', '기', '잘', '하시게', '생기셨구먼', '퍽']	1.27874853183189	0.65
5	5	z8Ncl7QOWlE	무섭죠?<br>안무섭게해드릴께요<br>어린이용안무서운 에나벨<br>토이스토리	['무섭죠', '안', '무섭게', '해드릴께요', '어린이용', '안', '무서운', '에나', '벨', '토이스토리']	-2.704137972558672	-1.35
6	6	z8Ncl7QOWlE	영화를 너무 무섭게 봐서 분명 웃기게 패러디한건데 왜 오싹한지 모르겠네...	['영화', '를', '너무', '무섭게', '봐서', '분명', '웃기', '게', '패러디', '한건데', '왜', '오싹한지', '모르겠네']	-1.7407269535767391	-0.82
7	7	z8Ncl7QOWlE	이거왜자꾸보게되는거지??	['이', '거왜', '자꾸', '보게', '되는거지']	1.114994127327568	0.66
8	8	z8Ncl7QOWlE	ㅋㅋㅋㅋㅌㅌㅌㅋㅋㅌㅌ완전 잘 요약ㅋㅌㅌㅋㅋㅋ 아임 파인 할때 완전 똑같았어옄ㅌㅌㅌㅌㅋㅌ	['완전', '잘', '요약', '아', '임', '파인', '할', '때', '완전', '똑같았어', '옄']	1.0	0.49
9	9	z8Ncl7QOWlE	진짜엄청재밌음 애나벨2	['진짜', '엄청', '재밌음', '애나벨', '2']	-0.6652722169496639	-0.39
10	10	z8Ncl7QOWlE	에나벨 본사람인데 ㅋㅋㅋ 겁나웃기다 똑같애  ㅋㅋ	['에나', '벨', '본', '사람', '인데', '겁나', '웃기', '다', '똑같', '애']	-2.140705101517552	-1.07
11	11	z8Ncl7QOWlE	잠만 아저씨를 죽였다고 ?	['잠', '만', '아저씨', '를', '죽였다고']	0.278748531831892	0.16
12	12	z8Ncl7QOWlE	아개무섭 ㅠㅠ	['아', '개', '무섭']	0.0	0.0
13	13	z8Ncl7QOWlE	"<a href=""https://www.youtube.com/watch?v=z8Ncl7QOWlE&amp;t=0m46s"">0:46</a> ㅋㅋㅋㅋㅋ"	['046']	0.0	0.0
14	14	z8Ncl7QOWlE	오 존나 킬링파트만 담앗네ㅋㅋㄱㅋㄱㄱ쩔어	['오', '존나', '킬링', '파트', '만', '담앗네', '쩔어']	-0.2787485318318921	-0.15
15	15	z8Ncl7QOWlE	ㅋㅋㅋㅋ	[]	0.0	-0.0
16	16	z8Ncl7QOWlE	ㅋㅋㅋㅋㅋㅋㅋㅆㅂㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ영화랑 비슷한데  개그물이닼ㅋㅋㅋㅋ	['영화', '랑', '비슷한데', '개그', '물이', '닼']	-0.5348803101764843	-0.3
17	17	z8Ncl7QOWlE	스포 오지네 ㅋㅋㅋㅋㅋ	['스포', '오지', '네']	-1.0	-0.68
18	18	z8Ncl7QOWlE	겁나 웃곀ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ	['겁나', '웃곀']	-0.2787485318318921	-0.21
19	19	z8Ncl7QOWlE	똑같아ㅋㅋㅋㅋㅋㅋㅋㅋㅋ	['똑같아']	0.0	0.0
