	Unnamed: 0	id	sentence	comment_cut	score	ratio
0	0	t7zS2k9aMEo	제가 여태들은 ASMR중 가장 좋은것같아요!	['제', '가', '여태', '들', '은', 'ASMR', '중', '가장', '좋은', '것', '같아요']	2.6486690848827683	1.3
1	1	t7zS2k9aMEo	직업군인 장난전화 보고 너무 웃겨서 보물섬님 영상 더 찾아 봤는데 너무 재밋네요 ㅋㅋㅋㅋㅋㅋ 웃다가 눈물 흘렷습니다 구독 햇어요~~~ 재밋는 영상 많이 올려주세요ㅎㅎ	['직업', '군인', '장난', '전화', '보고', '너무', '웃겨서', '보물섬', '님', '영상', '더', '찾아', '봤는데', '너무', '재밋네', '요', '웃다가', '눈물', '흘렷습니', '다', '구독', '햇', '어', '요', '재밋는', '영상', '많이', '올려주세요']	1.7960115108579655	0.73
2	2	t7zS2k9aMEo	이영상 배우들한테 보내봐도 되요???😊😊	['이', '영상', '배우', '들', '한테', '보내', '봐도', '되요']	0.6121202813673453	0.32
3	3	t7zS2k9aMEo	개추ㅋㅋㅋㅋㅋㅋ	['개추']	0.0	0.0
4	4	t7zS2k9aMEo	지금 발견했는데 70월이라 되있다ㅋㅋㅋ	['지금', '발견', '했는데', '70월', '이라', '되있다']	0.32539623958864033	0.18
5	5	t7zS2k9aMEo	70월이면 어제여?!	['70월', '이면', '어제', '여']	0.07316303716630879	0.05
6	6	t7zS2k9aMEo	앜ㅋㅋㅋㅋㅋㅋㅋㅋㅋ	['앜']	0.0	0.0
7	7	t7zS2k9aMEo	그래서 둘이서 영화를 보시겠다?	['그래서', '둘이서', '영화', '를', '보시겠다']	0.6263068316128034	0.37
8	8	t7zS2k9aMEo	미친 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ	['미친']	-2.0	-2.0
9	9	t7zS2k9aMEo	개쩌는영화가 아니라 그냥 개패고싶은데요ㅠ	['개쩌', '는', '영화', '가', '아니라', '그냥', '개패', '고', '싶은데요']	0.92725863711359	0.47
10	10	t7zS2k9aMEo	군함도예고편도 해주세요	['군함도', '예고편', '도', '해주세요']	1.5016376366818092	0.94
11	11	t7zS2k9aMEo	개웃곀ㅋㅋㅋㅋㅋㅌㅋㅋ근데 대사 다 외운 것도 대단ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ	['개웃', '곀', '근데', '대사', '다', '외운', '것', '도', '대단']	-0.2376648966954499	-0.12
12	12	t7zS2k9aMEo	아닠ㅋㅋㅋㅋ너무웃겨욬ㅋㅋㅋㅋㅋㅋㅋ	['아닠너무웃겨욬']	0.0	0.0
13	13	t7zS2k9aMEo	아쒸 영상전에 콰이 광고 죽여버려 어우	['아쒸', '영', '상전', '에', '콰이', '광고', '죽여', '버려', '어우']	0.14632607433261755	0.07
14	14	t7zS2k9aMEo	혹성탈출  종의전쟁표현해주세요	['혹성탈출', '종', '의', '전쟁', '표현', '해주세요']	-0.13161737789971922	-0.07
15	15	t7zS2k9aMEo	ㅋㅋㅋㅋㅋㅋㅋㅋ	[]	0.0	-0.0
16	16	t7zS2k9aMEo	커플이네 구독취소하겠습니다	['커플', '이네', '구독', '취소', '하겠습니다']	-0.4045951485899738	-0.24
17	17	t7zS2k9aMEo	영어 잘하시네ㅋㅋㅋ	['영어', '잘', '하시네']	2.062313186697525	1.4
18	18	t7zS2k9aMEo	미친ㅋㅋㅋㅋ	['미친']	-2.0	-2.0
19	19	t7zS2k9aMEo	와 대박 ㅋㅋㅋ	['와', '대박']	1.0623131866975255	0.82
20	20	t7zS2k9aMEo	지금 안하긴하지만 너의 이름은	['지금', '안', '하긴하지만', '너', '의', '이름', '은']	-0.05458418256699305	-0.03
21	21	t7zS2k9aMEo	여친이 너무 잘 웃어줘서 자신감이 하늘을 찌르는 군요 그래서 커플이시겟다?	['여친', '이', '너무', '잘', '웃어줘서', '자신감', '이', '하늘', '을', '찌르는', '군요', '그래서', '커플', '이', '시', '겟', '다']	2.9808504926956565	1.34
22	22	t7zS2k9aMEo	처음 봤는데 개웃기네요ㅋㅋㅋㅋㅋㅋㅋ 좋아요 구독 박고 갑니다 ㅎㅎ	['처음', '봤는데', '개', '웃기네요', '좋아요', '구독', '박고', '갑니다']	0.7091813743362894	0.37
23	23	t7zS2k9aMEo	중독성이 있닼ㅋㅋㅋ	['중독', '성', '이', '있닼']	-1.0	-0.62
24	24	t7zS2k9aMEo	ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ미쳤다 진짜ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ개똑같다 진짜ㅋㅋㅋㅋㅋㅋ돌았다 이거ㅋㅋㅋㅋㅋㅋ	['미쳤다', '진짜', '개', '똑같다', '진짜', '돌았다', '이', '거']	0.3053028963780209	0.16
25	25	t7zS2k9aMEo	개쩜단진짜	['개쩜단', '진짜']	0.3053028963780209	0.23
26	26	t7zS2k9aMEo	그레이의 50가지 그림자 해주세요	['그레이', '의', '50', '가지', '그림자', '해주세요']	0.20844472151309013	0.12
27	27	t7zS2k9aMEo	70월 20일 개봉이라...	['70월', '20일', '개봉', '이라']	0.65018357349407	0.41
28	28	t7zS2k9aMEo	네 바로 저분이 평소에는 낯 엄청 가리신다는 분입니다	['네', '바로', '저', '분', '이', '평소', '에는', '낯', '엄청', '가리', '신다는', '분', '입니다']	0.5089775617782399	0.24
29	29	t7zS2k9aMEo	"<a href=""http://www.youtube.com/watch?v=t7zS2k9aMEo&amp;t=0m45s"">0:45</a>초에 7월20일 70월 20일이라고 잘못적으셨여용"	['045초', '에', '7월', '20일', '70월', '20일', '이라고', '잘', '못', '적으셨여', '용']	0.9604707408523429	0.47
30	30	t7zS2k9aMEo	개잘해.....	['개잘', '해']	-2.0	-1.54
31	31	t7zS2k9aMEo	이분은 푸크으으응을 좋아하시는 듯	['이분', '은', '푸', '크', '으으응', '을', '좋아하시는', '듯']	0.07316303716630879	0.04
32	32	t7zS2k9aMEo	진심 존경스럽...	['진심', '존경', '스럽']	1.0731630371663088	0.73
33	33	t7zS2k9aMEo	70월 20일은 대체 언제인가요 ㅋㅋㅋㅋㅋ 나만 그렇게 본건가 ㅋㅋㅋㅋ	['70월', '20일', '은', '대체', '언제', '인가요', '나', '만', '그렇게', '본', '건가']	-0.4777581857562826	-0.23
34	34	t7zS2k9aMEo	개웈꼌ㅋㅋ 역시!! 보물섬 쫭!	['개웈꼌', '역시', '보물섬', '쫭']	0.4053444449792034	0.25
35	35	t7zS2k9aMEo	"<a href=""http://www.youtube.com/watch?v=t7zS2k9aMEo&amp;t=0m43s"">0:43</a> 70월20일??????"	['043', '70월', '20일']	0.0	0.0
36	36	t7zS2k9aMEo	수락산 cgv?	['수락산', 'cgv']	0.0	0.0
37	37	t7zS2k9aMEo	ㅅㅂㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ	[]	0.0	-0.0
38	38	t7zS2k9aMEo	... 영상보고 바로 영화를 봣다는...	['영상', '보고', '바로', '영화', '를', '봣다', '는']	1.5766277482929856	0.85
39	39	t7zS2k9aMEo	택시운전사 예고편!!!!!!	['택시', '운전사', '예고편']	1.6863974467864231	1.14
40	40	t7zS2k9aMEo	진짜이건 봐야해	['진짜', '이건', '봐야해']	0.17755567664472127	0.12
41	41	t7zS2k9aMEo	70월ㅋㅋ	['70월']	0.0	0.0
42	42	t7zS2k9aMEo	낯가리시는 분 맞으세요? 이 와중에 여자친구님 웃음소리 웃겨요ㅋㅋㅋ	['낯', '가리시는', '분', '맞으세요', '이', '와중', '에', '여자친구', '님', '웃음소리', '웃겨요']	1.135476223863832	0.56
43	43	t7zS2k9aMEo	비행기 소리 ㅋㅋㅋㅋ 개똑같네 ㄹㅇ 표현력 미치셨다ㅋㅋㅋ	['비행기', '소리', '개', '똑같네', '표현', '력', '미치셨다']	0.22488375476246095	0.12
44	44	t7zS2k9aMEo	우리의 스파이더맨을 모욕하다니!<br>구독 취소한다?!	['우리', '의', '스파이더맨', '을', '모욕', '하다니', '구독', '취소', '한다']	-2.0659747995392648	-1.06
45	45	t7zS2k9aMEo	덩케르크 꿀잼 ㅎㅎ	['덩케르크', '꿀잼']	1.3804598688879215	1.06
46	46	t7zS2k9aMEo	연속보게됨	['연', '속보', '게', '됨']	0.0	0.0
47	47	t7zS2k9aMEo	카메라 찍는분 말고 웃은사람이 없네 솔찍 노잼	['카메라', '찍는', '분', '말고', '웃은', '사람', '이', '없네', '솔찍', '노잼']	-2.493786846722371	-1.25
48	48	t7zS2k9aMEo	형 킹스맨2 가자 ㄹㅇ각임 안대끼고 각이다 ㅋㅋㅋㅋ	['형', '킹스', '맨', '2', '가자', '각', '임', '안', '대끼고', '각', '이다']	0.07316303716630879	0.04
49	49	t7zS2k9aMEo	존웃ㅋㅋㅂㅋ	['존웃']	0.0	0.0
50	50	t7zS2k9aMEo	싫테 46명....	['싫테', '46', '명']	0.0	0.0
51	51	t7zS2k9aMEo	미니언즈 해주세요!!~~	['미니', '언', '즈', '해주세요']	-0.5509212229225914	-0.34
52	52	t7zS2k9aMEo	광고섬	['광고', '섬']	0.07316303716630879	0.06
