	Unnamed: 0	id	sentence	comment_cut	score	ratio
0	0	Ru_Scd2velY	작품성은 떨어지는데 진짜 ㅈㄴ재밌음	['작품', '성은', '떨어지는데', '진짜', '재밌음']	0.35407622164593344	0.21
1	1	Ru_Scd2velY	오늘 개봉날! Coming soon ~☆☆☆☆☆	['오늘', '개봉', '날', 'Coming', 'soon']	0.0	0.0
2	2	Ru_Scd2velY	권유가 억울하게 누명을 써서 넘 가슴 아팠다가, 예측불허 스릴만점작전으로 실체를 파헤치는데~~~통쾌하고 속 시원~~했어요!!!<br>우와~대박!!!!	['권유', '가', '억울하게', '누명', '을', '써서', '넘', '가슴', '아팠다가', '예측', '불허', '스릴', '만점', '작전', '으로', '실체', '를', '파헤치는데', '통쾌하고', '속', '시원했어요', '우와', '대박']	-2.023890541071569	-0.86
3	3	e2dKfj-AqUY	진짜 내가 재밌게봤던 영화중하나다...지창욱넘흐죠아ㅜㅠ	['진짜', '내', '가', '재밌게', '봤던', '영화', '중', '하나', '다', '지창욱', '넘', '흐', '죠', '아']	0.2395404343681422	0.11
4	4	e2dKfj-AqUY	WOW .........kerja yg bagus....bravo....SMG sukses.....dan d beri kesehatan..	['WOW', 'kerja', 'yg', 'bagusbravoSMG', 'suksesdan', 'd', 'beri', 'kesehatan']	0.0	0.0
5	5	e2dKfj-AqUY	이거노래뭐임?중독성있음	['이', '거', '노래', '뭐임', '중독', '성', '있음']	-1.0	-0.54
6	6	e2dKfj-AqUY	아 쎅시하다..스크린으로 보는 내내 유체이탈 상태였던 나 ㅋㅋ 저 얼굴을 연기력으로 뛰어넘다니... 미치게 쎅시해😷 근데 저 맞는 장면 진짜 힘들었나부다 ㅜㅜ 창우기  혼이 쏙 빠진 표정 맴찢 쓍😢	['아', '쎅시', '하다', '스크린', '으로', '보는', '내내', '유체이탈', '상태', '였던', '나', '저', '얼굴', '을', '연기력', '으로', '뛰어넘다니', '미치게', '쎅', '시해', '근데', '저', '맞는', '장면', '진짜', '힘들었', '나부', '다', '창', '우기', '혼', '이', '쏙', '빠진', '표정', '맴', '찢', '쓍']	-0.22641909256751455	-0.09
7	7	e2dKfj-AqUY	JI 👏 CHANG 👏 WOOK 👏  truly the best 👏 respect 👏	['JI', 'CHANG', 'WOOK', 'truly', 'the', 'best', 'respect']	0.0	0.0
8	8	e2dKfj-AqUY	블랙스쿼드보다잘만듬	['블랙', '스쿼드', '보다', '잘만', '듬']	0.0	0.0
9	9	e2dKfj-AqUY	WOW!  I am speechless...  He deserves to win the best actor award for Fabricated City!  Hands down JCW is the best ~ &lt;3	['WOW', 'I', 'am', 'speechless', 'He', 'deserves', 'to', 'win', 'the', 'best', 'actor', 'award', 'for', 'Fabricated', 'City', 'Hands', 'down', 'JCW', 'is', 'the', 'best', 'lt', '3']	0.0	0.0
