	Unnamed: 0	id	sentence	comment_cut	score	ratio
0	0	lYwHOW8jEFY	ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㄱㄱㅋㄱ ㅋㄱㄱ선거운동 섭외1순위랰ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ	['선거운동', '섭외', '1', '순위', '랰']	0.0	0.0
1	1	lYwHOW8jEFY	쁨에서 보고 빵터졌었는데 영상보니 더 매력적이네요 ㅋㅋㅋ	['쁨', '에서', '보고', '빵터졌었는데', '영', '상보', '니', '더', '매력', '적이네요']	0.3440101391262813	0.17
2	2	lYwHOW8jEFY	진짜 무슨 선거운동하냐곸ㅌㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ	['진짜', '무슨', '선거운동', '하냐', '곸']	-0.33624955099741194	-0.2
3	3	lYwHOW8jEFY	ㅋㅋㅋㅋ 유쾌해ㅋㅋㅋㅋㅋ	['유쾌해']	0.0	0.0
4	4	lYwHOW8jEFY	범죄와의전쟁에서 존나 깡패검사 포스 지렸는데. 시상식에서 수상소감 말할때 덜덜 떨면서 소녀 포스 내뿜는거보고 의외였다. 근데 여기선 또 잘노시네ㅋㅋ	['범죄', '와의', '전쟁', '에서', '존나', '깡패', '검사', '포스', '지렸는데', '시상식', '에서', '수상소감', '말', '할', '때', '덜덜', '떨면서', '소녀', '포스', '내', '뿜', '는거', '보고', '의외', '였다', '근데', '여', '기선', '또', '잘', '노시네']	-2.04748084610283	-0.82
5	5	lYwHOW8jEFY	존나웃겨시발ㅋㄱㅋㄱㅌㄱㅌㅋㅋ	['존나', '웃겨', '시발']	0.41895536497917385	0.28
6	6	lYwHOW8jEFY	ㅋㅋㅋㅋㅋㅋㅋㅋ	[]	0.0	-0.0
7	7	lYwHOW8jEFY	이 형 너무좋아	['이', '형', '너무', '좋아']	2.5675821459916683	1.6
8	8	lYwHOW8jEFY	오늘도 무대인사서 핫팩 파셨죠 ㅋㅋㅋ	['오늘', '도', '무대', '인사', '서', '핫팩', '파셨죠']	1.145816948430078	0.62
9	9	lYwHOW8jEFY	ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅌ	[]	0.0	-0.0
10	10	lYwHOW8jEFY	진짜 대박이다 ㅋㅋㅋㅋ 낚시 리얼 ㅋㅋ	['진짜', '대박', '이다', '낚시', '리얼']	-0.06592096703073512	-0.04
11	11	lYwHOW8jEFY	아니 왜 무대인사에서 약을팔어ㅋㅋㅋㅋ	['아니', '왜', '무대', '인사', '에서', '약', '을', '팔어']	0.2215435165896176	0.12
12	12	lYwHOW8jEFY	참 잘하시네 한참 웃었네^^	['참', '잘', '하시네', '한참', '웃었네']	1.0	0.59
13	13	lYwHOW8jEFY	GD: (아 일어서려했는데;;:)	['GD', '아', '일어서려', '했는데']	0.8379107299583428	0.52
14	14	lYwHOW8jEFY	"안녕하세요 태영님! 영상이 너무 재미있네요~ :)영상과 관련하여 문의드리고 싶은 것이 있어서 댓글 남깁니다~댓글 확인하신다면 diana_mina@<a href=""http://naver.com/"">naver.com</a> 이 메일로 연락 부탁드려요! 꼭꼭 부탁드립니다 T_T)!!!!!"	['안녕하세요', '태영', '님', '영상', '이', '너무', '재미있네요', '영상', '과', '관련', '하여', '문의', '드리고', '싶은', '것', '이', '있어서', '댓글', '남깁니다', '댓글', '확인', '하신다면', 'dianaminanavercom', '이', '메일', '로', '연락', '부탁드려요', '꼭꼭', '부탁드립니다', 'TT']	2.5910706329349993	1.04
15	15	lYwHOW8jEFY	Mina song 메일보내드렸습니다.	['Mina', 'song', '메일', '보내', '드렸습니다']	0.0	0.0
16	16	lYwHOW8jEFY	사랑해요ㅠㅠㅠㅠㅜㅜㅠㅠ	['사랑', '해요']	2.0	1.54
17	17	lYwHOW8jEFY	약파는 줄 ㅋㅋ	['약', '파', '는', '줄']	0.0	0.0
18	18	lYwHOW8jEFY	시골에서 옥장판 팔면 기가 막히게 팔 것 같다.	['시골', '에서', '옥', '장판', '팔면', '기', '가', '막히게', '팔', '것', '같다']	0.6404988815687915	0.31
19	19	lYwHOW8jEFY	강철 비타민씨 뭐임 ㅋㅋㅋㅋ	['강철', '비타민', '씨', '뭐임']	0.4587161735340757	0.29
20	20	lYwHOW8jEFY	잘한다 잘하네 저형은 장사를 해도 거상이 되었을듯 ㅋㅋ	['잘', '한다', '잘', '하네', '저', '형', '은', '장사', '를', '해도', '거상', '이', '되었을듯']	1.9865375109708423	0.94
21	21	lYwHOW8jEFY	ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ존내 재치보솥ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 개웃곀ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅠㅠ 곽배우릠 존웃ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ	['존내', '재치', '보솥', '개웃곀', '곽배', '우릠', '존웃']	1.0	0.54
22	22	lYwHOW8jEFY	약파는사람인줄ㅋㅋㅋ	['약', '파', '는', '사람인', '줄']	0.0	0.0
23	23	lYwHOW8jEFY	우성이형 심하게 잘생겻다 진짜...	['우성', '이형', '심하게', '잘생겻다', '진짜']	-1.3497120400265694	-0.79
24	24	lYwHOW8jEFY	ㅋㅋ 영업하면 대박칠듯	['영업', '하면', '대박', '칠듯']	0.0	0.0
25	25	lYwHOW8jEFY	장사하러오신분같네ㅋㅋㅋ	['장사', '하러오', '신분', '같네']	0.0	0.0
