	Unnamed: 0	id	sentence	comment_cut	score	ratio
0	0	Lu2AZnEqJ5o	옛부터 좋아했던 배우💕	['옛', '부터', '좋아했던', '배우']	1.2717526928180087	0.79
1	1	Lu2AZnEqJ5o	저..영화 마지막에..감동적이였는데	['저', '영화', '마지막', '에', '감동', '적이였는데']	2.1626219418096717	1.22
2	2	Lu2AZnEqJ5o	박정민 연기 진짜 대단..<br>극장에서 운적이 없는데 피아노<br>연주보고 눈물이 나왔네요..<br>그것만이 내 세상 두번 봤어요<br>다음 작품도 기대해볼게요	['박정민', '연기', '진짜', '대', '단', '극장', '에서', '운', '적', '이', '없는데', '피아노', '연주', '보고', '눈물', '이', '나왔네요', '그것', '만이', '내', '세상', '두', '번', '봤어요', '다음', '작품', '도', '기대', '해볼게요']	2.438689924812246	0.99
3	3	Lu2AZnEqJ5o	이거정말재미있어요	['이', '거', '정말', '재미있어요']	0.3994147937741917	0.25
4	4	Lu2AZnEqJ5o	정민 배우..  당신은 대체...	['정민', '배우', '당신', '은', '대체']	-0.02027733706660939	-0.01
5	5	Lu2AZnEqJ5o	불가능 그것은 사실이 아니라 하나의 의견일뿐이다. <br>- 영화속 이병헌 -	['불가능', '그것', '은', '사실', '이', '아니라', '하나', '의', '의견', '일', '뿐', '이다', '영화', '속', '이병헌']	0.7704415251237006	0.35
6	6	Lu2AZnEqJ5o	더봤어요	['더', '봤어요']	-0.10721021824664198	-0.08
7	7	Lu2AZnEqJ5o	오늘 봤는데 너무 웃기시고 감동적입니다	['오늘', '봤는데', '너무', '웃기시고', '감동', '적', '입니다']	2.866788414229726	1.55
8	8	Lu2AZnEqJ5o	노력하면 된다라는 말을 현실로 만든 박정민씨 대단하십니다😻	['노력', '하면', '된다라는', '말', '을', '현실', '로', '만든', '박정민', '씨', '대단하십니다']	-1.0129009327558038	-0.5
9	9	Lu2AZnEqJ5o	마지막 피아노 진짜.... 소름돋았었어요 분ㅁ명 대역이라고 생각했는데 진짜 너무 대단한 배우네요...	['마지막', '피아노', '진짜', '소름', '돋았었어요', '분명', '대역', '이라고', '생각', '했는데', '진짜', '너무', '대단한', '배우네요']	1.49276254563676	0.7
10	10	Lu2AZnEqJ5o	피아노 천재인 주인공을 연기하다가 진짜 피아노 천재가 돼버리신........	['피아노', '천재', '인', '주인공', '을', '연기', '하다가', '진짜', '피아노', '천재', '가', '돼', '버리신']	0.3336275496618988	0.16
11	11	Lu2AZnEqJ5o	?아니 피아노 안치던 사람이 6개월만에 저걸 친다고???? 그냥 천재 아닌가..???? ㄹㅇ당황스럽	['아니', '피아노', '안치던', '사람', '이', '6', '개월', '만에', '저걸', '친다고', '그냥', '천재', '아닌가', '당황', '스럽']	-1.7410941323067075	-0.8
12	12	Lu2AZnEqJ5o	와천잰가 피아노안쳐봣는데 저렇게가능한가요..?와	['와', '천', '잰가', '피아노', '안', '쳐', '봣', '는데', '저렇게', '가능한', '가요', '와']	-0.3652547705606619	-0.18
13	13	Lu2AZnEqJ5o	와 그게 직접 치신거라요? 연기라고요?ㄷㄷ	['와', '그게', '직접', '치신', '거', '라', '요', '연기', '라', '고요']	0.08113950911397537	0.04
14	14	Lu2AZnEqJ5o	영화보는데 넘웃겨ㅋ	['영화', '보는데', '넘', '웃겨']	0.08854226414098221	0.06
15	15	Lu2AZnEqJ5o	저 피아노 어딧는건지 아시는분	['저', '피아노', '어딧는건', '지', '아시', '는', '분']	-0.04362411582073317	-0.02
16	16	Lu2AZnEqJ5o	맨첨에 나오는곡 무슨곡인가요?	['맨첨', '에', '나오는', '곡', '무슨', '곡', '인가요']	0.01669969209950689	0.01
17	17	Lu2AZnEqJ5o	이대희 베토벤 월광 3악장	['이', '대희', '베토벤', '월광', '3', '악장']	0.0	0.0
18	18	Lu2AZnEqJ5o	저 이영화 보고 울었어요ㅠㅠ 너무 감동적이고 웃긴 장면도<br>많이나오서 웃겼고요ㅋㅋㅋ	['저', '이영화', '보고', '울었어요', '너무', '감동', '적', '이고', '웃긴', '장면', '도', '많이', '나오서', '웃겼고요']	5.145917511358532	2.4
19	19	Lu2AZnEqJ5o	박정민 배우 멋있네요^^	['박정민', '배우', '멋있네요']	0.4565725044559846	0.31
20	20	Lu2AZnEqJ5o	마스크도 완전 핵존잘이네	['마스크', '도', '완전', '핵', '존잘', '이네']	2.970399375144689	1.67
21	21	Lu2AZnEqJ5o	처음에 나온 시내에서치던 피아노곡 뭔가요??	['처음', '에', '나온', '시내', '에서', '치던', '피아노', '곡', '뭔가', '요']	-1.562389421582849	-0.78
22	22	Lu2AZnEqJ5o	조수연 베토벤 소나타 월광 3악장이용	['조수연', '베토벤', '소나타', '월광', '3', '악장', '이용']	0.0	0.0
23	23	Lu2AZnEqJ5o	박정민배우분 정말 대단한분인것같으시다 영화개봉하자마자 봤는데 다시피아노 치고싶은 맘을 만들어주셨당♡	['박정민', '배우', '분', '정말', '대단한', '분인것', '같으시다', '영화개봉', '하', '자마자', '봤는데', '다시', '피아노', '치고싶은', '맘', '을', '만들어주셨당']	3.5944128301935185	1.61
24	24	Lu2AZnEqJ5o	내일 이 영화 보러 가요 ㅎㅎㅎ<br>진짜 재밌겠당	['내일', '이', '영화', '보러', '가요', '진짜', '재밌겠당']	0.17023398401635215	0.09
25	25	Lu2AZnEqJ5o	오진태나보다피아노100배더잘침 자꾸보게됨	['오', '진태', '나', '보다', '피아노', '100', '배더잘', '침', '자꾸', '보게', '됨']	0.004384852715290127	0.0
26	26	Lu2AZnEqJ5o	진정한배우👍👍	['진정한', '배우']	0.5637827227026266	0.43
27	27	Lu2AZnEqJ5o	예고생인데 초심을 찾게 해주시네요 자괴감이 들 정도로 엄청난 노력을 보여주신 박정민 배우 앞으로 챙겨보겠습니다!	['예', '고생', '인데', '초심', '을', '찾게', '해주시네요', '자괴', '감', '이', '들', '정도', '로', '엄청난', '노력', '을', '보여주신', '박정민', '배우', '앞', '으로', '챙겨', '보겠습니다']	-5.703075836132858	-2.41
28	28	Lu2AZnEqJ5o	대강 시늉만 하려니 하고 봤었는데 손가락이 딱딱 맞아서 깜짝 놀랐습니다. 멋지네요	['대강', '시늉', '만', '하려니', '하고', '봤었는데', '손가락', '이', '딱', '딱', '맞아서', '깜짝', '놀랐습니다', '멋지네요']	-0.1716500352611132	-0.08
29	29	Lu2AZnEqJ5o	대단하다;	['대단하다']	2.0	2.0
30	30	Lu2AZnEqJ5o	연기인가 실제인가 싶을정도로 장애인연기 잘 하더라	['연기', '인가', '실제', '인가', '싶을', '정도', '로', '장애인', '연기', '잘', '하더라']	-1.7455915975822278	-0.86
