	Unnamed: 0	id	sentence	comment_cut	score	ratio
0	0	mV70BC9Bo-s	멋져요!<br>고대에서 맘마미아3 ~<br>기대해봐야겠네요^^~	['멋져요', '고대', '에서', '맘마미아', '3', '기대', '해봐야겠네요']	2.6215829093849026	1.42
1	1	mV70BC9Bo-s	Mano que dlc ❣️	['Mano', 'que', 'dlc']	0.0	0.0
2	2	mV70BC9Bo-s	Omg beautiful ;-;	['Omg', 'beautiful']	0.0	0.0
3	3	mV70BC9Bo-s	Como isso apareceu para mim?	['Como', 'isso', 'apareceu', 'para', 'mim']	0.0	0.0
4	4	mV70BC9Bo-s	Wow they r amazing 😦 koreans had pure talented n looks very educated 👍	['Wow', 'they', 'r', 'amazing', 'koreans', 'had', 'pure', 'talented', 'n', 'looks', 'very', 'educated']	0.0	0.0
5	5	mV70BC9Bo-s	When do they eat dogs?	['When', 'do', 'they', 'eat', 'dogs']	0.0	0.0
6	6	mV70BC9Bo-s	Omg our school is going to perform  mamma Mia the musical!! And as soon as I get in suddenly my whole feed is just Mamma Mia related..	['Omg', 'our', 'school', 'is', 'going', 'to', 'perform', 'mamma', 'Mia', 'the', 'musical', 'And', 'as', 'soon', 'as', 'I', 'get', 'in', 'suddenly', 'my', 'whole', 'feed', 'is', 'just', 'Mamma', 'Mia', 'related']	-0.6224365296472167	-0.26
7	7	mV70BC9Bo-s	Awful terrible death	['Awful', 'terrible', 'death']	0.0	0.0
8	8	mV70BC9Bo-s	와.<br>이거보고고려대가고싶어짐	['와이', '거', '보고', '고려대', '가고싶어', '짐']	-1.1906824770136388	-0.67
9	9	mV70BC9Bo-s	This is one of the cutest things I’ve ever seen!! Thank you so much for making this.	['This', 'is', 'one', 'of', 'the', 'cutest', 'things', 'Ive', 'ever', 'seen', 'Thank', 'you', 'so', 'much', 'for', 'making', 'this']	0.0	0.0
10	10	mV70BC9Bo-s	Tudo bom? Sksksk	['Tudo', 'bom', 'Sksksk']	0.0	0.0
11	11	mV70BC9Bo-s	Esto es fantástico	['Esto', 'es', 'fantstico']	0.0	0.0
12	12	mV70BC9Bo-s	<b>How did they make this work? O.o it’s amazing</b>	['How', 'did', 'they', 'make', 'this', 'work', 'Oo', 'its', 'amazing']	-0.6224365296472167	-0.32
13	13	mV70BC9Bo-s	I love this! ❤	['I', 'love', 'this']	0.0	0.0
14	14	mV70BC9Bo-s	Aquí está el comentario en español sabrosón que esperaban. <br>¡Este video está genial! <br>Chévere, fino, bacán	['Aqu', 'est', 'el', 'comentario', 'en', 'espaol', 'sabrosn', 'que', 'esperaban', 'Este', 'video', 'est', 'genial', 'Chvere', 'fino', 'bacn']	0.0	0.0
15	15	mV70BC9Bo-s	와!이제봤어요ㅠㅠ저번에 라라랜드때도 봤어용❣	['와이', '제', '봤어요', '저번', '에', '라라', '랜드', '때', '도', '봤어용']	4.755126940705573	2.38
16	16	mV70BC9Bo-s	SKRATADOO	['SKRATADOO']	0.0	0.0
17	17	mV70BC9Bo-s	Gosto muito de mamma mia e esse cover ficou muito legal, amei 😍😍😍	['Gosto', 'muito', 'de', 'mamma', 'mia', 'e', 'esse', 'cover', 'ficou', 'muito', 'legal', 'amei']	0.0	0.0
18	18	mV70BC9Bo-s	잘찍었네여~~	['잘', '찍었', '네', '여']	1.0	0.62
19	19	mV70BC9Bo-s	DANCING QUEEN	['DANCING', 'QUEEN']	0.0	0.0
20	20	mV70BC9Bo-s	I want to see Japan make a version	['I', 'want', 'to', 'see', 'Japan', 'make', 'a', 'version']	-0.6224365296472167	-0.33
21	21	mV70BC9Bo-s	How cool Korean ! 👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻	['How', 'cool', 'Korean']	0.0	0.0
22	22	mV70BC9Bo-s	I love this so much! It’s a great recreation!	['I', 'love', 'this', 'so', 'much', 'Its', 'a', 'great', 'recreation']	0.0	0.0
23	23	mV70BC9Bo-s	가사 잘 지었닼ㅋ	['가사', '잘', '지었닼']	1.7551269407055687	1.19
24	24	mV70BC9Bo-s	Beautiful and sounds great	['Beautiful', 'and', 'sounds', 'great']	0.0	0.0
25	25	mV70BC9Bo-s	와... 진짜 멋짐.. 거기다 학생들이 지극히 평범해 보여서 더좋음.. 대학생다운 픗풋함이 있어서  참 싱그럽네요...	['와', '진짜', '멋짐', '거기', '다', '학생', '들', '이', '지극히', '평범해', '보', '여서', '더', '좋음', '대학생', '다운', '픗풋함', '이', '있어서', '참', '싱그럽네요']	2.26376467101613	0.97
26	26	mV70BC9Bo-s	Ew ew ew and wtf...this is an insult to the ABBA group	['Ew', 'ew', 'ew', 'and', 'wtfthis', 'is', 'an', 'insult', 'to', 'the', 'ABBA', 'group']	-0.6224365296472167	-0.3
27	27	mV70BC9Bo-s	This is pure trash, Korean people always spoil everything 😭	['This', 'is', 'pure', 'trash', 'Korean', 'people', 'always', 'spoil', 'everything']	0.0	0.0
28	28	mV70BC9Bo-s	Epic	['Epic']	0.0	0.0
29	29	mV70BC9Bo-s	영어로 듣다가 한국말로 들으니까 되게 웃긴닼ㅋㅋㅋ😂	['영어', '로', '듣다가', '한국말', '로', '들으니까', '되게', '웃긴닼']	0.0	0.0
30	30	mV70BC9Bo-s	This is so cute! I love ABBA, Mamma Mia and Korea. Thanks for this! 😍😍😍	['This', 'is', 'so', 'cute', 'I', 'love', 'ABBA', 'Mamma', 'Mia', 'and', 'Korea', 'Thanks', 'for', 'this']	0.0	0.0
31	31	mV70BC9Bo-s	That&#39;s awesome, 잘했어요! 👏💕🎶😊<br><br>-blue	['That', '39', 's', 'awesome', '잘', '했어요', 'blue']	1.535601897318195	0.83
32	32	mV70BC9Bo-s	💞👍	[]	0.0	-0.0
33	33	mV70BC9Bo-s	¿Como llegue aqui???	['Como', 'llegue', 'aqui']	0.0	0.0
34	34	mV70BC9Bo-s	Crazy Rich Asians	['Crazy', 'Rich', 'Asians']	0.0	0.0
35	35	mV70BC9Bo-s	Oh my lord this is so epic I love it wahahahahaha	['Oh', 'my', 'lord', 'this', 'is', 'so', 'epic', 'I', 'love', 'it', 'wahahahahaha']	-0.6224365296472156	-0.3
36	36	mV70BC9Bo-s	so cool	['so', 'cool']	0.0	0.0
37	37	mV70BC9Bo-s	this is so cute im-	['this', 'is', 'so', 'cute', 'im']	0.0	0.0
38	38	mV70BC9Bo-s	😍☺️👌🏼👏🏼💛✨	[]	0.0	-0.0
39	39	mV70BC9Bo-s	Omg I&#39;M CRYING THAT&#39;S AWESOME	['Omg', 'I', '39', 'M', 'CRYING', 'THAT', '39', 'S', 'AWESOME']	-0.21952504338737588	-0.11
40	40	mV70BC9Bo-s	That&#39;s cute	['That', '39', 's', 'cute']	-0.21952504338737588	-0.14
41	41	mV70BC9Bo-s	God I love Mama Mia and korean covers &lt;3	['God', 'I', 'love', 'Mama', 'Mia', 'and', 'korean', 'covers', 'lt', '3']	0.0	0.0
42	42	mV70BC9Bo-s	I loved this. Mamma Mia is one of my favorites films. 😃	['I', 'loved', 'this', 'Mamma', 'Mia', 'is', 'one', 'of', 'my', 'favorites', 'films']	0.0	0.0
43	43	mV70BC9Bo-s	Soy sincero es más bueno mamma mia estadia unidos	['Soy', 'sincero', 'es', 'ms', 'bueno', 'mamma', 'mia', 'estadia', 'unidos']	0.0	0.0
44	44	mV70BC9Bo-s	Wow that was AWESOME!!! x	['Wow', 'that', 'was', 'AWESOME', 'x']	0.0	0.0
45	45	mV70BC9Bo-s	wow!!!!	['wow']	0.0	0.0
46	46	mV70BC9Bo-s	이공계 캠퍼스는 프랑켄슈타인 뮤지컬로 가자!	['이공', '계', '캠퍼스', '는', '프랑켄슈타인', '뮤지컬', '로', '가자']	-0.3522154544457297	-0.19
47	47	mV70BC9Bo-s	AMAZING!!!!!	['AMAZING']	0.0	0.0
48	48	mV70BC9Bo-s	ICONIC	['ICONIC']	0.0	0.0
49	49	mV70BC9Bo-s	this was rough	['this', 'was', 'rough']	0.0	0.0
