	Unnamed: 0	id	sentence	comment_cut	score	ratio
0	0	ZbcZo8lJHzY	아름다운 풍경이 너무 좋아여 ..	['아름다운', '풍경', '이', '너무', '좋아여']	2.6096356914729184	1.54
1	1	ZbcZo8lJHzY	아..두 번 봤는데, 또 보고 싶어요~♡♡♡	['아두', '번', '봤는데', '또', '보고', '싶어요']	-0.8279643473599225	-0.47
2	2	ZbcZo8lJHzY	영상미 터진다.. 배우도 이쁘고 크- 요리해먹고싶다 ㅜ	['영', '상미', '터진다', '배우도', '이쁘고', '크', '요리', '해', '먹고싶다']	-3.1987228435865536	-1.64
3	3	ZbcZo8lJHzY	헉, 제가 첫 댓글, 첫 좋아요를 남기나요?! 깨끗하고 힐링되는 영화 잘 봤습니다 ^^ 이 엔딩곡이 좋아서 극장에서 바로 검색해봤어요 ㅎㅎ	['헉', '제', '가', '첫', '댓글', '첫', '좋아요', '를', '남기나요', '깨끗하고', '힐링', '되는', '영화', '잘', '봤습니다', '이', '엔딩', '곡', '이', '좋아서', '극장', '에서', '바로', '검색', '해봤어요']	9.47486371282423	3.95
4	4	ZbcZo8lJHzY	아리엘아르 아 저두 노래가너무좋아서 검색해밧는뎅	['아리엘', '아르', '아', '저', '두', '노래', '가', '너무', '좋아서', '검색', '해', '밧는', '뎅']	-0.0004950774289886607	-0.0
5	5	ZbcZo8lJHzY	네	['네']	0.0	0.0
6	6	8LrVmv1BtLo	자꾸만 같은 댓글이 올라와서 답을 드립니다.<br>1. 편의점 도시락은 상한 것일 수 있습니다. 많은 분들이 지적하신 부분을 제가 간과하고 리뷰를 만들었습니다. 하지만 상한 도시락이라 하더라도 그것이 혜원이 적응하지 못하는 도시의 삶을 의미한다는 부분에서는 일맥상통한다 생각합니다. 다만 리뷰의 뉘앙스 부분은 문제가 있습니다.<br>2. 오코노미야끼 부분에서, 뒤에 혜원의 어머니가 속인 것으로 나온다고 하는데 제가 보기에는 가쓰오부시 부분이라 생각합니다. 한 번 더 봐야 하나 싶은 생각이 드는데, 가쓰오부시를 보면서 속았다, 라고 말한 것으로 기억합니다. 오코노미야끼는 양배추 빈대떡이고요.	['자꾸만', '같은', '댓글', '이', '올라와서', '답', '을', '드립니다', '1', '편의점', '도시락', '은', '상한', '것일', '수', '있습니다', '많은', '분', '들', '이', '지적', '하신', '부분', '을', '제', '가', '간과', '하고', '리뷰', '를', '만들었습니다', '하지만', '상한', '도시락', '이라', '하더라도', '그것', '이', '혜원', '이', '적응하지', '못', '하는', '도시', '의', '삶', '을', '의미', '한다는', '부분', '에서는', '일맥상통', '한다', '생각', '합니다', '다만', '리뷰', '의', '뉘앙스', '부분', '은', '문제', '가', '있습니다', '2', '오코노미야끼', '부분', '에서', '뒤', '에', '혜원', '의', '어머니', '가', '속인', '것', '으로', '나온다고', '하는데', '제', '가', '보기', '에는', '가쓰오부시', '부분', '이라', '생각', '합니다', '한', '번', '더', '봐야', '하나', '싶은', '생각', '이', '드는데', '가쓰오부시', '를', '보면서', '속', '았', '다', '라고', '말', '한', '것', '으로', '기억', '합니다', '오코노미야끼', '는', '양배추', '빈대떡', '이', '고요']	-12.761585562961756	-4.16
7	7	8LrVmv1BtLo	엄마가 나가는 부분은 리틀포레스트 원작에서도 어머니가 갑자기 집을 가출했어요. 영화에선 저렇게 표현했겠지만 원작에서는 주인공이 아직 학생이였는데 어느날 아무런 말도 없이 사라졌더라구요	['엄마', '가', '나가는', '부분', '은', '리틀', '포레스트', '원작', '에서도', '어머니', '가', '갑자기', '집', '을', '가출', '했어요', '영화', '에선', '저렇게', '표현', '했겠지만', '원작', '에서는', '주인공', '이', '아직', '학생', '이', '였는데', '어느', '날', '아무런', '말', '도', '없이', '사라졌더라구요']	-2.6121119222462896	-1.02
8	8	8LrVmv1BtLo	너무 공감가는 리뷰네요...	['너무', '공감', '가는', '리뷰', '네', '요']	-0.5538260086392169	-0.31
9	9	8LrVmv1BtLo	ㅋㅋㅋㅋㅋㅋ그런 사람이 꼭 있어요 대부분의 사람들이 공감하고 동의하는 내용을 따라가지 못하고 꼭 그들과는 다른 시선이어야 한다는 강박증을 가진 사람이요	['그런', '사람', '이', '꼭', '있어요', '대부분', '의', '사람', '들', '이', '공감', '하고', '동의', '하는', '내용', '을', '따라가지', '못', '하고', '꼭', '그', '들', '과는', '다른', '시선', '이어야', '한다는', '강박증', '을', '가진', '사람', '이요']	-1.0876831095348825	-0.43
10	10	8LrVmv1BtLo	남친과의 관계에서... 저는 여주가 충분히 그럴수 있다고 생각되어 지는데... 제가 너무 이기적건가요...	['남친', '과의', '관계', '에서', '저', '는', '여주', '가', '충분히', '그럴수', '있다고', '생각', '되어', '지는데', '제', '가', '너무', '이', '기적', '건가', '요']	1.4998679561921002	0.65
11	11	8LrVmv1BtLo	그 은행다니는 친구가 이뻐서 봤지.	['그', '은행', '다니는', '친구', '가', '이뻐서', '봤지']	1.0	0.54
12	12	8LrVmv1BtLo	정말 리뷰 건강합니다.	['정말', '리뷰', '건강합니다']	0.3057807183084485	0.21
