	Unnamed: 0	id	sentence	comment_cut	score	ratio
0	0	E8L7QftcXnE	국민의 영웅을 무정부주의자라 애기하네 좀 웃기는소리하네<br>좀 이상하게 애기하네	['국민', '의', '영웅', '을', '무정부주의자', '라', '애기', '하네', '좀', '웃기는', '소리', '하', '네', '좀', '이상하게', '애기', '하네']	-3.1702102273009567	-1.42
1	1	E8L7QftcXnE	저희지역이문경시입니당 문경시안에<br>마성면이있는데 마성면 에서박열이태어남	['저희', '지역', '이', '문경시', '입니당', '문', '경', '시안', '에', '마성면', '이', '있는데', '마성면', '에서', '박열', '이', '태어남']	1.404120178275534	0.63
2	2	E8L7QftcXnE	김현민기자님 설명잘해줘서 감사합니다.	['김현민', '기자', '님', '설명', '잘해줘서', '감사합니다']	0.0	0.0
3	3	E8L7QftcXnE	제목봐라 이새끼 ㅋㅋㅋ	['제목', '봐라', '이', '새끼']	0.0	0.0
4	4	E8L7QftcXnE	김지운 제목 수준이 ㅋㅋ	['김지운', '제목', '수준', '이']	0.0	0.0
5	5	E8L7QftcXnE	저스디스 생각 나던데 ㅋㅋ	['저스디스', '생각', '나던데']	0.9223904066086704	0.62
6	6	E8L7QftcXnE	박열은 진짜 미쁜사람인거 같아요...... 미친 착한사람....	['박열', '은', '진짜', '미쁜사람', '인거', '같아요', '미친', '착한', '사람']	-2.242939890548015	-1.15
7	7	E8L7QftcXnE	아 진짜 어떻하실거에요 알씨네님! 님때문에 어제보고온거 또보고 싶잖아요!--	['아', '진짜', '어떻하실거에요', '알씨', '네', '님', '님때문', '에', '어제', '보고온거', '또', '보고', '싶잖아요']	0.1072102182466439	0.05
8	8	E8L7QftcXnE	참···묘하고 끌리는 영화네요.<br>울고 있는데 미소를 짓게 만드는 신기한 것 같아요.	['참', '묘', '하고', '끌리는', '영화', '네', '요', '울', '고', '있는데', '미소', '를', '짓게', '만드는', '신기한', '것', '같아요']	3.27533033778512	1.47
9	9	E8L7QftcXnE	전 영화관에서 보다가 울었습니다. 아나키스트이자 애국자 박열... 역대급이었습니다!!	['전', '영화관', '에서', '보다가', '울었습니다', '아나키스트', '이자', '애국자', '박열', '역대', '급', '이었습니다']	1.404120178275534	0.68
10	10	E8L7QftcXnE	제목으로 낚이네ᆢ<br>급실망ᆢ<br>볼려고했는데 <br>제목에 낚인 내가 쪽팔려서 안보기로 작정함ᆢ	['제목', '으로', '낚', '이네', '급', '실망', '볼려고', '했는데', '제목', '에', '낚', '인', '내', '가', '쪽팔려서', '안', '보기로', '작정', '함']	-1.7855795635067122	-0.78
11	11	E8L7QftcXnE	개인적인 생각이지만 박열과 후이코가 고문을 받지 않은 이유는 설정이 아니라 중앙정부에 잡혔고 화제의 중심이었기 때문입니다<br><br>일본은 대학살을 숨겨야했기에 외신의 눈이 아주 중요한데 대역죄인이 민주적 절차를 거치지 않고 처맞은 채 재판장에섰다??  말도 안되는소리죠	['개인', '적', '인', '생각', '이지만', '박열', '과', '후', '이', '코', '가', '고문', '을', '받지', '않은', '이유', '는', '설정', '이', '아니라', '중앙정부', '에', '잡혔고', '화제', '의', '중심', '이었기', '때문', '입니다', '일본', '은', '대', '학살', '을', '숨겨', '야했기에', '외신', '의', '눈', '이', '아주', '중요한데', '대역', '죄인', '이', '민주', '적', '절차', '를', '거치', '지', '않고', '처', '맞은', '채', '재판', '장', '에', '섰다', '말', '도', '안되는', '소리', '죠']	-2.274249166984533	-0.81
12	12	E8L7QftcXnE	김명원 후미코...	['김명원', '후', '미코']	0.0	0.0
13	13	E8L7QftcXnE	이거 완전 감동적이에요..ㅠ 가족과 같이봤어욤..ㅠ	['이', '거', '완전', '감동', '적', '이에요', '가족', '과', '같이', '봤어', '욤']	2.0	0.98
14	14	E8L7QftcXnE	아나키스트 박열은 아나키즘 크로포트킨 의 개인주의자 를 표방한 아나키스트 입니다. 아나키스트의 뜻은 아나키즘 의 사상을 전파하고 설파하는 또는 아나키즘 <br>사회를 건설하사람들을 아나키스트 라고 합니다. 무정부주의자는 일본에 의해 번역된!!잘못된 번역입니다.	['아나키스트', '박열', '은', '아나키즘', '크로포트킨', '의', '개인주의자', '를', '표방', '한', '아나키스트', '입니다', '아나키스트', '의', '뜻', '은', '아나키즘', '의', '사상', '을', '전파', '하고', '설', '파하는', '또는', '아나키즘', '사회', '를', '건설', '하', '사람', '들', '을', '아나키스트', '라고', '합니다', '무정부주의자', '는', '일본', '에', '의해', '번역', '된', '잘못', '된', '번역', '입니다']	-8.474060019140804	-3.17
15	15	E8L7QftcXnE	정확히 무정부주의자는 아닙니다. ㅎㅎ	['정확히', '무정부주의자', '는', '아닙니다']	-1.5231501584774063	-0.95
16	16	E8L7QftcXnE	박열 기대됩니다! 잘봤습니다~	['박열', '기대', '됩니다', '잘', '봤습니다']	2.2193003666375577	1.31
17	17	E8L7QftcXnE	빨리 보러가고 싶네요 멋져요 잘봤습니다❤️	['빨리', '보러가고', '싶네요', '멋져요', '잘', '봤습니다']	1.0	0.56
18	18	E8L7QftcXnE	리뷰를 보니 간만에 기대되는 영화네요~ 미국이라 개봉은 힘들겠지만 나오는데로 바로 시청해야겠네요^^<br>리뷰 잘보고갑니다.	['리뷰', '를', '보니', '간만', '에', '기대', '되는', '영화', '네', '요', '미국', '이라', '개봉', '은', '힘들겠지만', '나오는데로', '바로', '시청', '해야겠네요', '리뷰', '잘', '보고', '갑니다']	2.58406005976924	1.09
19	19	E8L7QftcXnE	오 뭔가 볼까말까 했었는데 기자님 리뷰보니 박열스럽다를 느껴봐야겠네요ㅎㅎ	['오', '뭔가', '볼', '까말까', '했었는데', '기자', '님', '리뷰', '보니', '박열', '스럽다를', '느껴', '봐야겠네요']	0.2193003666375577	0.1
20	20	E8L7QftcXnE	믿고 보는 이준익!! 동주도 너무 좋고 박열도 너무 좋았네여~	['믿고', '보는', '이준익', '동주', '도', '너무', '좋고', '박열', '도', '너무', '좋았', '네', '여']	3.2193003666375577	1.52
21	21	E8L7QftcXnE	최희서 배우님 킹콩을들다 에서 선머슴같은 그 이미지가 너무강했는데 이렇게 미인이셨네요.<br>볼까말까 고민했는데 꼭 봐야겠네요^^	['최희', '서', '배우', '님', '킹콩을들다', '에서', '선머슴', '같은', '그', '이미지', '가', '너무', '강했는데', '이렇게', '미인', '이', '셨', '네', '요', '볼', '까말까', '고민', '했는데', '꼭', '봐야겠네요']	3.292030029884621	1.37
22	22	E8L7QftcXnE	역시 현민 기자님 리뷰 최고! 알씨네 최고!	['역시', '현', '민', '기자', '님', '리뷰', '최고', '알씨', '네', '최고']	2.0	1.0
23	23	E8L7QftcXnE	박열 극장에서 본 후 알씨네  봤는데 영화 또 보고싶네요. 이런 영화는 처음. 강추!	['박열', '극장', '에서', '본', '후', '알씨', '네', '봤는데', '영화', '또', '보고싶네요', '이런', '영화', '는', '처음', '강추']	4.8346697028433185	2.19
24	24	E8L7QftcXnE	리뷰가 너무 알차요! 영화 보러가야겠숩니다	['리뷰', '가', '너무', '알차요', '영화', '보러가야겠', '숩니', '다']	1.6616696531605712	0.87
25	25	E8L7QftcXnE	최희서배우님...애정하게되었습니다<br>앞으로 많은 작품에서 봤으면 좋겠어요~	['최희', '서', '배우', '님', '애정', '하', '게', '되었습니다', '앞', '으로', '많은', '작품', '에서', '봤으면', '좋겠어요']	2.292030029884621	1.05
26	26	E8L7QftcXnE	꿈의 제인부터 챙겨보고 있습니다 <br>정말 몇 안되는, 제대로 된 영화 리뷰네요 	['꿈', '의', '제인', '부터', '챙겨', '보고', '있습니다', '정말', '몇', '안되는', '제대로', '된', '영화', '리뷰', '네', '요']	2.6616696531605712	1.21
27	27	ZH2DHkLBZfg	진짜 일본인인줄 알았습니다..<br>그만큼 너무 잘해주셔서..근데 알고보니 제가 지금까지 본영화들에도 나오셨더라고요..새삼 놀랐습니다♡	['진짜', '일본인', '인', '줄', '알았습니다', '그만큼', '너무', '잘', '해주셔서', '근데', '알', '고', '보니', '제', '가', '지금', '까지', '본', '영화', '들', '에도', '나오셨더라고요', '새삼', '놀랐습니다']	1.2290300208303095	0.52
28	28	ZH2DHkLBZfg	배우님때문에 두번봤습니다.ㅎㅎ좋은연기 감사합니다~	['배우', '님', '때문', '에', '두', '번', '봤습니다', '좋은', '연기', '감사합니다']	2.0	1.0
29	29	q6VVE9m85yM	오대박 오늘봤는데 장면다르니까 신기하네요	['오', '대박', '오늘', '봤는데', '장면', '다르니까', '신기하네요']	0.0	0.0
30	30	q6VVE9m85yM	후미코 졸라 멋있어 ㅋㅋ	['후', '미코', '졸라', '멋있어']	0.0	0.0
31	31	7tPFL3W4oVc	마지막 재판때 잊지 않겠다고 외치는 장면이랑 사형 선고 받고 났을때도 정말 명장면이라고 생각함 ..	['마지막', '재판', '때', '잊지', '않겠다고', '외치는', '장면', '이랑', '사형', '선고', '받고', '났을', '때', '도', '정말', '명', '장면', '이라고', '생각', '함']	0.9223904066086704	0.4
32	32	7tPFL3W4oVc	일본어로 잊지않으리 법정밖에서 다같이외치는거 씹명장면..	['일본어', '로', '잊지', '않으리', '법정', '밖', '에서', '다', '같이', '외치는거', '씹', '명장', '면']	1.1848198116379764	0.56
33	33	7tPFL3W4oVc	진짜 다 명장면이였습니다ㅠㅠㅠ다들 수고많으셨고ㅜㅜ이 영화를 만들어주셔서 감사합니다👍💓💓	['진짜', '다', '명', '장면', '이', '였습니다', '다', '들', '수고', '많으셨고이', '영화', '를', '만들어주셔서', '감사합니다']	1.7688798714072151	0.82
