	Unnamed: 0	id	sentence	comment_cut	score	ratio
0	0	uDoNR1iYk2k	에쁘세요!	['에쁘세', '요']	0.0	0.0
1	1	uDoNR1iYk2k	오랜만에뵙게되어서좋네요.	['오랜', '만', '에', '뵙게', '되어서', '좋네요']	1.2015184703664097	0.68
2	2	uDoNR1iYk2k	곤드려<br>지었는데<br>암처럼 까매짐	['곤', '드려지었는데', '암', '처럼', '까매', '짐']	-1.2135479082609693	-0.68
3	3	uDoNR1iYk2k	이거 영화봤는데	['이', '거', '영화', '봤는데']	-0.6209133859729601	-0.39
4	4	uDoNR1iYk2k	나그거 친구들이랑 3월21일날보고왔는데온전무섭던데	['나', '그거', '친구', '들', '이랑', '3월', '21일', '날보고왔는데온전무섭던데']	1.0519675751251194	0.55
5	5	uDoNR1iYk2k	전체적으로 자극적인 컨텐츠 밖에 없네	['전체', '적', '으로', '자극', '적', '인', '컨텐츠', '밖에', '없네']	-0.14314937449985948	-0.07
6	6	uDoNR1iYk2k	땅주인은 아예 일본처럼 흉가 체험 장소로 만들어서 운영하면 떼돈벌텐데	['땅', '주인', '은', '아예', '일본', '처럼', '흉가', '체험', '장소', '로', '만들어서', '운영', '하면', '떼돈', '벌텐데']	-2.8305892677246223	-1.3
7	7	uDoNR1iYk2k	아아아! 도대체 왜 철거하지 않나 궁금했는데 손대게되면 상속세 문제가 생기는군요..! 감사합니다 흥미로웠어요!	['아아', '아', '도대체', '왜', '철거', '하지', '않나', '궁금했는데', '손대게되', '면', '상속세', '문제', '가', '생기는군요', '감사합니다', '흥미로웠어요']	-1.2794172942083102	-0.58
8	8	uDoNR1iYk2k	내생일 2월21일인데 221호가안열리네...무서워	['내', '생일', '2월', '21일', '인데', '221', '호가', '안', '열리네', '무서워']	-2.746901310695156	-1.37
9	9	uDoNR1iYk2k	댓글보지말고 영상봐요	['댓글', '보지', '말고', '영상', '봐요']	-0.41618587811195146	-0.24
10	10	uDoNR1iYk2k	4.35보면  생각해보면 카펫같음거 검해야 하는데 왜하얀색	['435', '보면', '생각', '해보면', '카펫', '같음', '거', '검', '해야', '하는데', '왜', '하얀색']	-0.8914524293105185	-0.43
11	11	uDoNR1iYk2k	뭔가 디바제시카가 제일 믿을 만 하다	['뭔가', '디바', '제시카', '가', '제일', '믿을', '만', '하다']	0.1464434554211133	0.08
12	12	uDoNR1iYk2k	공포채험 하다가 깜빵 채험을 하는건가...	['공포', '채', '험', '하다가', '깜빵', '채', '험을', '하는', '건가']	-2.255196093599675	-1.15
13	13	uDoNR1iYk2k	저 경상도 가는데 구리 쪽인가? 그쪽에 곤지암이라고 네비계이션에 적혀 있어서 물어 봤는데 곤지암은 마을? 마을이름 이라고 하더라고요....아마도 그쪽에 곤지암 정신병원이?! <br><br><br><br><br><br><br>그쪽지나가는데 소름 쫙 돋아요..ㅠ	['저', '경상도', '가는데', '구리', '쪽', '인가', '그', '쪽', '에', '곤지암', '이라고', '네', '비계', '이', '션', '에', '적혀', '있어서', '물어', '봤는데', '곤지암', '은', '마을', '마을', '이름', '이라고', '하더라고요', '아마도', '그', '쪽', '에', '곤지암', '정신병원', '이', '그', '쪽지', '나가는데', '소름', '쫙', '돋아요']	-4.743175495609026	-1.82
14	14	uDoNR1iYk2k	예..예쁘다	['예', '예쁘다']	2.0	1.54
15	15	uDoNR1iYk2k	"<a href=""https://www.youtube.com/watch?v=uDoNR1iYk2k&amp;t=2m54s"">2:54</a>초에 심영 병원 아님?"	['254초', '에', '심영', '병원', '아님']	-0.9032086736529096	-0.53
16	16	uDoNR1iYk2k	건물  왜 철거안해영?	['건물', '왜', '철거', '안해영']	-0.7348500338703122	-0.46
17	17	uDoNR1iYk2k	철거비용 때문에 맘대로 못하고 있습니다	['철거', '비용', '때문', '에', '맘대로', '못', '하고', '있습니다']	-1.7915897523367863	-0.94
18	18	uDoNR1iYk2k	예ㅔㅔㅔㅔㅔㅔㅔㅔㅔㅔㅔㅔㅔㅔㅔㅔㅔㅔㅔㅔㅔ쁨	['예쁨']	0.0	0.0
19	19	uDoNR1iYk2k	이힝....무서워	['이', '힝', '무서워']	-2.0	-1.35
20	20	uDoNR1iYk2k	걍 허구로 만들어진 루머일뿐...정신병원이 문을 닫은 이유는 루머와 완전 다름~	['걍', '허구', '로', '만들어진', '루머', '일', '뿐', '정신병원', '이', '문', '을', '닫은', '이유', '는', '루머', '와', '완전', '다름']	-2.0043625440540067	-0.89
21	21	uDoNR1iYk2k	곤지암이 왜 무서운 곤지암??	['곤지암', '이', '왜', '무서운', '곤지암']	-2.415376652455299	-1.42
22	22	uDoNR1iYk2k	이쁘다	['이쁘다']	2.0	2.0
23	23	uDoNR1iYk2k	저만. 보여요	['저만', '보여요']	-0.03675130269838284	-0.03
24	24	uDoNR1iYk2k	언니. 뒤에. 여자. 뭐예요	['언니', '뒤', '에', '여자', '뭐', '예요']	-0.3360957273311113	-0.19
25	25	uDoNR1iYk2k	30억.....1억도 억소리.나는데 ....30억이.더 무섭네요	['30억', '1억', '도', '억', '소리', '나', '는데', '30억', '이더', '무섭네요']	-1.2845380994307294	-0.64
26	26	uDoNR1iYk2k	언니 보고 싶었어요ㅠㅠㅠㅠ언니 목소리 너무 좋아요	['언니', '보고', '싶었어요', '언니', '목소리', '너무', '좋아요']	1.256995466250436	0.68
27	27	uDoNR1iYk2k	..? 별로 안 무서운뎁...<br><br><br><br><br>는 뻥...아..ㄷㄷㄷㄷ 넘 무서워여 ㅠㅠㅠㅠ 흐어어ㅓㅇㄹㄱ	['별로', '안', '무서운', '뎁', '는', '뻥', '아', '넘', '무서워여', '흐어어']	-2.111540825827263	-1.06
28	28	uDoNR1iYk2k	보고있었는데 광고 나와서 웃긴사람 손❣	['보고있었는데', '광고', '나와서', '웃긴', '사람', '손']	0.7033259198232436	0.4
29	29	uDoNR1iYk2k	무서워요. !	['무서워요']	-0.28005116401514896	-0.28
30	30	uDoNR1iYk2k	가지마세요!	['가지', '마세요']	-0.5691268003223069	-0.44
31	31	uDoNR1iYk2k	제친구 할머니집갈때지나가요...	['제', '친구', '할머니', '집', '갈', '때', '지', '나가요']	1.7755410445439634	0.93
32	32	uDoNR1iYk2k	와우~<br>광고가 왜 이렇게 많지!<br>Bj중에서 광고가 젤 많아	['와우', '광고', '가', '왜', '이렇게', '많지', 'Bj', '중', '에서', '광고', '가', '젤', '많아']	-0.07897097514992926	-0.04
33	33	uDoNR1iYk2k	저는 무서워서 절대 갈 생각을 안했는데 가는 분들은 대단하네요... 보완이 되어 있긴 하지만 이제는 철문 앞에라도 가지 않았으면...그곳도 사람사는 곳이고 주민분들도 싫어 하시는데 자제하시는게 좋을거 같네요...	['저', '는', '무서워서', '절대', '갈', '생각', '을', '안', '했는데', '가는', '분', '들', '은', '대단하네요', '보완', '이', '되어', '있긴', '하지만', '이제', '는', '철문', '앞', '에라도', '가지', '않았으면', '그', '곳도', '사', '람사', '는', '곳', '이고', '주민', '분들', '도', '싫어', '하시는데', '자제', '하시는게', '좋을거', '같네요']	-5.626790471763198	-2.14
34	34	uDoNR1iYk2k	영화는 정말 객관적으로 노잼..	['영화', '는', '정말', '객관', '적', '으로', '노잼']	-1.5607836405374194	-0.85
35	35	uDoNR1iYk2k	무서운거 말고  다른  컨텐츠는  없나요....?	['무서운거', '말고', '다른', '컨텐츠', '는', '없나요']	0.2614858909824365	0.15
36	36	uDoNR1iYk2k	제가살고있는곳이곤지암인데..ㄷㄷ	['제', '가', '살고있는', '곳', '이', '곤지암', '인데']	-0.5390872921932705	-0.29
37	37	uDoNR1iYk2k	나 이거 봤는데 개무섭 ㄷㄷ	['나', '이', '거', '봤는데', '개', '무섭']	-0.5569569864115956	-0.31
38	38	uDoNR1iYk2k	엄마 오늘같이자자...	['엄마', '오늘', '같이', '자자']	-0.4467717438879128	-0.28
39	39	uDoNR1iYk2k	엥 뭔소리지 병원장 잘살고 있다는데	['엥', '뭔', '소리', '지', '병원', '장', '잘살고', '있다는데']	-0.8670479195781016	-0.46
40	40	uDoNR1iYk2k	사람들이 그렇게 많이오면 있던귀신도 빡쳐서 나가겠다;; 그리고 남에 건물에 낙서좀 적당히해라	['사람', '들', '이', '그렇게', '많이', '오', '면', '있던', '귀신', '도', '빡쳐서', '나가겠다', '그리고', '남', '에', '건물', '에', '낙서', '좀', '적당히', '해', '라']	-2.573229177101836	-1.1
41	41	uDoNR1iYk2k	그리고 곤지함  영화찍을때 폐교를 디자이너해서 찍은거레요	['그리고', '곤지', '함', '영화', '찍', '을', '때', '폐교', '를', '디자이너', '해서', '찍은거', '레', '요']	-1.056484312061914	-0.49
42	42	uDoNR1iYk2k	곤지암 영화제목 바꾸라고하던디..	['곤지암', '영화', '제목', '바꾸라고', '하던디']	-0.16652073599352726	-0.1
43	43	uDoNR1iYk2k	들어가지마세용이쁜모을버리는거나마찬가지에용<br>😴😢	['들어가지마', '세용', '이쁜', '모을', '버리는거나', '마찬가지', '에', '용']	2.0	1.05
44	44	uDoNR1iYk2k	곤지안정신병원에있던사람들안죽고다들 잘살아있어여	['곤', '지안', '정신병원', '에', '있던', '사람', '들', '안', '죽고다', '들', '잘살아있어여']	0.3238239793249618	0.16
45	45	uDoNR1iYk2k	<b>실제로 간 사람중 하나:신태일(이건희 씨)</b>	['실제', '로', '간', '사람', '중', '하나', '신태일', '이건희', '씨']	-0.11048249681067712	-0.06
46	46	uDoNR1iYk2k	공포체험하다가 벌금체험 ??	['공포', '체험', '하', '다가', '벌금', '체험']	-3.569879673765397	-2.01
47	47	uDoNR1iYk2k	곤지암예기아빠한테들었어요!아빠가한출연자가넘무서워서정신병자결렸다는데	['곤지암', '예', '기', '아빠', '한테', '들었어요', '아빠', '가', '한', '출연자', '가', '넘', '무서워서', '정신병', '자', '결렸다는데']	-4.717002288455352	-2.14
48	48	uDoNR1iYk2k	샤뱌샤뱌귀신이ㄸ..ㅓ..올..ㄹ..ㅏ...	['샤뱌샤뱌', '귀신', '이', '올']	-0.8909873657106012	-0.56
49	49	uDoNR1iYk2k	"<a href=""https://www.youtube.com/watch?v=uDoNR1iYk2k&amp;t=3m43s"">3:43</a> 이거 영화아니였어..?ㄷㄷ진짠가보네😱"	['343', '이', '거', '영화', '아니였어진', '짠', '가보네']	-0.2775043078223337	-0.15
50	50	uDoNR1iYk2k	무섭네연...	['무섭', '네', '연']	-0.21354790826096925	-0.14
51	51	uDoNR1iYk2k	무서워요	['무서워요']	-0.28005116401514896	-0.28
52	52	uDoNR1iYk2k	건물이3층까지밖에없는데 402호가어딨냐ㅋㅋㅋㅋ	['건물', '이', '3', '층', '까지', '밖에', '없는데', '402', '호가', '어딨냐']	1.4668140530359517	0.73
53	53	uDoNR1iYk2k	건물주는 그냥 외국에서산다고하든데	['건물', '주는', '그냥', '외국', '에서', '산다', '고', '하든데']	-1.4737595549028264	-0.77
54	54	uDoNR1iYk2k	뒤에 파란액자 계속 거슬렷어요ㅠㅠ ㅠㅠㅠㅠㅠㅠㅠㅠ ㅠㅠㅠ	['뒤', '에', '파란', '액자', '계속', '거슬렷어', '요']	-0.3131552422414856	-0.17
55	55	uDoNR1iYk2k	갈수록 이뻐지네	['갈수록', '이뻐지네']	-0.5747754476206458	-0.44
56	56	uDoNR1iYk2k	화장 찐하게 안하는게 더 이뻐요	['화장', '찐하게', '안', '하는게', '더', '이뻐요']	1.1898545497282549	0.67
57	57	uDoNR1iYk2k	디바 제시카 중1때부터 본것같은데 벌써 고2네.... 구독자는 언제 이렇게 늘었데....	['디바', '제시카', '중', '1', '때', '부터', '본것', '같은데', '벌써', '고', '2', '네', '구', '독자', '는', '언제', '이렇게', '늘었데']	0.9734089222538104	0.43
58	58	uDoNR1iYk2k	do u have english translate?	['do', 'u', 'have', 'english', 'translate']	0.0	0.0
59	59	uDoNR1iYk2k	광고가 너무많다 ;; 광고만으로도 수입짭짤할듯	['광고', '가', '너무', '많다', '광고', '만으로도', '수입', '짭짤할듯']	2.7160987172510214	1.43
60	60	uDoNR1iYk2k	제가 곤지암 정신병원 앞에 근형<br>심포니아파트에서 살았는데 저기 들어가지만<br>않으면 겉에서는 별로 안무서어요!그냥 풀밭위의 오래된 하얀집...?근데 가까히서 들여다보면 소름..	['제', '가', '곤지암', '정신병원', '앞', '에', '근', '형', '심포니', '아파트', '에서', '살았는데', '저기', '들어가지만', '않으면', '겉', '에서는', '별로', '안', '무서어요', '그냥', '풀밭', '위', '의', '오래된', '하얀', '집', '근데', '가까히서', '들여다보면', '소름']	-4.601432818028208	-1.85
61	61	uDoNR1iYk2k	괴담은 괴담을 뿐입니다	['괴담', '은', '괴담', '을', '뿐입니다']	-1.037504176141473	-0.61
62	62	uDoNR1iYk2k	저런 폐가 가는거 위험합니다. 귀신, 빙의문제가 아니라진짜 사람이 대기하고 있다가 무슨짓을 한다면도와줄사람 없이 당할 수 밖에 없습니다.	['저런', '폐가', '가는거', '위험합니다', '귀신', '빙의', '문제', '가', '아니라', '진짜', '사람', '이', '대기', '하고', '있다가', '무슨', '짓', '을', '한다면', '도와줄', '사람', '없이', '당할', '수', '밖에', '없습니다']	-2.1559805212609384	-0.89
63	63	uDoNR1iYk2k	곤지암이 소문으로인해 잘못알려진곳이긴하지만 어찌됫든 안좋은 곳인걸 확신합니다. 제 아는형이랑 친구들 그리고 그형들의 선배들 차타고 곤지암을갓는데 아무일도없다가 돌아오는길에 아는형 차사고나서 옆에타고잇던 친구 죽고 그형은 손목부서졌습니다. 놀라운건 그형들 선배들도 차타고 돌아가는길에 사고가났는데 죽었답니다	['곤지암', '이', '소문', '으로', '인해', '잘', '못', '알려진', '곳', '이긴하지만', '어찌됫', '든', '안좋은', '곳', '인걸', '확신', '합니다', '제', '아는', '형', '이랑', '친구', '들', '그리고', '그', '형', '들', '의', '선배', '들', '차', '타고', '곤지암', '을', '갓', '는데', '아무', '일도', '없다가', '돌아오는', '길', '에', '아는', '형', '차사', '고', '나서', '옆', '에', '타고', '잇던', '친구', '죽고', '그', '형', '은', '손목', '부서졌습니다', '놀라운건', '그', '형', '들', '선배', '들', '도', '차', '타고', '돌아가는', '길', '에', '사고', '가', '났는데', '죽었답니다']	1.6580022393010494	0.58
64	64	uDoNR1iYk2k	아는오빠가 ㅜㅜ 폐가간다고해서 간다고햇는데ㅜ 새벽 1시에 가서 못갔엉ㄷㅜ	['아는', '오빠', '가', '폐가', '간', '다', '고해', '서', '간다', '고', '햇', '는데', '새벽', '1시', '에', '가서', '못', '갔', '엉']	-1.299601622135706	-0.57
65	65	uDoNR1iYk2k	ㅜ 저 지금 잘때어떡하지?!?!어ㅠㅡ 이러고잇어오요ㅜㅜ	['저', '지금', '잘', '때', '어떡하지어', '이러고', '잇어오요']	0.936025578018374	0.51
66	66	uDoNR1iYk2k	언니 무서워요오ㅜ♥😫	['언니', '무서워요', '오']	0.2614840416337799	0.18
67	67	uDoNR1iYk2k	현성.....내이름이 왜 저기있을까?.....ㅜㅜ	['현', '성', '내', '이름', '이', '왜', '저기', '있을까']	-1.2634914695217443	-0.66
68	68	uDoNR1iYk2k	곤지암 운영하던 의사 원장이 멀쩡하게 살아서 다른 병원서 근무하고 있습니다<br>또 다른 병원 의사도 있으나 인터뷰 거절했구요  운영하던 원장이 죽기는 멀 죽었나요<br>멀쩡하게 살아 있구만 <br>이라서 루머는 무섭다는 겁니다 없는 사실을 곧이 믿는 사람들 다 있고	['곤지암', '운영', '하던', '의사', '원장', '이', '멀쩡하게', '살아서', '다른', '병원', '서', '근무', '하고', '있습니다', '또', '다른', '병원', '의사', '도', '있으나', '인터뷰', '거절', '했구요', '운영', '하던', '원장', '이', '죽기는', '멀', '죽었나요', '멀쩡하게', '살', '아', '있구만', '이라서', '루머', '는', '무섭다는', '겁니다', '없는', '사실', '을', '곧이', '믿는', '사람', '들', '다', '있고']	-5.797888664149975	-2.16
69	69	uDoNR1iYk2k	왜 더 이뻐지노   사랑합니다	['왜', '더', '이뻐지노', '사랑', '합니다']	2.407040573913904	1.42
70	70	uDoNR1iYk2k	지금 어마옆에 찰싹 붙어잇는 사람 발 들어봐요 발	['지금', '어마', '옆', '에', '찰싹', '붙어', '잇는', '사람', '발', '들어', '봐요', '발']	0.8186616264162832	0.39
71	71	uDoNR1iYk2k	디바제시카님 목소리 돌아왔어요?????	['디바', '제시카', '님', '목소리', '돌아왔어요']	1.3003695627193137	0.77
72	72	uDoNR1iYk2k	하지만...! 다 거짓말이라능!!	['하지만', '다', '거짓말', '이라', '능']	-2.3153078031804237	-1.36
73	73	uDoNR1iYk2k	환자복옆에피같은게보임	['환자복', '옆', '에피', '같은게', '보임']	0.10038279846165962	0.06
74	74	uDoNR1iYk2k	제 얼굴이 더 음침 ㄷ	['제', '얼굴', '이', '더', '음침']	-0.01591691698750486	-0.01
75	75	uDoNR1iYk2k	히바	['히바']	0.0	0.0
76	76	uDoNR1iYk2k	씨발 곤지암 누가 많들었어	['씨발', '곤지암', '누가', '많', '들었어']	-1.3157467274367296	-0.77
77	77	uDoNR1iYk2k	"<a href=""https://www.youtube.com/watch?v=uDoNR1iYk2k&amp;t=3m13s"">3:13</a> 이사진 밑에 창문보시면 어떤 사람얼굴 잇어요 ㄷㄷ"	['313', '이', '사진', '밑', '에', '창문', '보시', '면', '어떤', '사람', '얼굴', '잇어요']	-0.2665634706057508	-0.13
78	78	uDoNR1iYk2k	이 언니 왤케 이뿐 곤지암?💕💕	['이', '언니', '왤케', '이뿐', '곤지암']	0.22654135165528946	0.13
79	79	uDoNR1iYk2k	제가듣기로는 원장 아버지가 병원을 아들에게물려주고 아들이 그 병원 관리비를 감달하기힘들어서 그 정신병원을 방치해두고 있다고 들었습니다 원장은 외국에서 살고있다고 들었고요	['제', '가', '듣기', '로는', '원장', '아버지', '가', '병원', '을', '아들', '에게', '물려주고', '아들', '이', '그', '병원', '관리', '비', '를', '감', '달하기', '힘들어서', '그', '정신병원', '을', '방치', '해', '두고', '있다고', '들었습니다', '원장', '은', '외국', '에서', '살고있다고', '들었고요']	-5.742210855591053	-2.25
80	80	uDoNR1iYk2k	여기가 저희 할머니네 입니다	['여기', '가', '저희', '할머니', '네', '입니다']	0.029641338482200293	0.02
81	81	uDoNR1iYk2k	디바제시카님 생얼때보고 충격먹음...	['디바', '제시카', '님', '생얼', '때', '보고', '충격', '먹음']	-1.0266190881689858	-0.54
