	Unnamed: 0	id	sentence	comment_cut	score	ratio
0	0	vQU_T5lbaJY	Kiss my ass가 닥치란뜻인가요	['Kiss', 'my', 'ass', '가', '닥치란', '뜻', '인가요']	0.0	0.0
1	1	vQU_T5lbaJY	ㅋㅋㅋ이영화 꿀잼ㅋㅋㅋ	['이영화', '꿀잼']	1.2311201285927893	0.95
2	2	vQU_T5lbaJY	뭔큰이난줄알았네ㅋ	['뭔', '큰', '이', '난줄', '알았네']	0.0	0.0
3	3	vQU_T5lbaJY	짠거 ㅋㅋ	['짠거']	0.0	0.0
4	4	vQU_T5lbaJY	아주 진지하지 못한 친구들 천지구만<br>ㅋㅋㅋㅋㅋ	['아주', '진지하지', '못', '한', '친구', '들', '천', '지구', '만']	0.8927897817533562	0.46
5	5	vQU_T5lbaJY	아 너무 기여웤ㅋㅋㅋㅋㄱㄴㅋ	['아', '너무', '기여', '웤']	-0.1072102182466409	-0.07
6	6	vQU_T5lbaJY	밥먹는다니ㅋㅋㅋㅋㅋㅋㅋㅋ	['밥', '먹는다니']	0.0	0.0
7	7	vQU_T5lbaJY	ㅋㅋㅋ	[]	0.0	-0.0
8	8	vQU_T5lbaJY	이거 보고 옴	['이', '거', '보고', '옴']	0.3252548684406956	0.2
9	9	vQU_T5lbaJY	ㅋㅋㅋㅋㅋㅋ <br>이거 봤는대ㅋㅋㅋㅋㅋㅋㅋㅋ<br>밥먹고 있는사람이 개임 밖에서는 여자임 ㅋㅋㅋ	['이', '거', '봤는대', '밥', '먹고', '있는', '사람', '이', '개임', '밖', '에서는', '여', '자임']	0.1287898404904213	0.06
10	10	vQU_T5lbaJY	아 웃곀ㅋㅋㅋㅌ	['아', '웃곀']	0.0	0.0
11	11	vQU_T5lbaJY	정태호씨 닮으심ㅋㅋㅋㅋㅋㅋㅋㅋㅋㄱㅋㅋㅋㅋ	['정태호', '씨', '닮으', '심']	0.0	0.0
12	12	vQU_T5lbaJY	마지막 존나겤ㅋㅋㅋ 라바 옐로우 같넼ㅋㅋㅋㅋㅋㅋㅋㅋㅋ	['마지막', '존나', '겤', '라바', '옐로우', '같넼']	-0.10721021824664377	-0.06
13	13	vQU_T5lbaJY	낚임ㄲㅋㅋㅋㅣㄱㅋㅋ	['낚임']	0.0	0.0
14	14	vQU_T5lbaJY	ㅋㅋㅋㅋㅋ밥 먹을때 건들면 안됨	['밥', '먹을', '때', '건', '들', '면', '안됨']	0.0	0.0
15	15	vQU_T5lbaJY	ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅁㅊㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ	[]	0.0	-0.0
16	16	vQU_T5lbaJY	아니 드웨인 존슨 나오기 시작하면서부터 인상만 쓰고 있는데 시선강탈 개오지네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ	['아니', '드웨', '인', '존슨', '나오기', '시작', '하', '면서', '부터', '인상', '만', '쓰고', '있는데', '시선', '강탈', '개오지', '네']	-2.981591656319287	-1.34
17	17	vQU_T5lbaJY	아 기대된다..빨리..	['아', '기대', '된다', '빨리']	1.0	0.62
18	18	vQU_T5lbaJY	ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ	[]	0.0	-0.0
19	19	vQU_T5lbaJY	역시 잭형 클라스	['역시', '잭', '형', '클라스']	2.184819811637975	1.36
20	20	vQU_T5lbaJY	잭 오물오물 ㅠㅠㅠ너무 귀여워	['잭', '오물오물', '너무', '귀여워']	-0.1072102182466409	-0.07
21	21	vQU_T5lbaJY	"<a href=""https://www.youtube.com/watch?v=vQU_T5lbaJY&amp;t=0m31s"">0:31</a> 이글거리는 눈빛..!"	['031', '이글거리는', '눈빛']	0.0	0.0
22	22	vQU_T5lbaJY	키스 마이 애스 ㅋㅋㅋㅋㅋㅋ	['키스', '마이', '애스']	0.0	0.0
