	Unnamed: 0	id	sentence	comment_cut	score	ratio
0	0	bX-aT6S8R58	"안녕하세요!<br>중간에 가사가 없는걸 수정해서 다시 올립니다.<br><br>원곡 뮤비도 시간나시면 보세요! :) <a href=""https://www.youtube.com/watch?v=sUJkCXE4sAA"">https://www.youtube.com/watch?v=sUJkCXE4sAA</a>"	['안녕하세요', '중간', '에', '가사', '가', '없는걸', '수정', '해서', '다시', '올립니다', '원', '곡', '뮤비', '도', '시간', '나시', '면', '보세요', 'httpswwwyoutubecomwatchvsUJkCXE', '4', 'sAA']	-1.7182087314047934	-0.74
1	1	bX-aT6S8R58	이번 보헤미안 랩소디를 통해서 그냥 유명한 노래들 부른 퀸이 아니라 여러의미있는 퀸으로 사람들 인식에 자리 잡았으면 좋겠어요	['이번', '보헤미안', '랩소디', '를', '통해', '서', '그냥', '유명한', '노래', '들', '부른', '퀸', '이', '아니라', '여러', '의미', '있는', '퀸', '으로', '사람', '들', '인식', '에', '자리', '잡았으면', '좋겠어요']	-0.12987728236231302	-0.05
2	2	bX-aT6S8R58	퀸노래는 베이스라인이랑 피아노선율   화음도 예술임..듣다보면..그냥 소름..다시 오기힘든 천재.. 100년후 세대들도 극찬을하며 들을것임이 분명하죠	['퀸', '노래', '는', '베이스', '라인', '이랑', '피아노', '선율', '화음', '도', '예술', '임', '듣다', '보면', '그냥', '소름', '다시', '오기', '힘든', '천재', '100년', '후', '세대', '들', '도', '극찬', '을', '하며', '들을것', '임', '이', '분명하죠']	-9.83052336197756	-3.92
3	3	bX-aT6S8R58	항상 좋은 노래 감사합니다	['항상', '좋은', '노래', '감사합니다']	3.762249985310557	2.35
4	4	bX-aT6S8R58	그래서 젤리빈 님의 &quot;노래&quot; 번역은 언제쯤 볼수있는겁니까?	['그래서', '젤리빈', '님', '의', 'quot', '노래', 'quot', '번역', '은', '언제', '쯤', '볼수있는', '겁', '니까']	-3.5845364742896475	-1.67
5	5	bX-aT6S8R58	이거보다 더 간절한 가사가 있을까싶어요 ..극장에서 쓰는 장면 나왔을때 가장 놀랐던 곡 알고있었는데 현실성없이 아름다운,.작곡가들은 전부 너무 대단하네요	['이', '거', '보다', '더', '간절한', '가사', '가', '있을까', '싶어요', '극장', '에서', '쓰는', '장면', '나왔을', '때', '가장', '놀랐던', '곡', '알고있었는데', '현실', '성', '없이', '아름다운', '작곡가', '들', '은', '전부', '너무', '대단하네요']	2.740869261268	1.11
6	6	bX-aT6S8R58	퀸하면 생각나는 잔잔한 명곡	['퀸', '하면', '생각나는', '잔잔한', '명곡']	-0.28084336359981343	-0.17
7	7	bX-aT6S8R58	항상 잘 듣고있어요!! 혹시 미드나잇 썬에 찰리의 노래 (Walk with me)해줄실수 있으신가요..?노래 진짜 좋은데 한국으로 번역된 영상이 하나도 없더라구요....ㅠㅠ	['항상', '잘', '듣고있어요', '혹시', '미드나잇', '썬에', '찰리', '의', '노래', 'Walk', 'with', 'me', '해줄실수', '있으신', '가요', '노래', '진짜', '좋은데', '한국', '으로', '번역', '된', '영상', '이', '하나', '도', '없더라구요']	3.0429490911015584	1.25
8	8	bX-aT6S8R58	Queen - Don&#39;t stop me now	['Queen', 'Don', '39', 't', 'stop', 'me', 'now']	-1.5372187231872314	-0.83
9	9	bX-aT6S8R58	엄마아빠한테 들려주고 싶다	['엄마', '아빠', '한테', '들려주고', '싶다']	0.6170939679576644	0.36
10	10	bX-aT6S8R58	"<a href=""https://www.youtube.com/watch?v=bX-aT6S8R58&amp;t=2m03s"">2:03</a> 이때 잠깐 다른가사 나오네...0.1초?"	['203', '이', '때', '잠깐', '다른', '가사', '나오네', '01초']	-0.8932159819816868	-0.47
11	11	bX-aT6S8R58	퀸 =  레전드	['퀸', '레전드']	0.10536638208389172	0.08
12	12	bX-aT6S8R58	오 오 오 오 오 오렌지	['오', '오', '오', '오', '오', '오렌지']	0.0	0.0
13	13	bX-aT6S8R58	거칠면서도 부드럽고 강렬하면서도 감미로운 이런가수는 다시는 안나올겁니다...	['거칠면서도', '부드럽고', '강렬하면서도', '감미로운', '이런', '가수', '는', '다시는', '안', '나올', '겁니다']	1.7449342905103478	0.85
14	14	bX-aT6S8R58	오빈하<br>오렌지 젤리빈 하이라는 뜻	['오빈하', '오렌지', '젤리빈', '하이', '라는', '뜻']	-0.6657094993442763	-0.37
15	15	bX-aT6S8R58	쩰리님 폰트 뭐쓰시는지 알고싶어용	['쩰리님', '폰트', '뭐', '쓰시는지', '알고싶어용']	0.0	0.0
16	16	bX-aT6S8R58	프레디가 성소수자 라는걸 알고난 후부터 동료들이 가사 적을 때 대상이 남자인지 여자인지 알지 못하게 모호하게 만들었다고 하던데. 부르는 건 프레디니까 ㅜ 동료들의 세심한 배려..	['프레디', '가', '성소수자', '라', '는걸', '알', '고난', '후', '부터', '동료', '들', '이', '가사', '적', '을', '때', '대상', '이', '남자', '인지', '여자', '인지', '알', '지', '못', '하게', '모호하게', '만들었다고', '하던데', '부르는', '건', '프레디', '니까', '동료', '들', '의', '세심', '한', '배려']	-5.742837841037954	-2.22
17	17	bX-aT6S8R58	왜 천재와 기인들은 일찍 죽을까 라는 질문의 답<br><br>신께서 보시기에 아름다운꽃과 못생긴꽃이 있다면 무엇을 먼저 꺾어 품에 가져갈까? 라는 질문의 답	['왜', '천재', '와', '기인', '들', '은', '일찍', '죽을까', '라는', '질문', '의', '답신', '께서', '보시기에', '아름다운', '꽃', '과', '못', '생긴', '꽃', '이', '있다면', '무엇', '을', '먼저', '꺾어', '품', '에', '가져갈까', '라는', '질문', '의', '답']	0.828987973306756	0.33
18	18	bX-aT6S8R58	하.. 개인적으로 퀸노래에서 가장 좋아하는곡.. 감사합니다 ㅠ_ㅠ	['하', '개인', '적', '으로', '퀸', '노래', '에서', '가장', '좋아하는', '곡', '감사합니다']	2.7594850127581365	1.35
19	19	bX-aT6S8R58	번역감사합니다 이번 영상에서 사용된 폰트 이름이 뭔가요?	['번역', '감사합니다', '이번', '영상', '에서', '사용', '된', '폰트', '이름', '이', '뭔가', '요']	0.5552951598754767	0.27
20	20	bX-aT6S8R58	아 배경화면 참 좋다...	['아', '배경화면', '참', '좋다']	2.0	1.25
21	21	bX-aT6S8R58	귀가 녹는다......	['귀가', '녹는다']	0.0	0.0
22	22	bX-aT6S8R58	개좋네.....	['개', '좋네']	0.0	0.0
23	23	bX-aT6S8R58	아아, 마일드와 스트롱을 다 가진 그는..	['아아', '마', '일드', '와', '스트롱', '을', '다', '가진', '그', '는']	-0.4476071192533806	-0.22
24	24	bX-aT6S8R58	오늘도 너무 잘듣고가요 😂😂	['오늘', '도', '너무', '잘', '듣고가요']	0.9535110690879836	0.56
25	25	bX-aT6S8R58	Passenger - When we were young 해주세여. 그럼 이번 기말 올백맞을거 같아요!!!	['Passenger', 'When', 'we', 'were', 'young', '해주세여', '그럼', '이번', '기', '말', '올', '백', '맞을거', '같아요']	0.28676856914199744	0.13
26	26	bX-aT6S8R58	퀸 그냥 사랑해요..	['퀸', '그냥', '사랑', '해요']	1.8178487506011292	1.13
27	27	bX-aT6S8R58	퀸 너무 좋다ㅠㅠ 혹시 폰트가 너무 이뻐거 그런데 무슨 폰트인지 알 수 있을까요!!	['퀸', '너무', '좋다', '혹시', '폰트', '가', '너무', '이뻐거', '그런데', '무슨', '폰트', '인지', '알', '수', '있을까요']	2.7989485350268235	1.29
