	Unnamed: 0	id	sentence	comment_cut	score	ratio
0	0	CEXoFMfbdG0	사고치기좋아 니에쿠	['사고치기', '좋아', '니', '에쿠']	3.818264212138689	2.38
1	1	CEXoFMfbdG0	아니....아줌마연기 잘하는 배우 데려오랬더니 진짜 아줌마를 데려왔네...	['아니', '아줌마', '연기', '잘', '하는', '배우', '데려오', '랬', '더니', '진짜', '아줌마', '를', '데려왔네']	-0.31497901369940595	-0.15
2	2	CEXoFMfbdG0	사고치기 좋아 하는 애들 이라고? 너처럼? 이라고 들리네염..	['사고', '치기', '좋아', '하는', '애', '들', '이라고', '너', '처럼', '이라고', '들리', '네', '염']	6.9995984499728765	3.31
3	3	CEXoFMfbdG0	사고 치기 좋은 애들 아니고?	['사고', '치기', '좋은', '애', '들', '아니고']	6.3008965790210505	3.54
4	4	CEXoFMfbdG0	영화관에서 딱 들었을땐 사고치기 좋아하는 애들이라고? 너같이? 로 들리덥니다	['영화관', '에서', '딱', '들었을', '땐', '사고', '치기', '좋아하는', '애', '들', '이라고', '너', '같이', '로', '들리', '덥니다']	8.272427324388218	3.75
5	5	CEXoFMfbdG0	사고치기 좋아하는 애들 아니냐구?!!	['사고', '치기', '좋아하는', '애', '들', '아니냐구']	5.929635856104787	3.33
6	6	CEXoFMfbdG0	사고치기좋아하는 그 친구들이에오우?	['사고치기', '좋아하는', '그', '친구', '들이에', '오우']	4.818264212138689	2.71
7	7	CEXoFMfbdG0	이 두명은 누구야?<br>사고치기 좋아하는 얘들이라고?<br>너 같이?	['이', '두', '명', '은', '누구', '야', '사고치기', '좋아하는', '얘', '들', '이라고', '너', '같이']	6.653950676987074	3.15
8	8	CEXoFMfbdG0	(사고치기좋아하는아(애)들이라고?)인듯	['사고치기', '좋아하는', '아애', '들', '이라고', '인듯']	7.215411358035338	4.06
9	9	CEXoFMfbdG0	(좋은 분들이라면)  사고치기 좋아하는  아(애) 들이라구?	['좋은', '분', '들이라면', '사고', '치기', '좋아하는', '아애', '들이라', '구']	10.759880537057507	5.51
10	10	CEXoFMfbdG0	영화 크래쉬에  어글리한 한국여자역으로 나온 사람이네	['영화', '크래쉬', '에', '어글리', '한', '한국', '여자', '역', '으로', '나온', '사람', '이네']	-2.4694144521431305	-1.19
11	11	CEXoFMfbdG0	진짜 극장에서 사람들 다 웃었음ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ	['진짜', '극장', '에서', '사람', '들', '다', '웃었음']	-1.0390843168041728	-0.56
12	12	CEXoFMfbdG0	사고치기 좋아하는 애들이라고? 같네요	['사고', '치기', '좋아하는', '애', '들', '이라고', '같네요']	7.057335406452934	3.82
13	13	CEXoFMfbdG0	사고치기 좋아하는 애 하나  늘리려고?	['사고', '치기', '좋아하는', '애', '하나', '늘리려고']	6.2804902590193805	3.53
14	14	CEXoFMfbdG0	아니 진짜 ㅋㅋㅋㅋ 그냥 부산에 돌아댕기는 아지메 일당 주고 섭외해도 저거보단 잘하겄다. 저거 하려고 배우한테 알아듣지도 못하는 한국말 알려주면서 돈 쳐 발랐나.  엑스트라 아지메 보다 몸값은 몇십배는 넘게 주고 썼을듯	['아니', '진짜', '그냥', '부산', '에', '돌아', '댕기', '는', '아지', '메', '일당', '주고', '섭외', '해도', '저', '거', '보단', '잘하겄다', '저', '거', '하려고', '배우', '한테', '알아듣지도', '못', '하는', '한국말', '알려주면서', '돈', '쳐', '발랐나', '엑스트라', '아지', '메', '보다', '몸값', '은', '몇십', '배', '는', '넘게', '주고', '썼을듯']	-6.247622991103633	-2.37
15	15	CEXoFMfbdG0	-이 뒤에 있는거 누구야<br>-사고치기 좋아하는 애들이라구?<br>-너처럼?<br>이거 아닌가..?	['이', '뒤', '에', '있는거', '누구', '야', '사고치기', '좋아하는', '애', '들', '이라', '구', '너', '처럼', '이', '거', '아닌가']	6.697875329883952	3.0
16	16	CEXoFMfbdG0	사고치기 좋오디라쿠	['사고', '치기', '좋', '오디', '라', '쿠']	3.9296358561047873	2.21
