	Unnamed: 0	id	sentence	comment_cut	score	ratio
0	0	a6Zsn3XBS-o	종석이오빠 사랑해요❤	['종', '석', '이', '오빠', '사랑', '해요']	2.0	1.12
1	1	a6Zsn3XBS-o	뽕뽀 ㄷ	['뽕뽀']	0.0	0.0
2	2	a6Zsn3XBS-o	뽕뽀 ㄴ	['뽕뽀']	0.0	0.0
3	3	wCSKyl4FgBw	* 바로 잡습니다<br>김명민이 연기한 극중 캐릭터의 이름은 차이도가 아닌 채이도입니다. 리뷰에서 차이도라고 오기된 부분들이 있어 정정합니다. 채이도입니다.	['바로', '잡습니다', '김명민', '이', '연기', '한', '극', '중', '캐릭터', '의', '이름', '은', '차이', '도', '가', '아닌', '채이도', '입니다', '리뷰', '에서', '차이', '도', '라고', '오기', '된', '부분', '들', '이', '있어', '정정', '합니다', '채이도', '입니다']	0.5263412937232804	0.21
4	4	wCSKyl4FgBw	난 재미있게 봤슴 ..연기도 다들 잘하더구먼	['난', '재미있게', '봤슴', '연기', '도', '다', '들', '잘', '하더구먼']	3.4567947793433778	1.77
5	5	wCSKyl4FgBw	방금 보고왔는데 재밌던데..배우들 연기도 ㅅㅌㅊ였고	['방금', '보고왔는데', '재밌던데', '배우', '들', '연기', '도', '였고']	0.40484693467986055	0.21
6	6	wCSKyl4FgBw	진짜 보면서 내내 배우들전부 안맞는옷을 입은느낌..그리고 시나리오가 치밀하지못함.. 망작	['진짜', '보면서', '내내', '배우', '들', '전부', '안', '맞는', '옷', '을', '입은', '느낌', '그리고', '시나리오', '가', '치밀하지못', '함', '망작']	-0.6808218446937508	-0.3
7	7	wCSKyl4FgBw	올해 봤던 영화중에서 제일 좋았는데<br>초반의 잔인한장면은 필요한장치였구<br>후반부로 갈수록 긴장감과 반전으로 인한재미 그리고 마지막에 통쾌하기까지 했는데 리얼따위랑 비교하지마라	['올해', '봤던', '영화', '중', '에서', '제일', '좋았는데', '초반', '의', '잔인한', '장면', '은', '필요', '한장', '치였구', '후반', '부로', '갈수록', '긴장감', '과', '반전', '으로', '인한', '재미', '그리고', '마지막', '에', '통쾌하기까지', '했는데', '리얼', '따위', '랑', '비교', '하지마라']	-4.282113087649783	-1.69
8	8	wCSKyl4FgBw	진짜 가볍고, 재미없고, 느와르 같지도 않고, 과도하게 잔인하고, 클리셰 범벅이고, 반전도 어거지고, 상상력도 부족하고, 연출도 그저그런 망작이라고 본다. 재미면에서도 리얼보다 재미없을정도다. 총체적 난국이다. 더이상 박훈정 감독에게 무엇을 바래야 할까? 앞으로의 행보가 전혀 기대되지 않는다. &#39;RIP, VIP&#39;	['진짜', '가볍고', '재미없고', '느와르', '같지도', '않고', '과도', '하게', '잔인하고', '클리셰', '범벅', '이고', '반전', '도', '어거지', '고', '상상력', '도', '부족하고', '연출', '도', '그', '저', '그런', '망작', '이라고', '본다', '재미', '면', '에서도', '리얼', '보다', '재미없을', '정도', '다', '총', '체적', '난국', '이다', '더', '이상', '박훈정', '감독', '에게', '무엇', '을', '바', '래야', '할까', '앞', '으로의', '행보', '가', '전혀', '기대', '되지', '않는다', '39', 'RIP', 'VIP', '39']	-2.7699568482640657	-0.99
9	9	wCSKyl4FgBw	혹평하시는 다른 분들의 의견도 존중합니다 충분히 그렇게 느낄 수 있죠 하지만 저랑 생각이 다른 부분은 감독의 연출이 여성성을 비하하려는 것이 주 목적이 아니라 마지막 장면을 극대화시키려는 장치라고 생각됩니다  물론 제가 보기에도 특정장면은 잔인하고 비인간적이긴하나 영화 전체의 완성도나 구성의 수준이 떨어진다고 생각하지는 않습니다. 오히려 완성도 높은 영화로 보았습니다. 그렇다고 하더라도 많은 여성분들이 불쾌하게 생각할 수 있는 소지가 충분하기 때문에 대중의 악평은 감독이 감내해야할 부분이라고 생각됩니다	['혹평', '하시는', '다른', '분', '들', '의', '의견', '도', '존중', '합니다', '충분히', '그렇게', '느낄', '수', '있죠', '하지만', '저', '랑', '생각', '이', '다른', '부분', '은', '감독', '의', '연출', '이', '여성성', '을', '비하하려는', '것', '이', '주', '목적', '이', '아니라', '마지막', '장면', '을', '극', '대화', '시키려는', '장치', '라고', '생각', '됩니다', '물론', '제', '가', '보기', '에도', '특정', '장면', '은', '잔인하고', '비인간', '적', '이긴하나', '영화', '전체', '의', '완성', '도나', '구성', '의', '수준', '이', '떨어진다고', '생각', '하지는', '않습니다', '오히려', '완성', '도', '높은', '영화로', '보았습니다', '그렇다고', '하더라도', '많은', '여성', '분들', '이', '불쾌하게', '생각', '할', '수', '있는', '소지', '가', '충분하기', '때문', '에', '대중', '의', '악평', '은', '감독', '이', '감내해', '야할', '부분', '이라고', '생각', '됩니다']	-15.402604347285088	-5.1
10	10	wCSKyl4FgBw	연기력논란 과도한 잔인함 여성피해자고 뭐고 다 필요 없이 걍 스토리가 산만하고 개연성 엉망이종석 성불구자설 나올때 존나 웃겼음 이거 추격자2편이야??4885어릴때야??게다가 너무 말이 안되는게 이종석은 첨부터 끝까지 경찰한테 반항도 못해보고 계속 얻어 맞는데 유일하게 여자국정원만 수갑채워진 이종석한테 제압당함여자국정원도 체력검정 무릎대고 팔굽혀펴기해서 뽑냐??현장요원이??요원이 피해당했는데 또걍 넘어가고??개연성이 너무 엉망임	['연기력논란', '과도', '한', '잔인함', '여', '성', '피해자', '고', '뭐', '고', '다', '필요', '없이', '걍', '스토리', '가', '산만하고', '개연', '성', '엉망', '이종석', '성', '불구자', '설', '나올', '때', '존나', '웃겼음', '이', '거', '추격자', '2', '편이', '야', '4885', '어릴', '때', '야', '게다가', '너무', '말', '이', '안되는게', '이종석', '은', '첨부', '터', '끝', '까지', '경찰', '한테', '반항', '도', '못', '해보고', '계속', '얻어', '맞는데', '유일하게', '여자', '국정원', '만', '수갑', '채워진', '이종석', '한테', '제압', '당함', '여자', '국정원', '도', '체력검정', '무릎', '대고', '팔굽혀펴기', '해서', '뽑냐', '현', '장요', '원', '이요원', '이', '피해', '당했는데', '또', '걍', '넘어가고', '개연', '성', '이', '너무', '엉망', '임']	-15.94166892484039	-5.37
11	11	wCSKyl4FgBw	내가 이상할수있지만<br>군함도 아수라보다는 100배잼있는디	['내', '가', '이상할수있지만', '군함도', '아수라', '보다는', '100', '배', '잼있는디']	0.7246696622148856	0.37
12	12	wCSKyl4FgBw	vip보고 봤던 리뷰중에 가장 공감된 리뷰였습니다.<br>역대 봤던 영화중에 가장 쓰레기입니다. 잔인한장면,연기력 이런게 쓰레기란게아니라<br>감독의 역량이 쓰레기인거같습니다. 영화가 말이되게 만들어야하는데 말이 안되니까 <br>그냥 영화 찝찝합니다.	['vip', '보고', '봤던', '리뷰', '중', '에', '가장', '공감', '된', '리뷰', '였습니다', '역대', '봤던', '영화', '중', '에', '가장', '쓰레기', '입니다', '잔인한', '장면', '연기력', '이런게', '쓰레기', '란', '게', '아니라', '감독', '의', '역량', '이', '쓰레기', '인거', '같습니다', '영화', '가', '말', '이', '되게', '만들어야하는데', '말', '이', '안되니까', '그냥', '영화', '찝찝합니다']	-14.51707755617604	-5.45
13	13	wCSKyl4FgBw	저질이라뇨??훌륭해요 잘만들었습니다	['저', '질', '이라', '뇨', '훌륭해요', '잘', '만들었습니다']	0.6091695977356556	0.33
14	14	wCSKyl4FgBw	어딜가나 무능 뒤에는 나태함이나 부폐가 있는법인데 감독이 그걸 모르는듯	['어딜', '가나', '무능', '뒤', '에는', '나태함이나', '부', '폐가', '있는', '법', '인데', '감독', '이', '그걸', '모르는듯']	-1.5444609371001234	-0.71
15	15	wCSKyl4FgBw	"차이도차이도.. ㅋㅋㅋㅋㅋ 뭐 이거야 고정댓글로 채이도라고 수정을 하셨고.. 근데 <a href=""https://www.youtube.com/watch?v=wCSKyl4FgBw&amp;t=5m50s"">5:50</a> 부터 보면 차이도(채이도), 김광일 등등의 이름을 거론하며 설명하시다가 왜 박재혁만 장동건..실명이죠?"	['차이', '도', '차이', '도', '뭐', '이거야', '고정', '댓글', '로', '채', '이도', '라고', '수정', '을', '하셨고', '근데', '550', '부터', '보면', '차이', '도', '채이도', '김광일', '등등', '의', '이름', '을', '거론', '하며', '설명', '하시다가', '왜', '박재혁', '만', '장동건', '실명', '이', '죠']	-0.15765037200486332	-0.06
16	16	wCSKyl4FgBw	난재미있게봤다 <br>현실적인영화연출 굳뜨<br>영화다운영화	['난', '재미있게', '봤다', '현실', '적', '인', '영화', '연출', '굳', '뜨', '영화', '다', '운영', '화']	-1.1533887231539428	-0.54
17	17	wCSKyl4FgBw	기억에 남는건 연기는 담배연기뿐	['기억', '에', '남는건', '연기', '는', '담배', '연기', '뿐']	-0.23447549867250064	-0.12
18	18	wCSKyl4FgBw	현실은 더 복잡하고 잔인하다	['현실', '은', '더', '복잡하고', '잔인하다']	-3.3696396232759493	-1.98
19	19	wCSKyl4FgBw	진짜 너무 담배 많이 핀다...영화상에서...보는데 숨이 다 막히더라..	['진짜', '너무', '담배', '많이', '핀다', '영화상', '에서', '보는데', '숨', '이', '다', '막히더라']	-0.8696959320922246	-0.42
20	20	wCSKyl4FgBw	영화는 개병신같은데 여혐프레임은 더병신같다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ	['영화', '는', '개', '병신', '같은데', '여', '혐', '프레임', '은', '더', '병신', '같다']	-0.40496073445627145	-0.19
21	21	wCSKyl4FgBw	라이너씨의 리뷰를 잘보지만 몇가지 부분에서의 리뷰는 동의할수는 없네요.  개연성이 없다는 부분은 전혀 동의할수가 없네요 충분히 가능한 이야기이구 그 근거가 영화에서 나오는데 그 근거를 놓치신거 아닌가 싶습니다. 그리고 여자를 너무 잔혹하게 다룬거 아니냐라는 부분도 동의할수 없네요 그럼 추격자도 악녀 악마를 보았다도 같은 선상에서 비판하시나요? 이번 리뷰는 별로군요	['라이너', '씨', '의', '리뷰', '를', '잘', '보지만', '몇', '가지', '부분', '에서의', '리뷰', '는', '동의', '할수는', '없네요', '개연', '성', '이', '없다는', '부분', '은', '전혀', '동의', '할수가', '없네요', '충분히', '가능한', '이야기', '이구', '그', '근거', '가', '영화', '에서', '나오는데', '그', '근거', '를', '놓치신', '거', '아닌가', '싶습니다', '그리고', '여자', '를', '너무', '잔혹하게', '다룬거', '아니냐라는', '부분', '도', '동의', '할수', '없네요', '그럼', '추격자', '도', '악녀', '악마', '를', '보았다도', '같은', '선상', '에서', '비판', '하시나요', '이번', '리뷰', '는', '별', '로군요']	-7.75867611419181	-2.72
